Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,2809,2
は,は,は,助詞 係助詞 * * * *,2248,2
を,を,を,助詞 格助詞 * * * *,2080,2
に,に,に,助詞 格助詞 * * * *,1814,2
て,て,て,助詞 接続助詞 * * * *,1771,2
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1395,2
が,が,が,助詞 格助詞 * * * *,1308,2
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,937,2
と,と,と,助詞 格助詞 * * * *,935,2
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,789,2
の,の,の,助詞 準体助詞 * * * *,745,2
も,も,も,助詞 係助詞 * * * *,704,2
で,で,で,助詞 格助詞 * * * *,626,2
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,609,2
この,この,此の,連体詞 * * * * *,591,2
か,か,か,助詞 終助詞 * * * *,576,2
ジョジョ,ジョジョ,ジョジョ,名詞 固有名詞 人名 一般 * *,487,2
な,な,な,助詞 終助詞 * * * *,477,2
〜,〜,〜,補助記号 一般 * * * *,459,2
俺,俺,俺,代名詞 * * * * *,428,2
何,何,何,代名詞 * * * * *,398,2
よ,よ,よ,助詞 終助詞 * * * *,378,2
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,360,2
こと,こと,こと,名詞 普通名詞 一般 * * *,350,2
波紋,波紋,波紋,名詞 普通名詞 一般 * * *,337,2
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,323,2
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,322,2
ん,ん,の,助詞 準体助詞 * * * *,316,2
から,から,から,助詞 格助詞 * * * *,276,2
その,その,其の,連体詞 * * * * *,262,2
ワムウ,ワムウ,ワムウ,名詞 普通名詞 一般 * * *,244,2
が,が,が,助詞 接続助詞 * * * *,238,2
お前,お前,御前,代名詞 * * * * *,234,2
か,か,か,助詞 副助詞 * * * *,225,2
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,220,2
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,217,2
やつ,やつ,奴,名詞 普通名詞 一般 * * *,216,2
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,193,2
ディオ,ディオ,ディオ,名詞 固有名詞 一般 * * *,190,2
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,175,2
よう,よう,様,形状詞 助動詞語幹 * * * *,172,2
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,170,2
これ,これ,此れ,代名詞 * * * * *,165,2
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,164,2
へ,へ,へ,助詞 格助詞 * * * *,163,2
それ,それ,其れ,代名詞 * * * * *,159,2
さん,さん,さん,接尾辞 名詞的 一般 * * *,157,2
あっ,あっ,あっ,感動詞 一般 * * * *,151,2
たち,たち,達,接尾辞 名詞的 一般 * * *,151,2
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,151,2
今,今,今,名詞 普通名詞 副詞可能 * * *,151,2
ああ,ああ,ああ,感動詞 一般 * * * *,148,2
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,148,2
ば,ば,ば,助詞 接続助詞 * * * *,148,2
貴様,貴様,貴様,代名詞 * * * * *,147,2
シーザー,シーザー,シーザー,名詞 固有名詞 人名 一般 * *,147,1
あの,あの,彼の,連体詞 * * * * *,145,2
から,から,から,助詞 接続助詞 * * * *,145,2
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,145,2
で,で,で,助詞 接続助詞 * * * *,141,2
･,・,・,補助記号 一般 * * * *,139,2
シュトロハイム,シュトロハイム,シュトロハイム,名詞 固有名詞 人名 一般 * *,136,2
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,132,2
ら,ら,等,接尾辞 名詞的 一般 * * *,131,2
って,って,って,助詞 副助詞 * * * *,130,2
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,124,2
カーズ,カーズ,カーズ,名詞 普通名詞 一般 * * *,123,1
だけ,だけ,だけ,助詞 副助詞 * * * *,120,2
まで,まで,まで,助詞 副助詞 * * * *,118,2
やる,やる,遣る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,118,2
