Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
て,て,て,助詞 接続助詞 * * * *,32511,382
は,は,は,助詞 係助詞 * * * *,28886,382
の,の,の,助詞 格助詞 * * * *,28738,382
に,に,に,助詞 格助詞 * * * *,28243,382
よ,よ,よ,助詞 終助詞 * * * *,25788,382
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,25616,382
が,が,が,助詞 格助詞 * * * *,25478,382
を,を,を,助詞 格助詞 * * * *,19765,382
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,19574,382
も,も,も,助詞 係助詞 * * * *,18972,382
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,18263,382
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,17386,382
ん,ん,の,助詞 準体助詞 * * * *,17069,382
ね,ね,ね,助詞 終助詞 * * * *,15421,382
か,か,か,助詞 終助詞 * * * *,14949,382
で,で,で,助詞 格助詞 * * * *,13711,382
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,12964,382
の,の,の,助詞 準体助詞 * * * *,12097,382
と,と,と,助詞 格助詞 * * * *,12032,382
さん,さん,さん,接尾辞 名詞的 一般 * * *,11990,382
カツオ,カツオ,鰹,名詞 普通名詞 一般 * * *,11923,380
お,お,御,接頭辞 * * * * *,10068,382
から,から,から,助詞 接続助詞 * * * *,8069,382
わ,わ,わ,助詞 終助詞 * * * *,7998,380
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,7817,382
の,の,の,助詞 終助詞 * * * *,7784,380
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,7563,382
何,何,何,代名詞 * * * * *,7496,382
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,7322,380
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,7189,382
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,7096,382
こと,こと,こと,名詞 普通名詞 一般 * * *,6819,382
って,って,って,助詞 副助詞 * * * *,6795,382
マスオ,マスオ,マスオ,名詞 固有名詞 人名 名 * *,6103,380
な,な,な,助詞 終助詞 * * * *,5856,382
僕,僕,僕,代名詞 * * * * *,5516,381
〜,〜,〜,補助記号 一般 * * * *,5461,381
ワカメ,ワカメ,若布,名詞 普通名詞 一般 * * *,5397,380
そう,そう,そう,副詞 * * * * *,5255,382
波平,波平,波平,名詞 固有名詞 人名 名 * *,5191,380
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,4949,382
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,4872,382
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,4740,382
君,君,君,接尾辞 名詞的 一般 * * *,4522,381
どう,どう,どう,副詞 * * * * *,4238,382
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,4093,382
うん,うん,うん,感動詞 一般 * * * *,4062,378
それ,それ,其れ,代名詞 * * * * *,4041,382
お父さん,お父さん,お父さん,名詞 普通名詞 一般 * * *,3986,375
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,3961,382
か,か,か,助詞 副助詞 * * * *,3855,382
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,3777,382
あっ,あっ,あっ,感動詞 一般 * * * *,3733,381
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,3668,382
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,3653,382
タラオ,タラオ,タラオ,名詞 固有名詞 人名 名 * *,3612,380
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,3517,382
サザエ,サザエ,サザエ,名詞 固有名詞 人名 名 * *,3487,380
私,私,私,代名詞 * * * * *,3456,380
これ,これ,此れ,代名詞 * * * * *,3397,382
タラ,タラ,タラ,名詞 固有名詞 人名 一般 * *,3333,367
い,い,い,助詞 終助詞 * * * *,3072,380
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,3055,382
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,2998,381
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,2866,381
で,で,で,助詞 接続助詞 * * * *,2845,382
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,2831,382
けど,けど,けれど,助詞 接続助詞 * * * *,2826,382
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,2782,382
から,から,から,助詞 格助詞 * * * *,2705,381
フネ,フネ,フネ,名詞 固有名詞 人名 名 * *,2628,380
磯野,磯野,磯野,名詞 固有名詞 人名 姓 * *,2604,371
花沢,花沢,花沢,名詞 固有名詞 人名 姓 * *,2565,347
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,2513,381
えっ,えっ,えっ,感動詞 一般 * * * *,2508,378
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,2463,381
もう,もう,もう,副詞 * * * * *,2421,382
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,2390,382
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,2389,380
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,2358,380
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,2339,382
はい,はい,はい,感動詞 一般 * * * *,2321,373
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,2275,380
この,この,此の,連体詞 * * * * *,2258,380
ば,ば,ば,助詞 接続助詞 * * * *,2183,376
サザエ,サザエ,栄螺,名詞 普通名詞 一般 * * *,2170,380
ノリスケ,ノリスケ,ノリスケ,名詞 固有名詞 人名 名 * *,2091,268
と,と,と,助詞 接続助詞 * * * *,2090,379
イクラ,イクラ,イクラ,名詞 普通名詞 一般 * * *,2090,198
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,1996,374
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,1976,382
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,1969,382
まで,まで,まで,助詞 副助詞 * * * *,1930,382
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,1929,374
よう,よう,様,形状詞 助動詞語幹 * * * *,1896,379
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,1861,377
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,1807,380
うち,うち,内,名詞 普通名詞 副詞可能 * * *,1800,371
まあ,まあ,まあ,副詞 * * * * *,1767,356
中島,中島,中島,名詞 固有名詞 人名 姓 * *,1760,286
だけ,だけ,だけ,助詞 副助詞 * * * *,1752,373
その,その,其の,連体詞 * * * * *,1748,367
たち,たち,達,接尾辞 名詞的 一般 * * *,1743,362
お兄ちゃん,お兄ちゃん,お兄ちゃん,名詞 普通名詞 一般 * * *,1726,368
あら,あら,あら,感動詞 一般 * * * *,1718,359
ああ,ああ,ああ,感動詞 一般 * * * *,1716,358
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,1698,375
・,・,・,補助記号 一般 * * * *,1687,304
人,人,人,名詞 普通名詞 一般 * * *,1676,350
笑っ,笑う,笑う,動詞 一般 * * 五段-ワア行 連用形-促音便,1660,380
そんな,そんな,そんな,連体詞 * * * * *,1630,370
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,1625,366
気,気,気,名詞 普通名詞 一般 * * *,1570,369
なんて,なんて,なんて,助詞 副助詞 * * * *,1569,373
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,1552,367
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,1517,368
あの,あの,彼の,連体詞 * * * * *,1512,362
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,1501,366
が,が,が,助詞 接続助詞 * * * *,1498,382
行っ,行く,行く,動詞 非自立可能 * * 五段-カ行 連用形-促音便,1492,363
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,1474,374
なかっ,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-促音便,1437,362
方,方,方,名詞 普通名詞 一般 * * *,1416,366
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,1397,367
姉さん,姉さん,姉さん,名詞 普通名詞 一般 * * *,1397,348
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,1369,367
早川,早川,早川,名詞 固有名詞 人名 姓 * *,1364,227
カツオ,カツオ,カツオ,名詞 固有名詞 人名 名 * *,1361,342
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,1335,367
とき,とき,時,名詞 普通名詞 副詞可能 * * *,1335,357
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,1309,360
お母さん,お母さん,お母さん,名詞 普通名詞 一般 * * *,1299,326
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,1296,358
母さん,母さん,母さん,名詞 普通名詞 一般 * * *,1284,335
ちょっと,ちょっと,一寸,副詞 * * * * *,1274,366
よかっ,よい,良い,形容詞 非自立可能 * * 形容詞 連用形-促音便,1274,356
わし,わし,わし,代名詞 * * * * *,1205,336
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,1203,357
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,1200,364
なく,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-一般,1198,360
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,1190,345
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,1179,357
どこ,どこ,どこ,代名詞 * * * * *,1178,343
ワカメ,ワカメ,ワカメ,名詞 固有名詞 人名 名 * *,1177,323
ホント,ホント,本当,名詞 普通名詞 一般 * * *,1176,345
タマ,タマ,タマ,名詞 固有名詞 人名 一般 * *,1174,218
じゃあ,じゃあ,で,接続詞 * * * * *,1172,352
まだ,まだ,未だ,副詞 * * * * *,1168,357
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,1162,356
う〜ん,う〜ん,ううん,感動詞 一般 * * * *,1161,291
ママ,ママ,ママ,名詞 普通名詞 一般 * * *,1156,323
今,今,今,名詞 普通名詞 副詞可能 * * *,1154,345
