Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1765,24
は,は,は,助詞 係助詞 * * * *,1599,24
に,に,に,助詞 格助詞 * * * *,1406,24
て,て,て,助詞 接続助詞 * * * *,1335,24
が,が,が,助詞 格助詞 * * * *,1181,24
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1114,24
を,を,を,助詞 格助詞 * * * *,1083,24
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,835,24
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,778,24
ん,ん,の,助詞 準体助詞 * * * *,704,24
も,も,も,助詞 係助詞 * * * *,673,24
で,で,で,助詞 格助詞 * * * *,659,24
よ,よ,よ,助詞 終助詞 * * * *,622,24
と,と,と,助詞 格助詞 * * * *,621,24
ワトソン,ワトソン,ワトソン,名詞 固有名詞 人名 一般 * *,610,24
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,567,24
シャーロック,シャーロック,シャーロック,名詞 固有名詞 人名 一般 * *,538,24
か,か,か,助詞 終助詞 * * * *,448,24
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,443,24
モリアーティ,モリアーティ,モリアーティ,名詞 固有名詞 人名 一般 * *,420,23
の,の,の,助詞 準体助詞 * * * *,393,24
あっ,あっ,あっ,感動詞 一般 * * * *,380,24
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,378,24
って,って,って,助詞 副助詞 * * * *,365,24
ね,ね,ね,助詞 終助詞 * * * *,353,24
こと,こと,こと,名詞 普通名詞 一般 * * *,313,24
さん,さん,さん,接尾辞 名詞的 一般 * * *,289,24
俺,俺,俺,代名詞 * * * * *,287,23
音,音,音,名詞 普通名詞 一般 * * *,270,24
から,から,から,助詞 接続助詞 * * * *,253,24
か,か,か,助詞 副助詞 * * * *,252,24
な,な,な,助詞 終助詞 * * * *,237,24
あ,あ,あっ,感動詞 一般 * * * *,226,24
なん,なん,何,代名詞 * * * * *,226,24
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,223,24
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,215,24
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,199,24
それ,それ,其れ,代名詞 * * * * *,196,23
お,お,御,接頭辞 * * * * *,193,23
から,から,から,助詞 格助詞 * * * *,183,24
小林,小林,小林,名詞 固有名詞 人名 姓 * *,181,23
