Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,2200,25
て,て,て,助詞 接続助詞 * * * *,1942,25
に,に,に,助詞 格助詞 * * * *,1868,25
の,の,の,助詞 格助詞 * * * *,1830,25
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1594,25
が,が,が,助詞 格助詞 * * * *,1457,25
を,を,を,助詞 格助詞 * * * *,1340,25
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1029,25
も,も,も,助詞 係助詞 * * * *,1003,25
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,995,25
と,と,と,助詞 格助詞 * * * *,971,25
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,865,25
で,で,で,助詞 格助詞 * * * *,821,25
の,の,の,助詞 準体助詞 * * * *,819,25
か,か,か,助詞 終助詞 * * * *,692,25
よ,よ,よ,助詞 終助詞 * * * *,580,25
ん,ん,の,助詞 準体助詞 * * * *,531,25
あっ,あっ,あっ,感動詞 一般 * * * *,525,25
こと,こと,こと,名詞 普通名詞 一般 * * *,524,25
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,489,25
か,か,か,助詞 副助詞 * * * *,472,25
ね,ね,ね,助詞 終助詞 * * * *,452,25
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,418,25
何,何,何,代名詞 * * * * *,413,25
って,って,って,助詞 副助詞 * * * *,412,25
な,な,な,助詞 終助詞 * * * *,390,25
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,384,25
それ,それ,其れ,代名詞 * * * * *,352,25
まゆり,まゆり,まゆり,名詞 固有名詞 人名 名 * *,352,25
栖,栖,栖,名詞 普通名詞 一般 * * *,336,22
莉,莉,莉,名詞 固有名詞 人名 一般 * *,336,22
岡部,岡部,岡部,名詞 固有名詞 人名 姓 * *,331,23
紅,紅,紅,名詞 普通名詞 一般 * * *,331,22
から,から,から,助詞 接続助詞 * * * *,325,25
うん,うん,うん,感動詞 一般 * * * *,315,25
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,302,25
〜,〜,〜,補助記号 一般 * * * *,286,25
俺,俺,俺,代名詞 * * * * *,286,25
この,この,此の,連体詞 * * * * *,264,25
世界,世界,世界,名詞 普通名詞 一般 * * *,259,24
ああ,ああ,ああ,感動詞 一般 * * * *,253,25
そう,そう,そう,副詞 * * * * *,251,25
オカリン,オカリン,オカリン,名詞 普通名詞 一般 * * *,240,24
の,の,の,助詞 終助詞 * * * *,239,24
どう,どう,どう,副詞 * * * * *,235,25
お前,お前,御前,代名詞 * * * * *,223,25
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,220,25
メール,メール,メール,名詞 普通名詞 サ変可能 * * *,213,23
から,から,から,助詞 格助詞 * * * *,212,25
これ,これ,此れ,代名詞 * * * * *,211,25
その,その,其の,連体詞 * * * * *,211,25
さん,さん,さん,接尾辞 名詞的 一般 * * *,211,24
私,私,私,代名詞 * * * * *,204,23
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,203,25
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,198,25
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,195,25
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,186,25
ば,ば,ば,助詞 接続助詞 * * * *,183,24
お,お,御,接頭辞 * * * * *,175,25
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,174,25
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,174,25
えっ,えっ,えっ,感動詞 一般 * * * *,169,25
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,169,25
線,線,線,接尾辞 名詞的 一般 * * *,166,22
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,165,25
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,165,25
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,159,25
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,154,25
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,153,25
今,今,今,名詞 普通名詞 副詞可能 * * *,148,25
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,145,25
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,141,25
ここ,ここ,此処,代名詞 * * * * *,141,25
前,前,前,名詞 普通名詞 副詞可能 * * *,138,25
けど,けど,けれど,助詞 接続助詞 * * * *,135,25
うっ,うっ,うう,感動詞 一般 * * * *,134,24
が,が,が,助詞 接続助詞 * * * *,133,25
まゆ,まゆ,まゆ,名詞 普通名詞 一般 * * *,133,22
なん,なん,何,代名詞 * * * * *,130,25
過去,過去,過去,名詞 普通名詞 副詞可能 * * *,130,20
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,129,24
だけ,だけ,だけ,助詞 副助詞 * * * *,128,25
はあ,はあ,はあ,感動詞 一般 * * * *,128,25
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,125,25
もう,もう,もう,副詞 * * * * *,125,25
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,125,24
ぃ,ぃ,ぃ,補助記号 一般 * * * *,122,21
よう,よう,様,形状詞 助動詞語幹 * * * *,118,24
はっ,はっ,はっ,感動詞 一般 * * * *,115,23
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,114,24
そんな,そんな,そんな,連体詞 * * * * *,114,23
フェイリス,フェイリス,フェイリス,名詞 普通名詞 一般 * * *,112,13
タイムマシン,タイムマシン,タイムマシン,名詞 普通名詞 一般 * * *,107,21
橋田,橋田,橋田,名詞 固有名詞 人名 姓 * *,107,16
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,106,24
凶,凶,凶,名詞 普通名詞 一般 * * *,106,23
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,105,25
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,105,25
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,103,25
あ,あ,あっ,感動詞 一般 * * * *,103,18
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,102,20
年,年,年,名詞 普通名詞 助数詞可能 * * *,101,20
人,人,人,名詞 普通名詞 一般 * * *,100,23
まで,まで,まで,助詞 副助詞 * * * *,99,24
あの,あの,彼の,連体詞 * * * * *,97,23
真,真,真,名詞 普通名詞 一般 * * *,97,21
わ,わ,わ,助詞 終助詞 * * * *,97,19
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,94,22
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,93,25
未来,未来,未来,名詞 普通名詞 一般 * * *,93,18
で,で,で,助詞 接続助詞 * * * *,92,23
記憶,記憶,記憶,名詞 普通名詞 サ変可能 * * *,92,16
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,90,23
たち,たち,達,接尾辞 名詞的 一般 * * *,90,22
あんた,あんた,貴方,代名詞 * * * * *,90,18
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,89,23
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,88,23
誰,誰,誰,代名詞 * * * * *,88,21
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,87,23
ダル,ダル,ダル,形状詞 一般 * * * *,87,22
にゃん,にゃん,にゃん,副詞 * * * * *,87,4
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,84,20
･,・,・,補助記号 一般 * * * *,84,18
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,83,23
どこ,どこ,どこ,代名詞 * * * * *,83,23
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,83,22
なかっ,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-促音便,82,24
