Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1491,13
は,は,は,助詞 係助詞 * * * *,1124,13
に,に,に,助詞 格助詞 * * * *,1042,13
て,て,て,助詞 接続助詞 * * * *,944,13
が,が,が,助詞 格助詞 * * * *,821,13
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,746,13
を,を,を,助詞 格助詞 * * * *,731,13
も,も,も,助詞 係助詞 * * * *,598,13
で,で,で,助詞 格助詞 * * * *,480,13
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,474,13
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,458,13
と,と,と,助詞 格助詞 * * * *,446,13
ん,ん,の,助詞 準体助詞 * * * *,442,13
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,434,13
か,か,か,助詞 終助詞 * * * *,415,13
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,405,13
井戸,井戸,井戸,名詞 普通名詞 一般 * * *,397,13
の,の,の,助詞 準体助詞 * * * *,283,13
瓢,瓢,瓢,名詞 普通名詞 一般 * * *,256,11
鳴,鳴,鳴,名詞 固有名詞 人名 名 * *,256,11
よ,よ,よ,助詞 終助詞 * * * *,252,13
か,か,か,助詞 副助詞 * * * *,251,13
こと,こと,こと,名詞 普通名詞 一般 * * *,247,13
俺,俺,俺,代名詞 * * * * *,246,13
酒,酒,酒,名詞 普通名詞 一般 * * *,236,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,234,13
ね,ね,ね,助詞 終助詞 * * * *,207,13
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,205,13
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,189,13
この,この,此の,連体詞 * * * * *,185,13
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,184,13
百,百,100,名詞 数詞 * * * *,180,13
さん,さん,さん,接尾辞 名詞的 一般 * * *,178,13
私,私,私,代名詞 * * * * *,178,11
どう,どう,どう,副詞 * * * * *,177,13
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,175,13
本堂町,本堂町,本堂町,名詞 固有名詞 地名 一般 * *,172,12
な,な,な,助詞 終助詞 * * * *,169,13
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,167,13
って,って,って,助詞 副助詞 * * * *,159,13
イド,イド,イド,名詞 普通名詞 一般 * * *,159,13
貴,貴,貴,接頭辞 * * * * *,151,13
から,から,から,助詞 接続助詞 * * * *,150,13
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,144,13
から,から,から,助詞 格助詞 * * * *,141,13
松岡,松岡,松岡,名詞 固有名詞 人名 姓 * *,141,11
その,その,其の,連体詞 * * * * *,132,13
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,128,13
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,127,13
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,123,13
そう,そう,そう,副詞 * * * * *,120,13
何,何,何,代名詞 * * * * *,120,13
穴,穴,穴,名詞 普通名詞 一般 * * *,115,12
それ,それ,其れ,代名詞 * * * * *,114,13
が,が,が,助詞 接続助詞 * * * *,113,13
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,112,13
あっ,あっ,あっ,感動詞 一般 * * * *,107,13
これ,これ,此れ,代名詞 * * * * *,104,13
カエル,カエル,蛙,名詞 普通名詞 一般 * * *,101,13
ん,ん,ん,助詞 格助詞 * * * *,99,13
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,98,13
ああ,ああ,ああ,感動詞 一般 * * * *,96,13
世界,世界,世界,名詞 普通名詞 一般 * * *,94,11
人,人,人,名詞 普通名詞 一般 * * *,93,11
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,92,13
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,92,13
たち,たち,達,接尾辞 名詞的 一般 * * *,91,13
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,90,13
あなた,あなた,貴方,代名詞 * * * * *,90,11
富久田,富久田,富久田,名詞 固有名詞 人名 姓 * *,89,12
なん,なん,何,代名詞 * * * * *,88,13
んっ,んっ,んっ,感動詞 一般 * * * *,88,13
お前,お前,御前,代名詞 * * * * *,88,11
ここ,ここ,此処,代名詞 * * * * *,86,13
中,中,中,名詞 普通名詞 副詞可能 * * *,86,13
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,83,13
あの,あの,彼の,連体詞 * * * * *,82,13
飛鳥井,飛鳥井,飛鳥井,名詞 固有名詞 人名 姓 * *,80,7
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,79,13
あ,あ,あっ,感動詞 一般 * * * *,79,12
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,78,13
名探偵,名探偵,名探偵,名詞 普通名詞 一般 * * *,77,13
東郷,東郷,東郷,名詞 固有名詞 地名 一般 * *,77,11
よう,よう,様,形状詞 助動詞語幹 * * * *,75,13
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,74,12
だけ,だけ,だけ,助詞 副助詞 * * * *,73,13
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,71,13
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,71,13
もう,もう,もう,副詞 * * * * *,71,13
今,今,今,名詞 普通名詞 副詞可能 * * *,71,13
夢,夢,夢,名詞 普通名詞 一般 * * *,71,5
数田,数田,数田,名詞 固有名詞 人名 姓 * *,69,6
けど,けど,けれど,助詞 接続助詞 * * * *,68,12
音,音,音,名詞 普通名詞 一般 * * *,66,12
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,65,13
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,65,13
もの,もの,物,名詞 普通名詞 サ変可能 * * *,65,13
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,63,12
の,の,の,助詞 終助詞 * * * *,62,12
で,で,で,助詞 接続助詞 * * * *,62,11
聖,聖,聖,接頭辞 * * * * *,62,4
誰,誰,誰,代名詞 * * * * *,61,13
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,58,13
そして,そして,そして,接続詞 * * * * *,58,12
〜,〜,〜,補助記号 一般 * * * *,57,13
ジョンウォーカー,ジョンウォーカー,ジョンウォーカー,名詞 普通名詞 一般 * * *,57,9
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,56,13
自分,自分,自分,名詞 普通名詞 一般 * * *,56,13
ミヅハノメ,ミヅハノメ,ミヅハノメ,名詞 普通名詞 一般 * * *,56,10
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,54,13
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,54,13
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,54,13
ば,ば,ば,助詞 接続助詞 * * * *,54,13
ハァ,ハァ,はあ,感動詞 一般 * * * *,54,11
被害者,被害者,被害者,名詞 普通名詞 一般 * * *,53,10
死ん,死ぬ,死ぬ,動詞 一般 * * 五段-ナ行 連用形-撥音便,51,12
隊員,隊員,隊員,名詞 普通名詞 一般 * * *,50,7
とき,とき,時,名詞 普通名詞 副詞可能 * * *,48,11
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,46,13
まで,まで,まで,助詞 副助詞 * * * *,46,13
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,45,13
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,45,12
