Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,14780,123
て,て,て,助詞 接続助詞 * * * *,10811,123
は,は,は,助詞 係助詞 * * * *,10705,123
に,に,に,助詞 格助詞 * * * *,9980,123
を,を,を,助詞 格助詞 * * * *,7857,123
が,が,が,助詞 格助詞 * * * *,7608,123
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,6779,123
と,と,と,助詞 格助詞 * * * *,6163,123
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,5553,123
も,も,も,助詞 係助詞 * * * *,5203,123
ん,ん,の,助詞 準体助詞 * * * *,5052,123
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,4657,123
で,で,で,助詞 格助詞 * * * *,4610,123
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,4117,123
さん,さん,さん,接尾辞 名詞的 一般 * * *,3617,123
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,3437,123
か,か,か,助詞 終助詞 * * * *,3435,123
よ,よ,よ,助詞 終助詞 * * * *,3419,123
の,の,の,助詞 準体助詞 * * * *,3120,123
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,3064,123
ね,ね,ね,助詞 終助詞 * * * *,2445,123
こと,こと,こと,名詞 普通名詞 一般 * * *,2169,123
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,2091,123
お,お,御,接頭辞 * * * * *,2027,123
栗田,栗田,栗田,名詞 固有名詞 人名 姓 * *,2000,123
山岡,山岡,山岡,名詞 固有名詞 地名 一般 * *,1923,123
それ,それ,其れ,代名詞 * * * * *,1788,123
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,1769,123
な,な,な,助詞 終助詞 * * * *,1705,123
何,何,何,代名詞 * * * * *,1684,123
これ,これ,此れ,代名詞 * * * * *,1627,123
山岡,山岡,山岡,名詞 固有名詞 人名 姓 * *,1566,123
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,1564,123
この,この,此の,連体詞 * * * * *,1550,123
か,か,か,助詞 副助詞 * * * *,1517,123
私,私,私,代名詞 * * * * *,1501,123
から,から,から,助詞 接続助詞 * * * *,1461,123
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,1449,123
って,って,って,助詞 副助詞 * * * *,1366,122
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,1256,123
どう,どう,どう,副詞 * * * * *,1238,123
そう,そう,そう,副詞 * * * * *,1191,123
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,1185,123
から,から,から,助詞 格助詞 * * * *,1106,123
その,その,其の,連体詞 * * * * *,1105,122
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,1097,123
が,が,が,助詞 接続助詞 * * * *,1081,122
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,1041,123
もの,もの,物,名詞 普通名詞 サ変可能 * * *,1036,123
あっ,あっ,あっ,感動詞 一般 * * * *,1015,120
わ,わ,わ,助詞 終助詞 * * * *,1008,123
ああ,ああ,ああ,感動詞 一般 * * * *,958,121
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,951,119
料理,料理,料理,名詞 普通名詞 サ変可能 * * *,861,100
はい,はい,はい,感動詞 一般 * * * *,858,121
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,838,120
味,味,味,名詞 普通名詞 一般 * * *,806,112
よう,よう,様,形状詞 助動詞語幹 * * * *,746,122
うん,うん,うん,感動詞 一般 * * * *,743,119
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,706,122
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,702,121
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,694,121
だけ,だけ,だけ,助詞 副助詞 * * * *,684,123
ば,ば,ば,助詞 接続助詞 * * * *,674,122
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,667,121
で,で,で,助詞 接続助詞 * * * *,648,122
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,638,121
と,と,と,助詞 接続助詞 * * * *,627,121
俺,俺,俺,代名詞 * * * * *,625,111
ねえ,ねえ,ね,助詞 終助詞 * * * *,622,114
富井,富井,富井,名詞 固有名詞 人名 姓 * *,615,96
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,599,123
