Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,992,12
は,は,は,助詞 係助詞 * * * *,992,12
に,に,に,助詞 格助詞 * * * *,857,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,841,12
て,て,て,助詞 接続助詞 * * * *,812,12
が,が,が,助詞 格助詞 * * * *,750,12
を,を,を,助詞 格助詞 * * * *,681,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,474,12
も,も,も,助詞 係助詞 * * * *,452,12
か,か,か,助詞 終助詞 * * * *,447,12
と,と,と,助詞 格助詞 * * * *,422,12
で,で,で,助詞 格助詞 * * * *,378,12
な,な,な,助詞 終助詞 * * * *,356,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,349,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,322,12
の,の,の,助詞 準体助詞 * * * *,279,12
ヒーロー,ヒーロー,ヒーロー,名詞 普通名詞 一般 * * *,275,12
俺,俺,俺,代名詞 * * * * *,274,12
怪人,怪人,怪人,名詞 普通名詞 一般 * * *,268,12
サイタマ,サイタマ,サイタマ,名詞 固有名詞 地名 一般 * *,261,12
ん,ん,の,助詞 準体助詞 * * * *,257,12
ガロウ,ガロウ,ガロウ,名詞 普通名詞 一般 * * *,256,11
よ,よ,よ,助詞 終助詞 * * * *,242,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,233,12
音,音,音,名詞 普通名詞 一般 * * *,232,12
お前,お前,御前,代名詞 * * * * *,177,12
か,か,か,助詞 副助詞 * * * *,170,12
たち,たち,達,接尾辞 名詞的 一般 * * *,158,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,150,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,143,12
級,級,級,接尾辞 名詞的 一般 * * *,141,12
この,この,此の,連体詞 * * * * *,140,12
キング,キング,キング,名詞 普通名詞 一般 * * *,140,9
こと,こと,こと,名詞 普通名詞 一般 * * *,133,12
って,って,って,助詞 副助詞 * * * *,133,12
何,何,何,代名詞 * * * * *,133,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,132,12
ジェノス,ジェノス,ジェノス,名詞 普通名詞 一般 * * *,125,10
うん,うん,うん,感動詞 一般 * * * *,119,12
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,117,12
スイリュー,スイリュー,スイリュー,名詞 普通名詞 一般 * * *,115,6
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,114,12
が,が,が,助詞 接続助詞 * * * *,106,12
から,から,から,助詞 接続助詞 * * * *,105,12
これ,これ,此れ,代名詞 * * * * *,97,12
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,94,12
あっ,あっ,あっ,感動詞 一般 * * * *,93,12
ば,ば,ば,助詞 接続助詞 * * * *,88,12
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,85,12
どう,どう,どう,副詞 * * * * *,85,12
ね,ね,ね,助詞 終助詞 * * * *,85,12
ヤツ,ヤツ,奴,名詞 普通名詞 一般 * * *,84,12
〜,〜,〜,補助記号 一般 * * * *,81,12
