Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,498,1
は,は,は,助詞 係助詞 * * * *,429,1
て,て,て,助詞 接続助詞 * * * *,364,1
を,を,を,助詞 格助詞 * * * *,300,1
に,に,に,助詞 格助詞 * * * *,295,1
が,が,が,助詞 格助詞 * * * *,255,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,236,1
と,と,と,助詞 格助詞 * * * *,184,1
も,も,も,助詞 係助詞 * * * *,166,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,144,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,142,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,141,1
の,の,の,助詞 準体助詞 * * * *,130,1
先輩,先輩,先輩,名詞 普通名詞 一般 * * *,129,1
で,で,で,助詞 格助詞 * * * *,123,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,115,1
私,私,私,代名詞 * * * * *,110,1
乙女,乙女,乙女,名詞 普通名詞 一般 * * *,101,1
黒髪,黒髪,黒髪,名詞 普通名詞 一般 * * *,99,1
か,か,か,助詞 終助詞 * * * *,92,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,90,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,86,1
ん,ん,の,助詞 準体助詞 * * * *,76,1
よ,よ,よ,助詞 終助詞 * * * *,69,1
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,66,1
李白,李白,李白,名詞 固有名詞 人名 一般 * *,64,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,56,1
ね,ね,ね,助詞 終助詞 * * * *,54,1
長,長,長,接尾辞 名詞的 一般 * * *,52,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,51,1
こと,こと,こと,名詞 普通名詞 一般 * * *,49,1
彼女,彼女,彼女,代名詞 * * * * *,48,1
パンツ,パンツ,パンツ,名詞 普通名詞 一般 * * *,47,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,46,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,45,1
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,43,1
局,局,局,名詞 普通名詞 助数詞可能 * * *,43,1
東堂,東堂,東堂,名詞 固有名詞 人名 姓 * *,42,1
君,君,君,代名詞 * * * * *,41,1
〜,〜,〜,補助記号 一般 * * * *,40,1
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,40,1
から,から,から,助詞 接続助詞 * * * *,39,1
これ,これ,此れ,代名詞 * * * * *,39,1
な,な,な,助詞 終助詞 * * * *,39,1
ば,ば,ば,助詞 接続助詞 * * * *,39,1
学生,学生,学生,名詞 普通名詞 一般 * * *,39,1
樋口,樋口,樋口,名詞 固有名詞 人名 姓 * *,39,1
よう,よう,様,形状詞 助動詞語幹 * * * *,37,1
へ,へ,へ,助詞 格助詞 * * * *,36,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,36,1
羽貫,羽貫,羽貫,名詞 固有名詞 地名 一般 * *,36,1
か,か,か,助詞 副助詞 * * * *,35,1
風邪,風邪,風邪,名詞 普通名詞 一般 * * *,35,1
･,・,・,補助記号 一般 * * * *,35,1
から,から,から,助詞 格助詞 * * * *,34,1
たち,たち,達,接尾辞 名詞的 一般 * * *,34,1
何,何,何,代名詞 * * * * *,34,1
その,その,其の,連体詞 * * * * *,33,1
が,が,が,助詞 接続助詞 * * * *,32,1
それ,それ,其れ,代名詞 * * * * *,32,1
で,で,で,助詞 接続助詞 * * * *,32,1
この,この,此の,連体詞 * * * * *,31,1
番長,番長,番長,名詞 普通名詞 一般 * * *,30,1
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,29,1
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,29,1
総,総,総,接頭辞 * * * * *,28,1
あっ,あっ,あっ,感動詞 一般 * * * *,27,1
師匠,師匠,師匠,名詞 普通名詞 一般 * * *,27,1
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,26,1
人,人,人,名詞 普通名詞 一般 * * *,26,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,25,1
お,お,御,接頭辞 * * * * *,25,1
もの,もの,物,名詞 普通名詞 サ変可能 * * *,25,1
ここ,ここ,此処,代名詞 * * * * *,24,1
男,男,男,名詞 普通名詞 一般 * * *,24,1
男子,男子,男子,名詞 普通名詞 一般 * * *,24,1
音,音,音,名詞 普通名詞 一般 * * *,24,1
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,23,1
もう,もう,もう,副詞 * * * * *,23,1
俺,俺,俺,代名詞 * * * * *,23,1
古本,古本,古本,名詞 普通名詞 一般 * * *,23,1
今,今,今,名詞 普通名詞 副詞可能 * * *,22,1
劇団員,劇団員,劇団員,名詞 普通名詞 一般 * * *,22,1
王,王,王,名詞 普通名詞 一般 * * *,22,1
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,21,1
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,21,1
偏屈,偏屈,偏屈,名詞 普通名詞 形状詞可能 * * *,21,1
学園祭,学園祭,学園祭,名詞 普通名詞 一般 * * *,21,1
本,本,本,名詞 普通名詞 一般 * * *,21,1
詭弁,詭弁,詭弁,名詞 普通名詞 一般 * * *,21,1
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,20,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,20,1
タ,タ,タ,代名詞 * * * * *,20,1
調査団,調査団,調査団,名詞 普通名詞 一般 * * *,20,1
い,い,い,助詞 終助詞 * * * *,19,1
