Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,2417,25
は,は,は,助詞 係助詞 * * * *,1964,25
に,に,に,助詞 格助詞 * * * *,1492,25
を,を,を,助詞 格助詞 * * * *,1406,25
て,て,て,助詞 接続助詞 * * * *,1291,25
が,が,が,助詞 格助詞 * * * *,1221,25
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1006,25
と,と,と,助詞 格助詞 * * * *,859,25
も,も,も,助詞 係助詞 * * * *,743,25
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,696,25
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,682,25
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,560,25
で,で,で,助詞 格助詞 * * * *,524,25
〜,〜,〜,補助記号 一般 * * * *,519,25
の,の,の,助詞 準体助詞 * * * *,431,25
よ,よ,よ,助詞 終助詞 * * * *,396,25
メリオダス,メリオダス,メリオダス,名詞 普通名詞 一般 * * *,385,25
か,か,か,助詞 終助詞 * * * *,375,25
あ,あ,あっ,感動詞 一般 * * * *,367,25
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,367,25
キング,キング,キング,名詞 普通名詞 一般 * * *,367,25
エリザベス,エリザベス,エリザベス,名詞 固有名詞 人名 一般 * *,366,23
ディアンヌ,ディアンヌ,ディアンヌ,名詞 固有名詞 人名 一般 * *,345,25
な,な,な,助詞 終助詞 * * * *,343,25
魔神,魔神,魔神,名詞 普通名詞 一般 * * *,330,25
たち,たち,達,接尾辞 名詞的 一般 * * *,304,25
ん,ん,の,助詞 準体助詞 * * * *,304,25
俺,俺,俺,代名詞 * * * * *,300,25
こと,こと,こと,名詞 普通名詞 一般 * * *,280,25
ゴウセル,ゴウセル,ゴウセル,名詞 普通名詞 一般 * * *,265,20
私,私,私,代名詞 * * * * *,263,24
う,う,うう,感動詞 一般 * * * *,255,25
ああ,ああ,ああ,感動詞 一般 * * * *,252,24
お前,お前,御前,代名詞 * * * * *,225,25
マーリン,マーリン,マーリン,名詞 固有名詞 人名 一般 * *,218,18
戒,戒,戒,名詞 普通名詞 一般 * * *,213,25
か,か,か,助詞 副助詞 * * * *,208,25
それ,それ,其れ,代名詞 * * * * *,207,25
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,207,25
どう,どう,どう,副詞 * * * * *,206,25
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,204,25
その,その,其の,連体詞 * * * * *,203,25
ら,ら,等,接尾辞 名詞的 一般 * * *,194,25
族,族,族,接尾辞 名詞的 一般 * * *,194,24
