Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,1481,15
の,の,の,助詞 格助詞 * * * *,1444,15
て,て,て,助詞 接続助詞 * * * *,1160,15
を,を,を,助詞 格助詞 * * * *,1126,15
に,に,に,助詞 格助詞 * * * *,1089,15
が,が,が,助詞 格助詞 * * * *,785,15
と,と,と,助詞 格助詞 * * * *,723,15
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,720,15
か,か,か,助詞 終助詞 * * * *,546,15
で,で,で,助詞 格助詞 * * * *,536,15
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,494,15
も,も,も,助詞 係助詞 * * * *,490,15
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,478,15
の,の,の,助詞 準体助詞 * * * *,461,15
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,457,15
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,429,15
アインズ,アインズ,アインズ,名詞 固有名詞 一般 * * *,412,14
な,な,な,助詞 終助詞 * * * *,316,15
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,295,14
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,290,15
様,様,様,接尾辞 名詞的 一般 * * *,253,15
よ,よ,よ,助詞 終助詞 * * * *,252,15
こと,こと,こと,名詞 普通名詞 一般 * * *,251,15
たち,たち,達,接尾辞 名詞的 一般 * * *,250,15
･,・,・,補助記号 一般 * * * *,231,15
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,229,15
ん,ん,の,助詞 準体助詞 * * * *,224,15
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,222,15
あっ,あっ,あっ,感動詞 一般 * * * *,220,15
私,私,私,代名詞 * * * * *,213,15
ね,ね,ね,助詞 終助詞 * * * *,209,15
か,か,か,助詞 副助詞 * * * *,202,15
お,お,御,接頭辞 * * * * *,198,15
それ,それ,其れ,代名詞 * * * * *,198,15
そう,そう,そう,副詞 * * * * *,182,15
何,何,何,代名詞 * * * * *,180,15
セバス,セバス,セバス,名詞 普通名詞 一般 * * *,178,11
ば,ば,ば,助詞 接続助詞 * * * *,176,15
が,が,が,助詞 接続助詞 * * * *,174,15
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,169,15
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,160,15
クライム,クライム,クライム,名詞 普通名詞 一般 * * *,156,8
この,この,此の,連体詞 * * * * *,151,15
俺,俺,俺,代名詞 * * * * *,147,15
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,144,14
ザリュース,ザリュース,ザリュース,名詞 普通名詞 一般 * * *,143,6
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,142,15
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,141,15
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,138,15
お前,お前,御前,代名詞 * * * * *,136,15
から,から,から,助詞 接続助詞 * * * *,127,15
デミウルゴス,デミウルゴス,デミウルゴス,名詞 固有名詞 人名 一般 * *,126,11
モモン,モモン,モモン,名詞 普通名詞 一般 * * *,121,6
よう,よう,様,形状詞 助動詞語幹 * * * *,117,15
コキュートス,コキュートス,コキュートス,名詞 普通名詞 一般 * * *,116,7
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,115,15
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,114,15
これ,これ,此れ,代名詞 * * * * *,113,15
その,その,其の,連体詞 * * * * *,113,15
どう,どう,どう,副詞 * * * * *,110,15
イビルアイ,イビルアイ,イビルアイ,名詞 普通名詞 一般 * * *,107,5
から,から,から,助詞 格助詞 * * * *,106,15
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,106,15
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,101,15
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,100,15
うん,うん,うん,感動詞 一般 * * * *,95,15
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,95,15
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,93,15
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,92,15
ティア,ティア,ティア,名詞 普通名詞 一般 * * *,91,10
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,89,15
ハァ,ハァ,はあ,感動詞 一般 * * * *,89,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,86,15
さん,さん,さん,接尾辞 名詞的 一般 * * *,84,12
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,83,14
わ,わ,わ,助詞 終助詞 * * * *,83,13
アルベド,アルベド,アルベド,名詞 普通名詞 一般 * * *,82,9
〜,〜,〜,補助記号 一般 * * * *,80,14
者,者,者,名詞 普通名詞 一般 * * *,77,15
クルシュ,クルシュ,くるしゅ,名詞 普通名詞 一般 * * *,76,4
って,って,って,助詞 副助詞 * * * *,75,14
リザードマン,リザードマン,リザードマン,名詞 普通名詞 一般 * * *,75,6
あの,あの,彼の,連体詞 * * * * *,74,15
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,73,15
はい,はい,はい,感動詞 一般 * * * *,73,15
