Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,747,12
て,て,て,助詞 接続助詞 * * * *,745,12
の,の,の,助詞 格助詞 * * * *,655,12
も,も,も,助詞 係助詞 * * * *,650,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,585,12
に,に,に,助詞 格助詞 * * * *,535,12
で,で,で,助詞 格助詞 * * * *,440,12
よ,よ,よ,助詞 終助詞 * * * *,432,12
ね,ね,ね,助詞 終助詞 * * * *,430,12
が,が,が,助詞 格助詞 * * * *,410,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,370,12
と,と,と,助詞 格助詞 * * * *,353,12
ん,ん,の,助詞 準体助詞 * * * *,350,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,342,12
か,か,か,助詞 終助詞 * * * *,320,12
の,の,の,助詞 準体助詞 * * * *,302,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,295,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,288,12
って,って,って,助詞 副助詞 * * * *,257,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,240,12
そう,そう,そう,副詞 * * * * *,235,12
何,何,何,代名詞 * * * * *,233,12
から,から,から,助詞 接続助詞 * * * *,227,12
か,か,か,助詞 副助詞 * * * *,218,12
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,216,12
〜,〜,〜,補助記号 一般 * * * *,208,12
な,な,な,助詞 終助詞 * * * *,206,12
さん,さん,さん,接尾辞 名詞的 一般 * * *,203,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,199,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,185,12
を,を,を,助詞 格助詞 * * * *,184,12
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,179,12
こと,こと,こと,名詞 普通名詞 一般 * * *,172,12
お,お,御,接頭辞 * * * * *,167,12
けど,けど,けれど,助詞 接続助詞 * * * *,152,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,143,12
それ,それ,其れ,代名詞 * * * * *,140,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,137,12
わ,わ,わ,助詞 終助詞 * * * *,135,12
悟浄,悟浄,悟浄,名詞 固有名詞 人名 名 * *,132,12
し,し,し,助詞 接続助詞 * * * *,128,12
の,の,の,助詞 終助詞 * * * *,126,12
はい,はい,はい,感動詞 一般 * * * *,121,12
わたし,わたし,私,代名詞 * * * * *,121,12
ー,ー,ー,補助記号 一般 * * * *,121,11
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,120,12
この,この,此の,連体詞 * * * * *,119,12
うん,うん,うん,感動詞 一般 * * * *,113,12
九,九,9,名詞 数詞 * * * *,113,12
頭,頭,頭,接尾辞 名詞的 助数詞 * * *,113,12
私,私,私,代名詞 * * * * *,101,11
どう,どう,どう,副詞 * * * * *,100,12
ッ,ッ,つ,接尾辞 名詞的 助数詞 * * *,98,11
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,97,12
百花,百花,百花,名詞 普通名詞 一般 * * *,97,11
千歳,千歳,千歳,名詞 固有名詞 地名 一般 * *,93,12
あッ,あッ,あっ,感動詞 一般 * * * *,91,12
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,91,12
えッ,えッ,えっ,感動詞 一般 * * * *,91,12
これ,これ,此れ,代名詞 * * * * *,89,12
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,89,12
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,86,12
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,86,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,85,12
ち,ち,ちっ,副詞 * * * * *,85,10
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,84,12
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,84,12
もう,もう,もう,副詞 * * * * *,80,12
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,77,12
だけ,だけ,だけ,助詞 副助詞 * * * *,74,12
から,から,から,助詞 格助詞 * * * *,73,12
君,君,君,接尾辞 名詞的 一般 * * *,72,8
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,71,11
万葉,万葉,万葉,名詞 普通名詞 一般 * * *,69,11
烏丸,烏丸,烏丸,名詞 固有名詞 人名 姓 * *,69,11
そんな,そんな,そんな,連体詞 * * * * *,68,12
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,68,12
声優,声優,声優,名詞 普通名詞 一般 * * *,68,12
まあ,まあ,まあ,副詞 * * * * *,67,12
ああ,ああ,ああ,感動詞 一般 * * * *,66,12
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,66,10
ちょっと,ちょっと,一寸,副詞 * * * * *,63,12
人,人,人,名詞 普通名詞 一般 * * *,63,12
や,や,や,助動詞 * * * 助動詞-ヤ 終止形-一般,63,9
うち,うち,内,名詞 普通名詞 副詞可能 * * *,62,12
あの,あの,彼の,連体詞 * * * * *,61,12
仕事,仕事,仕事,名詞 普通名詞 サ変可能 * * *,58,12
いや,いや,否,感動詞 一般 * * * *,58,11
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,57,12
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,56,12
その,その,其の,連体詞 * * * * *,55,12
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,55,12
アニメ,アニメ,アニメ,名詞 普通名詞 一般 * * *,55,11
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,53,12
ば,ば,ば,助詞 接続助詞 * * * *,53,12
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,53,12
俺,俺,俺,代名詞 * * * * *,53,11
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,53,10
お疲れさま,お疲れさま,お疲れ様,名詞 普通名詞 一般 * * *,53,9
今,今,今,名詞 普通名詞 副詞可能 * * *,52,12
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,50,11
が,が,が,助詞 接続助詞 * * * *,49,12
話,話,話,名詞 普通名詞 サ変可能 * * *,48,12
と,と,と,助詞 接続助詞 * * * *,48,11
お前,お前,御前,代名詞 * * * * *,48,9
もっと,もっと,もっと,副詞 * * * * *,48,9
願い,願う,願う,動詞 非自立可能 * * 五段-ワア行 連用形-一般,47,12
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,47,11
十和田,十和田,十和田,名詞 固有名詞 地名 一般 * *,46,11
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,45,12
なんて,なんて,なんて,助詞 副助詞 * * * *,45,12
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,45,11
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,43,12
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,43,12
いう,いう,言う,動詞 一般 * * 五段-ワア行 終止形-一般,43,9
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,42,12
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,42,11
じゃあ,じゃあ,で,接続詞 * * * * *,42,10
ござい,ござる,御座る,動詞 非自立可能 * * 五段-ラ行 連用形-イ音便,41,9
よろしく,よろしく,宜しく,副詞 * * * * *,41,9
誰,誰,誰,代名詞 * * * * *,40,12
ごめん,ごめん,御免,名詞 普通名詞 一般 * * *,40,11
こんな,こんな,こんな,連体詞 * * * * *,39,12
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,39,12
でし,です,です,助動詞 * * * 助動詞-デス 連用形-一般,39,12
まで,まで,まで,助詞 副助詞 * * * *,39,11
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,39,11
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,38,12
出,出る,出る,動詞 一般 * * 下一段-ダ行 連用形-一般,38,11
じゃん,じゃん,じゃん,助詞 終助詞 * * * *,37,12
はあ,はあ,はあ,感動詞 一般 * * * *,37,10
京,京,京,名詞 普通名詞 一般 * * *,37,10
あんた,あんた,貴方,代名詞 * * * * *,36,11
さま,さま,様,名詞 普通名詞 一般 * * *,36,11
子,子,子,名詞 普通名詞 一般 * * *,36,11
柴崎,柴崎,柴崎,名詞 固有名詞 人名 姓 * *,36,10
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,35,12
さ,さ,さ,助詞 終助詞 * * * *,35,11
なく,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-一般,35,10
また,また,又,接続詞 * * * * *,35,10
で,で,で,助詞 接続助詞 * * * *,34,9
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,33,12
まだ,まだ,未だ,副詞 * * * * *,33,11
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,33,11
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,33,11
なく,ない,無い,形容詞 非自立可能 * * 形容詞 連用形-一般,33,10
気,気,気,名詞 普通名詞 一般 * * *,33,10
なあ,なあ,な,助詞 終助詞 * * * *,33,7
あれ,あれ,彼れ,代名詞 * * * * *,32,11
や,や,や,助詞 副助詞 * * * *,32,11
よかっ,よい,良い,形容詞 非自立可能 * * 形容詞 連用形-促音便,32,11
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,32,10
たい,たい,たい,助動詞 * * * 助動詞-タイ 終止形-一般,32,10
わけ,わけ,訳,名詞 普通名詞 一般 * * *,32,10
聞い,聞く,聞く,動詞 一般 * * 五段-カ行 連用形-イ音便,32,10
作品,作品,作品,名詞 普通名詞 一般 * * *,31,8
ご,ご,御,接頭辞 * * * * *,30,11
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,30,11
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,30,11
新人,新人,新人,名詞 普通名詞 一般 * * *,30,11
ここ,ここ,此処,代名詞 * * * * *,30,10
八重,八重,八重,名詞 普通名詞 一般 * * *,30,10
好き,好き,好き,形状詞 一般 * * * *,30,10
分かっ,分かる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,30,9
次,次,次,名詞 普通名詞 一般 * * *,30,9
監督,監督,監督,名詞 普通名詞 サ変可能 * * *,30,9
なん,なん,何,代名詞 * * * * *,29,10
勝っ,勝つ,勝つ,動詞 一般 * * 五段-タ行 連用形-促音便,29,10
全然,全然,全然,副詞 * * * * *,29,9
難波,難波,難波,名詞 固有名詞 地名 一般 * *,29,9
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,28,12
ほら,ほら,ほら,感動詞 一般 * * * *,28,11
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,28,10
原作,原作,原作,名詞 普通名詞 一般 * * *,28,9
先生,先生,先生,名詞 普通名詞 一般 * * *,28,8
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,27,12
しか,しか,しか,助詞 副助詞 * * * *,27,11
そう,そう,そう,形状詞 助動詞語幹 * * * *,27,11
別,別,別,名詞 普通名詞 形状詞可能 * * *,27,9
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,26,12
す,す,っす,助動詞 * * * 助動詞-デス 終止形-一般,26,11
ち,ち,ち,名詞 普通名詞 一般 * * *,26,11
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,26,10
そっ,そっ,そう,副詞 * * * * *,26,10
