Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,319,3
の,の,の,助詞 格助詞 * * * *,240,3
に,に,に,助詞 格助詞 * * * *,225,3
て,て,て,助詞 接続助詞 * * * *,210,3
を,を,を,助詞 格助詞 * * * *,210,3
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,162,3
が,が,が,助詞 格助詞 * * * *,153,3
と,と,と,助詞 格助詞 * * * *,116,3
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,98,3
で,で,で,助詞 格助詞 * * * *,91,3
も,も,も,助詞 係助詞 * * * *,87,3
か,か,か,助詞 終助詞 * * * *,83,3
の,の,の,助詞 準体助詞 * * * *,79,3
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,78,3
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,66,3
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,63,3
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,58,3
こと,こと,こと,名詞 普通名詞 一般 * * *,56,3
俺,俺,俺,代名詞 * * * * *,48,3
な,な,な,助詞 終助詞 * * * *,45,3
地球,地球,地球,名詞 普通名詞 一般 * * *,45,3
この,この,此の,連体詞 * * * * *,43,3
・,・,・,補助記号 一般 * * * *,41,3
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,35,3
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,35,3
ん,ん,の,助詞 準体助詞 * * * *,35,3
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,32,3
が,が,が,助詞 接続助詞 * * * *,32,3
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,31,3
たち,たち,達,接尾辞 名詞的 一般 * * *,31,3
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,31,3
ね,ね,ね,助詞 終助詞 * * * *,31,3
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,31,3
私,私,私,代名詞 * * * * *,30,3
から,から,から,助詞 格助詞 * * * *,28,3
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,28,3
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,27,3
ば,ば,ば,助詞 接続助詞 * * * *,27,3
マリーメイア,マリーメイア,マリーメイア,名詞 普通名詞 一般 * * *,27,3
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,25,3
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,25,3
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,25,3
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,25,3
何,何,何,代名詞 * * * * *,25,3
それ,それ,其れ,代名詞 * * * * *,24,3
これ,これ,此れ,代名詞 * * * * *,23,3
コロニー,コロニー,コロニー,名詞 普通名詞 一般 * * *,23,3
ああ,ああ,ああ,感動詞 一般 * * * *,22,3
あなた,あなた,貴方,代名詞 * * * * *,22,3
平和,平和,平和,名詞 普通名詞 形状詞可能 * * *,22,3
そう,そう,そう,副詞 * * * * *,21,3
もう,もう,もう,副詞 * * * * *,21,3
よ,よ,よ,助詞 終助詞 * * * *,21,3
わ,わ,わ,助詞 終助詞 * * * *,21,3
か,か,か,助詞 副助詞 * * * *,20,3
くっ,くっ,くっ,感動詞 一般 * * * *,20,3
どう,どう,どう,副詞 * * * * *,20,3
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,19,3
だけ,だけ,だけ,助詞 副助詞 * * * *,19,3
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,19,3
ガンダム,ガンダム,ガンダム,名詞 固有名詞 一般 * * *,19,3
お前,お前,御前,代名詞 * * * * *,18,3
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,18,3
なに,なに,何,代名詞 * * * * *,18,3
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,18,3
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,17,3
んっ,んっ,んっ,感動詞 一般 * * * *,17,3
我々,我々,我々,代名詞 * * * * *,17,3
から,から,から,助詞 接続助詞 * * * *,16,3
ため,ため,為,名詞 普通名詞 副詞可能 * * *,16,3
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,16,3
トレーズ,トレーズ,トレーズ,名詞 普通名詞 一般 * * *,16,3
ヒイロ,ヒイロ,ヒイロ,名詞 普通名詞 一般 * * *,16,3
今,今,今,名詞 普通名詞 副詞可能 * * *,16,3
貴様,貴様,貴様,代名詞 * * * * *,16,3
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,15,3
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,15,3
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,15,3
って,って,って,助詞 副助詞 * * * *,15,3
もの,もの,物,名詞 普通名詞 サ変可能 * * *,15,3
ら,ら,等,接尾辞 名詞的 一般 * * *,15,3
トロワ,トロワ,トロワ,名詞 普通名詞 一般 * * *,15,3
様,様,様,接尾辞 名詞的 一般 * * *,15,3
お,お,御,接頭辞 * * * * *,14,3
ここ,ここ,此処,代名詞 * * * * *,14,3
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,14,3
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,14,3
まで,まで,まで,助詞 副助詞 * * * *,14,3
よう,よう,様,形状詞 助動詞語幹 * * * *,14,3
圏,圏,圏,接尾辞 名詞的 一般 * * *,14,3
あっ,あっ,あっ,感動詞 一般 * * * *,14,2
あの,あの,彼の,連体詞 * * * * *,13,3
その,その,其の,連体詞 * * * * *,13,3
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,13,3
で,で,で,助詞 接続助詞 * * * *,13,3
バートン,バートン,バートン,名詞 固有名詞 人名 一般 * *,13,3
モビル,モビル,モビル,名詞 普通名詞 一般 * * *,13,3
オペレーション,オペレーション,オペレーション,名詞 普通名詞 一般 * * *,13,2
メテオ,メテオ,メテオ,名詞 普通名詞 一般 * * *,13,2
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,12,3
カトル,カトル,カトル,名詞 普通名詞 一般 * * *,12,3
スーツ,スーツ,スーツ,名詞 普通名詞 一般 * * *,12,3
年,年,年,名詞 普通名詞 助数詞可能 * * *,12,3
あと,あと,後,名詞 普通名詞 副詞可能 * * *,11,3
つもり,つもり,積もり,名詞 普通名詞 一般 * * *,11,3
の,の,の,助詞 終助詞 * * * *,11,3
ん,ん,んっ,感動詞 一般 * * * *,11,3
デキム,デキム,デキム,名詞 普通名詞 一般 * * *,11,3
リリーナ,リリーナ,リリーナ,名詞 普通名詞 一般 * * *,11,3
五,五,5,名詞 数詞 * * * *,11,3
人類,人類,人類,名詞 普通名詞 一般 * * *,11,3
誰,誰,誰,代名詞 * * * * *,11,3
飛,飛,飛,名詞 普通名詞 一般 * * *,11,3
戦争,戦争,戦争,名詞 普通名詞 サ変可能 * * *,11,2
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,10,3
こんな,こんな,こんな,連体詞 * * * * *,10,3
とき,とき,時,名詞 普通名詞 副詞可能 * * *,10,3
兵士,兵士,兵士,名詞 普通名詞 一般 * * *,10,3
廃棄,廃棄,廃棄,名詞 普通名詞 サ変可能 * * *,10,3
戦っ,戦う,戦う,動詞 一般 * * 五段-ワア行 連用形-促音便,10,3
第,第,第,接頭辞 * * * * *,10,2
こいつ,こいつ,此奴,代名詞 * * * * *,9,3
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,9,3
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,9,3
なかっ,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-促音便,9,3
なく,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-一般,9,3
わけ,わけ,訳,名詞 普通名詞 一般 * * *,9,3
僕,僕,僕,代名詞 * * * * *,9,3
こちら,こちら,此方,代名詞 * * * * *,9,2
衛星,衛星,衛星,名詞 普通名詞 一般 * * *,9,2
ああっ,ああっ,ああ,感動詞 一般 * * * *,8,3
うっ,うっ,うう,感動詞 一般 * * * *,8,3
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,8,3
しろ,する,為る,動詞 非自立可能 * * サ行変格 命令形,8,3
そして,そして,そして,接続詞 * * * * *,8,3
できる,できる,出来る,動詞 非自立可能 * * 上一段-カ行 終止形-一般,8,3
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,8,3
まだ,まだ,未だ,副詞 * * * * *,8,3
やつ,やつ,奴,名詞 普通名詞 一般 * * *,8,3
わたくし,わたくし,私,代名詞 * * * * *,8,3
了解,了解,了解,名詞 普通名詞 サ変可能 * * *,8,3
人々,人々,人々,名詞 普通名詞 一般 * * *,8,3
分かっ,分かる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,8,3
戦い,戦い,戦い,名詞 普通名詞 一般 * * *,8,3
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,8,3
