Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,153,2
の,の,の,助詞 格助詞 * * * *,127,2
て,て,て,助詞 接続助詞 * * * *,109,2
に,に,に,助詞 格助詞 * * * *,95,2
よ,よ,よ,助詞 終助詞 * * * *,90,2
は,は,は,助詞 係助詞 * * * *,85,2
が,が,が,助詞 格助詞 * * * *,73,2
ん,ん,の,助詞 準体助詞 * * * *,70,2
も,も,も,助詞 係助詞 * * * *,67,2
か,か,か,助詞 終助詞 * * * *,61,2
で,で,で,助詞 格助詞 * * * *,61,2
な,な,な,助詞 終助詞 * * * *,58,2
って,って,って,助詞 副助詞 * * * *,51,2
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,49,2
と,と,と,助詞 格助詞 * * * *,48,2
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,45,2
を,を,を,助詞 格助詞 * * * *,41,2
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,39,2
鹿島,鹿島,鹿島,名詞 固有名詞 地名 一般 * *,38,1
から,から,から,助詞 接続助詞 * * * *,37,2
ね,ね,ね,助詞 終助詞 * * * *,37,2
先輩,先輩,先輩,名詞 普通名詞 一般 * * *,35,2
か,か,か,助詞 副助詞 * * * *,34,2
私,私,私,代名詞 * * * * *,33,2
の,の,の,助詞 準体助詞 * * * *,32,2
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,31,2
くん,くん,君,接尾辞 名詞的 一般 * * *,30,2
そう,そう,そう,副詞 * * * * *,30,2
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,28,2
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,24,2
野崎,野崎,野崎,名詞 固有名詞 地名 一般 * *,23,2
それ,それ,其れ,代名詞 * * * * *,22,2
なぁ,なぁ,な,助詞 終助詞 * * * *,22,2
いや,いや,否,感動詞 一般 * * * *,21,2
なん,なん,何,代名詞 * * * * *,21,2
の,の,の,助詞 終助詞 * * * *,21,2
俺,俺,俺,代名詞 * * * * *,21,2
けど,けど,けれど,助詞 接続助詞 * * * *,20,2
どう,どう,どう,副詞 * * * * *,20,2
君,君,君,接尾辞 名詞的 一般 * * *,20,2
こと,こと,こと,名詞 普通名詞 一般 * * *,19,2
もう,もう,もう,副詞 * * * * *,19,2
から,から,から,助詞 格助詞 * * * *,17,2
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,17,2
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,17,2
はい,はい,はい,感動詞 一般 * * * *,16,2
りん,りん,りん,接尾辞 名詞的 一般 * * *,16,2
佐倉,佐倉,佐倉,名詞 固有名詞 人名 姓 * *,16,2
その,その,其の,連体詞 * * * * *,15,2
みこ,みこ,みこ,名詞 普通名詞 一般 * * *,15,2
御子柴,御子柴,御子柴,名詞 固有名詞 人名 姓 * *,15,2
ちょっと,ちょっと,一寸,副詞 * * * * *,14,2
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,14,2
何,何,何,代名詞 * * * * *,14,2
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,13,2
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,13,2
月,月,月,名詞 普通名詞 助数詞可能 * * *,13,2
結,結,結,名詞 普通名詞 一般 * * *,13,2
様,様,様,接尾辞 名詞的 一般 * * *,13,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,12,2
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,12,2
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,12,2
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,12,2
ー,ー,ー,補助記号 一般 * * * *,12,2
人,人,人,名詞 普通名詞 一般 * * *,12,2
