Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,216,1
て,て,て,助詞 接続助詞 * * * *,210,1
に,に,に,助詞 格助詞 * * * *,200,1
は,は,は,助詞 係助詞 * * * *,199,1
〜,〜,〜,補助記号 一般 * * * *,188,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,179,1
よ,よ,よ,助詞 終助詞 * * * *,164,1
が,が,が,助詞 格助詞 * * * *,156,1
を,を,を,助詞 格助詞 * * * *,138,1
ね,ね,ね,助詞 終助詞 * * * *,131,1
ハウル,ハウル,ハウル,名詞 固有名詞 地名 一般 * *,112,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,107,1
も,も,も,助詞 係助詞 * * * *,99,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,97,1
ソフィー,ソフィー,ソフィー,名詞 固有名詞 人名 一般 * *,87,1
ん,ん,の,助詞 準体助詞 * * * *,80,1
お,お,御,接頭辞 * * * * *,78,1
の,の,の,助詞 終助詞 * * * *,74,1
で,で,で,助詞 格助詞 * * * *,72,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,72,1
の,の,の,助詞 準体助詞 * * * *,66,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,64,1
私,私,私,代名詞 * * * * *,63,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,58,1
か,か,か,助詞 終助詞 * * * *,52,1
わ,わ,わ,助詞 終助詞 * * * *,52,1
カルシファー,カルシファー,カルシファー,名詞 普通名詞 一般 * * *,49,1
ヒン,ヒン,ヒン,名詞 普通名詞 一般 * * *,49,1
って,って,って,助詞 副助詞 * * * *,45,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,45,1
マルクル,マルクル,マルクル,名詞 普通名詞 一般 * * *,44,1
と,と,と,助詞 格助詞 * * * *,43,1
から,から,から,助詞 接続助詞 * * * *,42,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,42,1
ハァ,ハァ,はあ,感動詞 一般 * * * *,41,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,40,1
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,40,1
こと,こと,こと,名詞 普通名詞 一般 * * *,39,1
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,39,1
何,何,何,代名詞 * * * * *,39,1
あっ,あっ,あっ,感動詞 一般 * * * *,38,1
ばあ,ばあ,婆,名詞 普通名詞 一般 * * *,33,1
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,32,1
魔女,魔女,魔女,名詞 普通名詞 一般 * * *,32,1
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,31,1
あんた,あんた,貴方,代名詞 * * * * *,29,1
ここ,ここ,此処,代名詞 * * * * *,29,1
この,この,此の,連体詞 * * * * *,29,1
な,な,な,助詞 終助詞 * * * *,29,1
もう,もう,もう,副詞 * * * * *,29,1
ねぇ,ねぇ,ね,助詞 終助詞 * * * *,28,1
オイラ,オイラ,オイラ,代名詞 * * * * *,28,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,26,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,26,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,26,1
あぁ,あぁ,ああ,感動詞 一般 * * * *,25,1
そう,そう,そう,副詞 * * * * *,25,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,25,1
へ,へ,へ,助詞 格助詞 * * * *,25,1
魔法,魔法,魔法,名詞 普通名詞 一般 * * *,25,1
あなた,あなた,貴方,代名詞 * * * * *,24,1
それ,それ,其れ,代名詞 * * * * *,24,1
サリマン,サリマン,サリマン,名詞 普通名詞 一般 * * *,23,1
さ,さ,さ,助詞 終助詞 * * * *,22,1
荒地,荒地,荒れ地,名詞 普通名詞 一般 * * *,22,1
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,21,1
城,城,城,名詞 普通名詞 一般 * * *,21,1
音,音,音,名詞 普通名詞 一般 * * *,21,1
か,か,か,助詞 副助詞 * * * *,20,1
で,で,で,助詞 接続助詞 * * * *,20,1
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,20,1
カブ,カブ,カブ,名詞 普通名詞 一般 * * *,20,1
人,人,人,名詞 普通名詞 一般 * * *,20,1
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,19,1
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,18,1
ば,ば,ば,助詞 接続助詞 * * * *,18,1
僕,僕,僕,代名詞 * * * * *,18,1
呪い,呪い,呪い,名詞 普通名詞 一般 * * *,18,1
うん,うん,うん,感動詞 一般 * * * *,17,1
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,17,1
から,から,から,助詞 格助詞 * * * *,16,1
これ,これ,此れ,代名詞 * * * * *,16,1
もの,もの,物,名詞 普通名詞 サ変可能 * * *,16,1
ん,ん,んっ,感動詞 一般 * * * *,16,1
あの,あの,彼の,連体詞 * * * * *,15,1
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,15,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,15,1
どう,どう,どう,副詞 * * * * *,15,1
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,15,1
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,15,1
ああっ,ああっ,ああ,感動詞 一般 * * * *,14,1
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,14,1
だけ,だけ,だけ,助詞 副助詞 * * * *,14,1
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,14,1
掃除,掃除,掃除,名詞 普通名詞 サ変可能 * * *,14,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,13,1
その,その,其の,連体詞 * * * * *,13,1
ちょっと,ちょっと,一寸,副詞 * * * * *,13,1
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,13,1
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,13,1
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,13,1
キレイ,キレイ,奇麗,形状詞 一般 * * * *,13,1
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,13,1
あ,あ,あっ,感動詞 一般 * * * *,12,1
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,12,1
けど,けど,けれど,助詞 接続助詞 * * * *,12,1
ちゃう,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 終止形-一般,12,1
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,12,1
なぁ,なぁ,な,助詞 終助詞 * * * *,12,1
よう,よう,様,形状詞 助動詞語幹 * * * *,12,1
い,い,い,助詞 終助詞 * * * *,11,1
えっ,えっ,えっ,感動詞 一般 * * * *,11,1
こんな,こんな,こんな,連体詞 * * * * *,11,1
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,11,1
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,11,1
また,また,又,接続詞 * * * * *,11,1
よいしょ,よいしょ,よいしょ,感動詞 一般 * * * *,11,1
ダメ,ダメ,駄目,名詞 普通名詞 形状詞可能 * * *,11,1
ドア,ドア,ドア,名詞 普通名詞 一般 * * *,11,1
ノック,ノック,ノック,名詞 普通名詞 サ変可能 * * *,11,1
家,家,家,名詞 普通名詞 一般 * * *,11,1
心臓,心臓,心臓,名詞 普通名詞 一般 * * *,11,1
早く,早い,早い,形容詞 一般 * * 形容詞 連用形-一般,11,1
王様,王様,王様,名詞 普通名詞 一般 * * *,11,1
行っ,行く,行く,動詞 非自立可能 * * 五段-カ行 連用形-促音便,11,1
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,11,1
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,10,1
と,と,と,助詞 接続助詞 * * * *,10,1
なきゃ,ない,ない,助動詞 * * * 助動詞-ナイ 仮定形-融合,10,1
はい,はい,はい,感動詞 一般 * * * *,10,1
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,10,1
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,10,1
やめ,やめる,やめる,動詞 一般 * * 下一段-マ行 連用形-一般,10,1
ハニー,ハニー,ハニー,名詞 普通名詞 一般 * * *,10,1
フ,フ,フ,名詞 普通名詞 一般 * * *,10,1
待っ,待つ,待つ,動詞 一般 * * 五段-タ行 連用形-促音便,10,1
町,町,町,名詞 普通名詞 一般 * * *,10,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,9,1
うっ,うっ,うう,感動詞 一般 * * * *,9,1
かしら,かしら,かしら,助詞 終助詞 * * * *,9,1
なんか,なんか,なんか,助詞 副助詞 * * * *,9,1
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,9,1
よかっ,よい,良い,形容詞 非自立可能 * * 形容詞 連用形-促音便,9,1
ペンドラゴン,ペンドラゴン,ペンドラゴン,名詞 普通名詞 一般 * * *,9,1
レティー,レティー,レティー,名詞 普通名詞 一般 * * *,9,1
今度,今度,今度,名詞 普通名詞 副詞可能 * * *,9,1
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,9,1
元気,元気,元気,名詞 普通名詞 形状詞可能 * * *,9,1
心,心,心,名詞 普通名詞 サ変可能 * * *,9,1
戦争,戦争,戦争,名詞 普通名詞 サ変可能 * * *,9,1
本当,本当,本当,名詞 普通名詞 一般 * * *,9,1
死ん,死ぬ,死ぬ,動詞 一般 * * 五段-ナ行 連用形-撥音便,9,1
気,気,気,名詞 普通名詞 一般 * * *,9,1
行く,行く,行く,動詞 非自立可能 * * 五段-カ行 連体形-一般,9,1
達,達,達,接尾辞 名詞的 一般 * * *,9,1
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,8,1
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,8,1
うわっ,うわっ,うわ,感動詞 一般 * * * *,8,1
しか,しか,しか,助詞 副助詞 * * * *,8,1
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,8,1
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,8,1
そう,そう,そう,形状詞 助動詞語幹 * * * *,8,1
たい,たい,たい,助動詞 * * * 助動詞-タイ 連体形-一般,8,1
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,8,1
とこ,とこ,とこ,名詞 普通名詞 一般 * * *,8,1
どこ,どこ,どこ,代名詞 * * * * *,8,1
なく,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-一般,8,1
なんて,なんて,なんて,助詞 副助詞 * * * *,8,1
よ〜,よ〜,よ,助詞 終助詞 * * * *,8,1
られ,られる,られる,助動詞 * * * 助動詞-レル 連用形-一般,8,1
コ,コ,こ,名詞 普通名詞 一般 * * *,8,1
使い,使い,使い,名詞 普通名詞 一般 * * *,8,1
入っ,入る,入る,動詞 一般 * * 五段-ラ行 連用形-促音便,8,1
力,力,力,名詞 普通名詞 一般 * * *,8,1
火,火,火,名詞 普通名詞 一般 * * *,8,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,7,1
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,7,1
うわぁ,うわぁ,うわ,感動詞 一般 * * * *,7,1
お姉ちゃん,お姉ちゃん,お姉ちゃん,名詞 普通名詞 一般 * * *,7,1
こっち,こっち,此方,代名詞 * * * * *,7,1
ごめん,ごめん,御免,名詞 普通名詞 一般 * * *,7,1
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,7,1
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,7,1
でしょう,です,です,助動詞 * * * 助動詞-デス 意志推量形,7,1
中,中,中,名詞 普通名詞 副詞可能 * * *,7,1
先生,先生,先生,名詞 普通名詞 一般 * * *,7,1
変,変,変,名詞 普通名詞 形状詞可能 * * *,7,1
大変,大変,大変,形状詞 一般 * * * *,7,1
好き,好き,好き,形状詞 一般 * * * *,7,1
婦,婦,婦,接尾辞 名詞的 一般 * * *,7,1
帽子,帽子,帽子,名詞 普通名詞 一般 * * *,7,1
年寄り,年寄り,年寄り,名詞 普通名詞 一般 * * *,7,1
悪魔,悪魔,悪魔,名詞 固有名詞 人名 名 * *,7,1
所,所,所,名詞 普通名詞 副詞可能 * * *,7,1
様,様,様,接尾辞 名詞的 一般 * * *,7,1
生き,生きる,生きる,動詞 一般 * * 上一段-カ行 連用形-一般,7,1
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,7,1
ぁ,ぁ,ぁ,補助記号 一般 * * * *,6,1
あ〜,あ〜,ああ,感動詞 一般 * * * *,6,1
あそこ,あそこ,彼処,代名詞 * * * * *,6,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,6,1
えぇ,えぇ,ええ,感動詞 一般 * * * *,6,1
お前,お前,御前,代名詞 * * * * *,6,1
お店,お店,御店,名詞 普通名詞 一般 * * *,6,1
お願い,お願い,御願い,名詞 普通名詞 サ変可能 * * *,6,1
