Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,876,12
は,は,は,助詞 係助詞 * * * *,770,12
に,に,に,助詞 格助詞 * * * *,711,12
て,て,て,助詞 接続助詞 * * * *,682,12
明日架,明日架,明日架,名詞 固有名詞 人名 名 * *,583,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,571,12
が,が,が,助詞 格助詞 * * * *,524,12
も,も,も,助詞 係助詞 * * * *,475,12
を,を,を,助詞 格助詞 * * * *,418,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,401,12
と,と,と,助詞 格助詞 * * * *,396,12
で,で,で,助詞 格助詞 * * * *,389,12
よ,よ,よ,助詞 終助詞 * * * *,337,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,329,12
奈々,奈々,奈々,名詞 固有名詞 人名 名 * *,316,12
あ,あ,あっ,感動詞 一般 * * * *,314,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,306,12
私,私,私,代名詞 * * * * *,284,12
の,の,の,助詞 準体助詞 * * * *,271,12
ん,ん,の,助詞 準体助詞 * * * *,268,12
ね,ね,ね,助詞 終助詞 * * * *,267,12
〜,〜,〜,補助記号 一般 * * * *,262,12
って,って,って,助詞 副助詞 * * * *,258,12
優,優,優,名詞 固有名詞 人名 名 * *,251,12
み,み,み,接頭辞 * * * * *,223,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,222,12
か,か,か,助詞 副助詞 * * * *,219,12
アスカ,アスカ,アスカ,名詞 固有名詞 人名 名 * *,212,12
クロエ,クロエ,クロエ,名詞 固有名詞 人名 一般 * *,208,12
か,か,か,助詞 終助詞 * * * *,207,12
こと,こと,こと,名詞 普通名詞 一般 * * *,191,12
あっ,あっ,あっ,感動詞 一般 * * * *,182,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,182,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,173,12
の,の,の,助詞 終助詞 * * * *,148,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,146,12
それ,それ,其れ,代名詞 * * * * *,143,12
世界,世界,世界,名詞 普通名詞 一般 * * *,140,12
な,な,な,助詞 終助詞 * * * *,137,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,136,12
この,この,此の,連体詞 * * * * *,135,12
から,から,から,助詞 接続助詞 * * * *,134,12
そう,そう,そう,副詞 * * * * *,130,12
何,何,何,代名詞 * * * * *,130,12
音,音,音,名詞 普通名詞 一般 * * *,119,12
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,110,12
けど,けど,けれど,助詞 接続助詞 * * * *,107,12
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,105,12
あの,あの,彼の,連体詞 * * * * *,97,12
お,お,御,接頭辞 * * * * *,92,12
どう,どう,どう,副詞 * * * * *,92,12
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,90,12
もう,もう,もう,副詞 * * * * *,89,12
たち,たち,達,接尾辞 名詞的 一般 * * *,86,12
なん,なん,何,代名詞 * * * * *,85,12
僕,僕,僕,代名詞 * * * * *,84,12
