Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,246,2
は,は,は,助詞 係助詞 * * * *,242,2
に,に,に,助詞 格助詞 * * * *,228,2
が,が,が,助詞 格助詞 * * * *,176,2
て,て,て,助詞 接続助詞 * * * *,176,2
黒子,黒子,黒子,名詞 普通名詞 一般 * * *,170,2
美琴,美琴,美琴,名詞 固有名詞 人名 名 * *,152,2
を,を,を,助詞 格助詞 * * * *,148,2
初春,初春,初春,名詞 普通名詞 一般 * * *,130,2
も,も,も,助詞 係助詞 * * * *,128,2
佐,佐,佐,名詞 普通名詞 一般 * * *,120,2
天,天,天,接尾辞 名詞的 一般 * * *,120,2
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,116,2
と,と,と,助詞 格助詞 * * * *,104,2
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,102,2
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,100,2
で,で,で,助詞 格助詞 * * * *,98,2
さん,さん,さん,接尾辞 名詞的 一般 * * *,94,2
お,お,御,接頭辞 * * * * *,78,2
何,何,何,代名詞 * * * * *,78,2
あ,あ,あっ,感動詞 一般 * * * *,74,2
それ,それ,其れ,代名詞 * * * * *,72,2
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,72,2
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,70,2
か,か,か,助詞 副助詞 * * * *,68,2
の,の,の,助詞 終助詞 * * * *,66,2
ね,ね,ね,助詞 終助詞 * * * *,64,2
よ,よ,よ,助詞 終助詞 * * * *,64,2
その,その,其の,連体詞 * * * * *,60,2
って,って,って,助詞 副助詞 * * * *,60,2
ん,ん,の,助詞 準体助詞 * * * *,58,2
姉,姉,姉,名詞 普通名詞 一般 * * *,58,2
様,様,様,接尾辞 名詞的 一般 * * *,58,2
か,か,か,助詞 終助詞 * * * *,56,2
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,56,2
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,56,2
の,の,の,助詞 準体助詞 * * * *,54,2
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,50,2
から,から,から,助詞 接続助詞 * * * *,48,2
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,48,2
ん,ん,ん,助詞 格助詞 * * * *,48,2
私,私,私,代名詞 * * * * *,48,2
音,音,音,名詞 普通名詞 一般 * * *,46,2
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,42,2
こと,こと,こと,名詞 普通名詞 一般 * * *,40,2
この,この,此の,連体詞 * * * * *,40,2
アンチ,アンチ,アンチ,名詞 普通名詞 一般 * * *,40,2
スキル,スキル,スキル,名詞 普通名詞 一般 * * *,40,2
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,38,2
わ,わ,わ,助詞 終助詞 * * * *,38,2
誰,誰,誰,代名詞 * * * * *,38,2
これ,これ,此れ,代名詞 * * * * *,36,2
どう,どう,どう,副詞 * * * * *,36,2
法,法,法,名詞 普通名詞 一般 * * *,36,2
あっ,あっ,あっ,感動詞 一般 * * * *,34,2
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,34,2
城南,城南,城南,名詞 普通名詞 一般 * * *,34,2
御坂,御坂,御坂,名詞 固有名詞 人名 姓 * *,34,2
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,32,2
固,固い,固い,形容詞 一般 * * 形容詞 語幹-一般,32,2
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,30,2
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,30,2
インカム,インカム,インカム,名詞 普通名詞 一般 * * *,30,2
ここ,ここ,此処,代名詞 * * * * *,28,2
そう,そう,そう,副詞 * * * * *,28,2
･,・,・,補助記号 一般 * * * *,28,2
え,え,え,助詞 終助詞 * * * *,26,2
はい,はい,はい,感動詞 一般 * * * *,26,2
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,26,2
気,気,気,名詞 普通名詞 一般 * * *,26,2
視線,視線,視線,名詞 普通名詞 一般 * * *,26,2
けど,けど,けれど,助詞 接続助詞 * * * *,24,2
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,24,2
ん,ん,んっ,感動詞 一般 * * * *,24,2
白井,白井,白井,名詞 固有名詞 人名 姓 * *,24,2
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,22,2
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,22,2
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,22,2
です,です,です,助動詞 * * * 助動詞-デス 連体形-一般,22,2
都市,都市,都市,名詞 普通名詞 一般 * * *,22,2
あの,あの,彼の,連体詞 * * * * *,20,2
あんた,あんた,貴方,代名詞 * * * * *,20,2
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,20,2
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,20,2
ます,ます,ます,助動詞 * * * 助動詞-マス 連体形-一般,20,2
ハッ,ハッ,はっ,感動詞 一般 * * * *,20,2
上条,上条,上条,名詞 固有名詞 人名 姓 * *,20,2
あなた,あなた,貴方,代名詞 * * * * *,18,2
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,18,2
ハァ,ハァ,はあ,感動詞 一般 * * * *,18,2
学生,学生,学生,名詞 普通名詞 一般 * * *,18,2
から,から,から,助詞 格助詞 * * * *,16,2
ほら,ほら,ほら,感動詞 一般 * * * *,16,2
能力者,能力者,能力者,名詞 普通名詞 一般 * * *,16,2
うん,うん,うん,感動詞 一般 * * * *,14,2
え,え,えっ,感動詞 一般 * * * *,14,2
し,し,し,助詞 接続助詞 * * * *,14,2
だけ,だけ,だけ,助詞 副助詞 * * * *,14,2
ちょっと,ちょっと,一寸,副詞 * * * * *,14,2
で,で,で,助詞 接続助詞 * * * *,14,2
でし,です,です,助動詞 * * * 助動詞-デス 連用形-一般,14,2
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,14,2
ば,ば,ば,助詞 接続助詞 * * * *,14,2
まで,まで,まで,助詞 副助詞 * * * *,14,2
もう,もう,もう,副詞 * * * * *,14,2
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,14,2
今,今,今,名詞 普通名詞 副詞可能 * * *,14,2
伝説,伝説,伝説,名詞 普通名詞 一般 * * *,14,2
后,后,后,名詞 普通名詞 一般 * * *,14,2
婚,婚,婚,名詞 普通名詞 一般 * * *,14,2
方,方,方,名詞 普通名詞 助数詞可能 * * *,14,2
早く,早い,早い,形容詞 一般 * * 形容詞 連用形-一般,14,2
能力,能力,能力,名詞 普通名詞 一般 * * *,14,2
〜,〜,〜,補助記号 一般 * * * *,12,2
いや,いや,否,感動詞 一般 * * * *,12,2
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,12,2
うっ,うっ,うう,感動詞 一般 * * * *,12,2
こちら,こちら,此方,代名詞 * * * * *,12,2
こんな,こんな,こんな,連体詞 * * * * *,12,2
こんな,こんな,こんな,形状詞 一般 * * * *,12,2
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,12,2
ず,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-一般,12,2
そんな,そんな,そんな,連体詞 * * * * *,12,2
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,12,2
られ,られる,られる,助動詞 * * * 助動詞-レル 連用形-一般,12,2
事件,事件,事件,名詞 普通名詞 一般 * * *,12,2
分かっ,分かる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,12,2
学園,学園,学園,名詞 普通名詞 一般 * * *,12,2
犯人,犯人,犯人,名詞 普通名詞 一般 * * *,12,2
見つけ,見つける,見付ける,動詞 一般 * * 下一段-カ行 連用形-一般,12,2
ああ,ああ,ああ,感動詞 一般 * * * *,10,2
いう,いう,言う,動詞 一般 * * 五段-ワア行 終止形-一般,10,2
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,10,2
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,10,2
さっき,さっき,さっき,名詞 普通名詞 副詞可能 * * *,10,2
すぎ,すぎ,過ぎ,接尾辞 形状詞的 * * * *,10,2
そ,そ,そう,副詞 * * * * *,10,2
そう,そう,そう,名詞 助動詞語幹 * * * *,10,2
たい,たい,たい,助動詞 * * * 助動詞-タイ 連体形-一般,10,2
たち,たち,達,接尾辞 名詞的 一般 * * *,10,2
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,10,2
でき,できる,出来る,動詞 非自立可能 * * 上一段-カ行 連用形-一般,10,2
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,10,2
でしょう,です,です,助動詞 * * * 助動詞-デス 意志推量形,10,2
な,な,な,助詞 終助詞 * * * *,10,2
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,10,2
なっ,なっ,なあ,感動詞 一般 * * * *,10,2
よう,よう,様,形状詞 助動詞語幹 * * * *,10,2
人,人,人,名詞 普通名詞 一般 * * *,10,2
別,別,別,名詞 普通名詞 形状詞可能 * * *,10,2
前,前,前,名詞 普通名詞 副詞可能 * * *,10,2
