Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
て,て,て,助詞 接続助詞 * * * *,796,13
の,の,の,助詞 格助詞 * * * *,648,13
よ,よ,よ,助詞 終助詞 * * * *,625,13
は,は,は,助詞 係助詞 * * * *,616,13
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,583,13
に,に,に,助詞 格助詞 * * * *,583,13
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,534,13
が,が,が,助詞 格助詞 * * * *,508,13
優,優,優,名詞 固有名詞 人名 名 * *,471,13
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,465,13
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,422,13
ね,ね,ね,助詞 終助詞 * * * *,402,13
も,も,も,助詞 係助詞 * * * *,398,13
と,と,と,助詞 格助詞 * * * *,384,13
の,の,の,助詞 準体助詞 * * * *,366,13
春香,春香,春香,名詞 固有名詞 人名 名 * *,363,13
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,345,13
私,私,私,代名詞 * * * * *,345,13
で,で,で,助詞 格助詞 * * * *,320,13
何,何,何,代名詞 * * * * *,279,13
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,269,13
を,を,を,助詞 格助詞 * * * *,263,13
の,の,の,助詞 終助詞 * * * *,256,13
ん,ん,の,助詞 準体助詞 * * * *,256,13
か,か,か,助詞 終助詞 * * * *,255,13
〜,〜,〜,補助記号 一般 * * * *,250,13
って,って,って,助詞 副助詞 * * * *,244,13
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,241,13
から,から,から,助詞 接続助詞 * * * *,229,13
か,か,か,助詞 副助詞 * * * *,218,13
こと,こと,こと,名詞 普通名詞 一般 * * *,214,13
ゆず,ゆず,柚子,名詞 普通名詞 一般 * * *,200,13
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,170,13
ッ,ッ,つ,接尾辞 名詞的 助数詞 * * *,170,13
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,169,13
しずく,しずく,滴,名詞 普通名詞 一般 * * *,169,12
な,な,な,助詞 終助詞 * * * *,160,13
あッ,あッ,あっ,感動詞 一般 * * * *,156,13
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,147,13
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,146,13
さん,さん,さん,接尾辞 名詞的 一般 * * *,144,13
楓,楓,楓,名詞 普通名詞 一般 * * *,144,13
うん,うん,うん,感動詞 一般 * * * *,137,13
えッ,えッ,えっ,感動詞 一般 * * * *,137,13
お,お,御,接頭辞 * * * * *,134,13
わ,わ,わ,助詞 終助詞 * * * *,134,12
コトネ,コトネ,コトネ,名詞 普通名詞 一般 * * *,134,12
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,131,13
そう,そう,そう,副詞 * * * * *,122,13
もう,もう,もう,副詞 * * * * *,119,13
美月,美月,美月,名詞 固有名詞 人名 姓 * *,118,10
どう,どう,どう,副詞 * * * * *,117,13
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,117,13
会長,会長,会長,名詞 普通名詞 一般 * * *,114,10
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,111,13
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,108,13
それ,それ,其れ,代名詞 * * * * *,101,13
から,から,から,助詞 格助詞 * * * *,100,13
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,91,13
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,91,13
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,86,13
けど,けど,けれど,助詞 接続助詞 * * * *,85,13
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,79,13
美月,美月,美月,名詞 固有名詞 人名 名 * *,79,10
これ,これ,此れ,代名詞 * * * * *,76,13
今,今,今,名詞 普通名詞 副詞可能 * * *,75,13
ば,ば,ば,助詞 接続助詞 * * * *,74,13
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,73,13
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,73,13
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,69,13
キス,キス,キス,名詞 普通名詞 サ変可能 * * *,68,11
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,67,13
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,64,13
好き,好き,好き,形状詞 一般 * * * *,64,11
だけ,だけ,だけ,助詞 副助詞 * * * *,63,13
で,で,で,助詞 接続助詞 * * * *,62,13
お姉ちゃん,お姉ちゃん,お姉ちゃん,名詞 普通名詞 一般 * * *,62,10
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,59,13
じゃあ,じゃあ,で,接続詞 * * * * *,59,12
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,58,13
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,57,13
ああ,ああ,ああ,感動詞 一般 * * * *,57,12
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,57,12
人,人,人,名詞 普通名詞 一般 * * *,57,12
さ,さ,さ,助詞 終助詞 * * * *,55,13
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,55,13
ちょっと,ちょっと,一寸,副詞 * * * * *,55,12
ごめん,ごめん,御免,名詞 普通名詞 一般 * * *,54,13
その,その,其の,連体詞 * * * * *,54,13
一緒,一緒,一緒,名詞 普通名詞 サ変可能 * * *,54,11
この,この,此の,連体詞 * * * * *,53,13
ッ,ッ,ッ,名詞 普通名詞 一般 * * *,53,13
なんて,なんて,なんて,助詞 副助詞 * * * *,52,13
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,51,13
し,し,し,助詞 接続助詞 * * * *,50,13
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,49,13
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,49,13
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,49,12
じゃ,じゃ,じゃ,助動詞 * * * 助動詞-ジャ 終止形-一般,49,8
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,47,13
ダメ,ダメ,駄目,名詞 普通名詞 形状詞可能 * * *,47,12
澄,澄,澄,名詞 固有名詞 人名 名 * *,47,4
達,達,達,接尾辞 名詞的 一般 * * *,45,13
う,う,うー,感動詞 フィラー * * * *,44,13
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,44,12
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,42,13
はい,はい,はい,感動詞 一般 * * * *,41,13
あの,あの,彼の,連体詞 * * * * *,41,12
かしら,かしら,かしら,助詞 終助詞 * * * *,41,9
まで,まで,まで,助詞 副助詞 * * * *,39,13
分かっ,分かる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,39,13
あなた,あなた,貴方,代名詞 * * * * *,39,11
ちゃう,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 終止形-一般,39,10
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,38,13
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,38,13
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,38,13
そんな,そんな,そんな,連体詞 * * * * *,37,12
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,37,12
理奈,理奈,理奈,名詞 固有名詞 人名 名 * *,37,5
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,36,12
食べ,食べる,食べる,動詞 一般 * * 下一段-バ行 連用形-一般,36,11
ここ,ここ,此処,代名詞 * * * * *,35,11
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,35,11
・,・,・,補助記号 一般 * * * *,35,10
行っ,行く,行く,動詞 非自立可能 * * 五段-カ行 連用形-促音便,35,9
クラス,クラス,クラス,名詞 普通名詞 一般 * * *,35,8
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,34,13
う〜ん,う〜ん,ううん,感動詞 一般 * * * *,34,13
たい,たい,たい,助動詞 * * * 助動詞-タイ 終止形-一般,34,13
そう,そう,そう,形状詞 助動詞語幹 * * * *,34,12
違う,違う,違う,動詞 一般 * * 五段-ワア行 終止形-一般,34,12
しよう,する,為る,動詞 非自立可能 * * サ行変格 意志推量形,34,11
よう,よう,様,形状詞 助動詞語幹 * * * *,33,13
待っ,待つ,待つ,動詞 一般 * * 五段-タ行 連用形-促音便,33,12
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,32,13
前,前,前,名詞 普通名詞 副詞可能 * * *,32,13
私達,私達,私達,名詞 普通名詞 一般 * * *,32,11
誰,誰,誰,代名詞 * * * * *,32,10
と,と,と,助詞 接続助詞 * * * *,31,13
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,31,10
方,方,方,名詞 普通名詞 一般 * * *,31,10
なく,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-一般,30,13
よかっ,よい,良い,形容詞 非自立可能 * * 形容詞 連用形-促音便,30,12
本当,本当,本当,名詞 普通名詞 一般 * * *,30,12
話,話,話,名詞 普通名詞 サ変可能 * * *,30,12
もん,もん,もの,助詞 終助詞 * * * *,28,12
自分,自分,自分,名詞 普通名詞 一般 * * *,28,12
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,28,11
どこ,どこ,どこ,代名詞 * * * * *,28,10
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,28,9
まだ,まだ,未だ,副詞 * * * * *,28,9
勉強,勉強,勉強,名詞 普通名詞 サ変可能 * * *,28,9
なあ,なあ,な,助詞 終助詞 * * * *,28,7
いつも,いつも,いつも,名詞 普通名詞 副詞可能 * * *,27,11
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,27,11
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,27,10
うッ,うッ,うう,感動詞 一般 * * * *,27,10
なきゃ,ない,ない,助動詞 * * * 助動詞-ナイ 仮定形-融合,27,10
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,27,9
うわ〜,うわ〜,うわ,感動詞 一般 * * * *,27,8
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,26,11
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,26,10
わッ,わッ,わっ,副詞 * * * * *,26,10
よろしく,よろしく,宜しく,副詞 * * * * *,26,8
あれ,あれ,彼れ,代名詞 * * * * *,25,13
よ〜,よ〜,よ,助詞 終助詞 * * * *,25,12
あと,あと,後,名詞 普通名詞 副詞可能 * * *,25,11
じゃ,じゃ,で,助詞 格助詞 * * * *,25,11
買っ,買う,買う,動詞 一般 * * 五段-ワア行 連用形-促音便,25,10
ところ,ところ,所,名詞 普通名詞 副詞可能 * * *,25,9
知ら,知る,知る,動詞 一般 * * 五段-ラ行 未然形-一般,24,12
こんな,こんな,こんな,連体詞 * * * * *,24,11
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,24,10
なかっ,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-促音便,24,10
気,気,気,名詞 普通名詞 一般 * * *,24,9
友達,友達,友達,名詞 普通名詞 一般 * * *,24,8
電話,電話,電話,名詞 普通名詞 サ変可能 * * *,24,4
たい,たい,たい,助動詞 * * * 助動詞-タイ 連体形-一般,23,12
さっき,さっき,さっき,名詞 普通名詞 副詞可能 * * *,23,11
変,変,変,名詞 普通名詞 形状詞可能 * * *,23,11
子,子,子,名詞 普通名詞 一般 * * *,23,11
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,23,10
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,23,10
行こう,行く,行く,動詞 非自立可能 * * 五段-カ行 意志推量形,23,10
よく,よく,良く,副詞 * * * * *,23,9
寝,寝る,寝る,動詞 一般 * * 下一段-ナ行 連用形-一般,23,8
抹茶,抹茶,抹茶,名詞 普通名詞 一般 * * *,23,6
じゃん,じゃん,じゃん,助詞 終助詞 * * * *,22,13
こっち,こっち,此方,代名詞 * * * * *,22,12
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,22,10
もの,もの,物,名詞 普通名詞 サ変可能 * * *,22,10
行く,行く,行く,動詞 非自立可能 * * 五段-カ行 終止形-一般,22,10
ねえ,ねえ,姉,名詞 普通名詞 一般 * * *,22,9
早く,早い,早い,形容詞 一般 * * 形容詞 連用形-一般,22,9
妹,妹,妹,名詞 普通名詞 一般 * * *,22,7
姫,姫,姫,名詞 普通名詞 一般 * * *,22,2
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,21,12
聞い,聞く,聞く,動詞 一般 * * 五段-カ行 連用形-イ音便,21,12
ら,ら,等,接尾辞 名詞的 一般 * * *,21,11
え〜,え〜,えー,感動詞 フィラー * * * *,21,10
なく,ない,無い,形容詞 非自立可能 * * 形容詞 連用形-一般,21,10
同じ,同じ,同じ,連体詞 * * * * *,21,10
ちゃんと,ちゃんと,ちゃんと,副詞 * * * * *,21,9
先生,先生,先生,名詞 普通名詞 一般 * * *,21,7
二人,二人,二人,名詞 普通名詞 副詞可能 * * *,21,5
声,声,声,名詞 普通名詞 一般 * * *,20,11
園田,園田,園田,名詞 固有名詞 人名 姓 * *,20,10
あら,あら,あら,感動詞 一般 * * * *,20,9
でき,できる,出来る,動詞 非自立可能 * * 上一段-カ行 未然形-一般,20,9
あれ,あれ,あれ,感動詞 一般 * * * *,20,8
もっと,もっと,もっと,副詞 * * * * *,19,12
いや,いや,否,感動詞 一般 * * * *,19,11
わけ,わけ,訳,名詞 普通名詞 一般 * * *,19,11
別,別,別,名詞 普通名詞 形状詞可能 * * *,19,11
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,19,10
もし,もし,若し,副詞 * * * * *,19,10
楓,楓,楓,名詞 固有名詞 人名 名 * *,19,10
出,出る,出る,動詞 一般 * * 下一段-ダ行 連用形-一般,19,8
はあ,はあ,はあ,感動詞 一般 * * * *,19,7
なん,なん,何,代名詞 * * * * *,19,4
より,より,より,助詞 格助詞 * * * *,18,11
入っ,入る,入る,動詞 一般 * * 五段-ラ行 連用形-促音便,18,11
忘れ,忘れる,忘れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,18,11
持っ,持つ,持つ,動詞 一般 * * 五段-タ行 連用形-促音便,18,10
知っ,知る,知る,動詞 一般 * * 五段-ラ行 連用形-促音便,18,10
そこ,そこ,其処,代名詞 * * * * *,18,9
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,18,9
学校,学校,学校,名詞 普通名詞 一般 * * *,18,9
教室,教室,教室,名詞 普通名詞 一般 * * *,18,9
しか,しか,しか,助詞 副助詞 * * * *,18,8
終わっ,終わる,終わる,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,18,8
やっぱり,やっぱり,矢張り,副詞 * * * * *,18,7
怒っ,怒る,怒る,動詞 一般 * * 五段-ラ行 連用形-促音便,18,6
カップ,カップ,カップ,名詞 普通名詞 一般 * * *,18,5
カワイイ,カワイイ,可愛い,形容詞 一般 * * 形容詞 終止形-一般,18,5
先輩,先輩,先輩,名詞 普通名詞 一般 * * *,18,3
白雪,白雪,白雪,名詞 普通名詞 一般 * * *,18,2
言わ,言う,言う,動詞 一般 * * 五段-ワア行 未然形-一般,17,12
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,17,11
こう,こう,こう,副詞 * * * * *,17,10
また,また,又,接続詞 * * * * *,17,10
考え,考える,考える,動詞 一般 * * 下一段-ア行 連用形-一般,17,10
間,間,間,名詞 普通名詞 副詞可能 * * *,17,10
たり,たり,たり,助詞 副助詞 * * * *,17,9
おはよう,おはよう,御早う,感動詞 一般 * * * *,17,8
ほら,ほら,ほら,感動詞 一般 * * * *,17,8
