Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,196,1
の,の,の,助詞 格助詞 * * * *,182,1
て,て,て,助詞 接続助詞 * * * *,168,1
に,に,に,助詞 格助詞 * * * *,166,1
雄二,雄二,雄二,名詞 固有名詞 人名 名 * *,138,1
を,を,を,助詞 格助詞 * * * *,133,1
が,が,が,助詞 格助詞 * * * *,112,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,100,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,90,1
も,も,も,助詞 係助詞 * * * *,84,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,83,1
と,と,と,助詞 格助詞 * * * *,78,1
で,で,で,助詞 格助詞 * * * *,71,1
の,の,の,助詞 準体助詞 * * * *,68,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,65,1
よ,よ,よ,助詞 終助詞 * * * *,65,1
こと,こと,こと,名詞 普通名詞 一般 * * *,53,1
か,か,か,助詞 終助詞 * * * *,47,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,44,1
ね,ね,ね,助詞 終助詞 * * * *,40,1
俺,俺,俺,代名詞 * * * * *,38,1
私,私,私,代名詞 * * * * *,36,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,35,1
それ,それ,其れ,代名詞 * * * * *,34,1
一姫,一姫,一姫,名詞 固有名詞 人名 名 * *,32,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,31,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,31,1
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,30,1
何,何,何,代名詞 * * * * *,29,1
って,って,って,助詞 副助詞 * * * *,28,1
そう,そう,そう,副詞 * * * * *,26,1
な,な,な,助詞 終助詞 * * * *,26,1
姉,姉,姉,名詞 普通名詞 一般 * * *,25,1
か,か,か,助詞 副助詞 * * * *,23,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,22,1
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,22,1
よう,よう,様,形状詞 助動詞語幹 * * * *,22,1
ん,ん,の,助詞 準体助詞 * * * *,22,1
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,21,1
あなた,あなた,貴方,代名詞 * * * * *,20,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,20,1
･,・,・,補助記号 一般 * * * *,20,1
から,から,から,助詞 接続助詞 * * * *,19,1
どう,どう,どう,副詞 * * * * *,19,1
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,19,1
ば,ば,ば,助詞 接続助詞 * * * *,18,1
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,17,1
その,その,其の,連体詞 * * * * *,17,1
オスロ,オスロ,オスロ,名詞 固有名詞 地名 一般 * *,17,1
無線,無線,無線,名詞 普通名詞 一般 * * *,17,1
の,の,の,助詞 終助詞 * * * *,16,1
音,音,音,名詞 普通名詞 一般 * * *,16,1
から,から,から,助詞 格助詞 * * * *,15,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,15,1
君,君,君,代名詞 * * * * *,15,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,14,1
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,14,1
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,14,1
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,14,1
この,この,此の,連体詞 * * * * *,13,1
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,13,1
わ,わ,わ,助詞 終助詞 * * * *,13,1
亮二,亮二,亮二,名詞 固有名詞 人名 名 * *,13,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,12,1
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,12,1
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,12,1
まで,まで,まで,助詞 副助詞 * * * *,12,1
桐原,桐原,桐原,名詞 固有名詞 人名 姓 * *,12,1
が,が,が,助詞 接続助詞 * * * *,11,1
これ,これ,此れ,代名詞 * * * * *,11,1
