Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
や,や,や,助動詞 * * * 助動詞-ヤ 終止形-一般,4026,51
の,の,の,助詞 格助詞 * * * *,3867,51
に,に,に,助詞 格助詞 * * * *,3721,51
て,て,て,助詞 接続助詞 * * * *,3507,51
ん,ん,の,助詞 準体助詞 * * * *,3345,51
チエ,チエ,知恵,名詞 普通名詞 一般 * * *,3121,51
は,は,は,助詞 係助詞 * * * *,2818,51
が,が,が,助詞 格助詞 * * * *,2659,51
テツ,テツ,テツ,名詞 固有名詞 人名 名 * *,2606,51
か,か,か,助詞 終助詞 * * * *,2418,51
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,2371,51
な,な,な,助詞 終助詞 * * * *,2157,51
や,や,や,助詞 副助詞 * * * *,1998,51
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1885,51
で,で,で,助詞 格助詞 * * * *,1858,51
も,も,も,助詞 係助詞 * * * *,1855,51
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1761,51
わし,わし,わし,代名詞 * * * * *,1630,51
と,と,と,助詞 格助詞 * * * *,1561,51
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,1493,51
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,1390,51
から,から,から,助詞 接続助詞 * * * *,1208,51
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,1189,51
お,お,御,接頭辞 * * * * *,1154,51
こと,こと,こと,名詞 普通名詞 一般 * * *,1145,51
うち,うち,内,名詞 普通名詞 副詞可能 * * *,1130,51
何,何,何,代名詞 * * * * *,1099,51
の,の,の,助詞 準体助詞 * * * *,1066,51
わ,わ,わ,助詞 終助詞 * * * *,1066,51
けど,けど,けれど,助詞 接続助詞 * * * *,969,51
はん,はん,さん,接尾辞 名詞的 一般 * * *,968,51
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,961,51
い,い,い,助詞 終助詞 * * * *,894,51
ねん,ねん,ねん,助詞 終助詞 * * * *,828,50
お前,お前,御前,代名詞 * * * * *,826,51
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,796,51
か,か,か,助詞 副助詞 * * * *,740,51
ヒラメ,ヒラメ,鮃,名詞 普通名詞 一般 * * *,734,27
から,から,から,助詞 格助詞 * * * *,707,51
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,690,51
なぁ,なぁ,な,助詞 終助詞 * * * *,662,48
ヨシ,ヨシ,ヨシ,名詞 固有名詞 人名 名 * *,658,45
〜,〜,〜,補助記号 一般 * * * *,652,51
もう,もう,もう,副詞 * * * * *,640,51
なん,なん,何,代名詞 * * * * *,635,51
じゃ,じゃ,じゃ,助動詞 * * * 助動詞-ジャ 終止形-一般,634,51
を,を,を,助詞 格助詞 * * * *,627,51
小鉄,小鉄,小鉄,名詞 固有名詞 一般 * * *,623,46
おっ,おっ,伯父,名詞 普通名詞 一般 * * *,622,51
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,622,48
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,620,51
そう,そう,そう,副詞 * * * * *,605,51
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,603,51
ど,ど,ど,助詞 接続助詞 * * * *,578,51
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,576,51
ちょっと,ちょっと,一寸,副詞 * * * * *,571,51
江,江,江,接尾辞 名詞的 一般 * * *,569,45
それ,それ,其れ,代名詞 * * * * *,554,51
あの,あの,彼の,連体詞 * * * * *,551,50
言う,言う,言う,動詞 一般 * * 五段-ワア行 終止形-一般,520,51
ら,ら,等,接尾辞 名詞的 一般 * * *,520,49
音,音,音,名詞 普通名詞 一般 * * *,508,50
マサル,マサル,マサル,名詞 固有名詞 人名 名 * *,504,33
うん,うん,うん,感動詞 一般 * * * *,470,51
やろう,や,や,助動詞 * * * 助動詞-ヤ 意志推量形,468,51
さん,さん,さん,接尾辞 名詞的 一般 * * *,458,51
あっ,あっ,あっ,感動詞 一般 * * * *,448,51
よう,よう,様,形状詞 助動詞語幹 * * * *,448,51
この,この,此の,連体詞 * * * * *,441,51
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,437,51
百合根,百合根,百合根,名詞 普通名詞 一般 * * *,431,41
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,429,51
これ,これ,此れ,代名詞 * * * * *,425,51
母,母,母,名詞 普通名詞 一般 * * *,424,48
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,424,47
その,その,其の,連体詞 * * * * *,422,51
よ,よ,よ,助詞 終助詞 * * * *,418,50
とこ,とこ,とこ,名詞 普通名詞 一般 * * *,415,51
アントニオ,アントニオ,アントニオ,名詞 固有名詞 人名 一般 * *,415,42
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,414,50
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,410,51
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,407,51
どう,どう,どう,副詞 * * * * *,401,51
俺,俺,俺,代名詞 * * * * *,377,46
ええ,よい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,346,51
アホ,アホ,阿呆,名詞 普通名詞 形状詞可能 * * *,338,51
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,330,50
なに,なに,何,代名詞 * * * * *,325,51
そ,そ,そう,副詞 * * * * *,323,49
菊,菊,菊,名詞 普通名詞 一般 * * *,316,34
って,って,って,助詞 副助詞 * * * *,315,50
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 連体形-撥音便,310,51
あいつ,あいつ,彼奴,代名詞 * * * * *,310,48
と,と,と,助詞 接続助詞 * * * *,304,49
言う,言う,言う,動詞 一般 * * 五段-ワア行 連用形-ウ音便,303,49
ええ,ええ,ええ,感動詞 一般 * * * *,300,51
とる,とる,とる,助動詞 * * * 五段-ラ行 終止形-一般,300,50
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,300,49
えっ,えっ,えっ,感動詞 一般 * * * *,296,49
とっ,とる,とる,助動詞 * * * 五段-ラ行 連用形-促音便,295,51
ほんま,ほんま,本真,名詞 普通名詞 一般 * * *,295,50
テッ,テッ,テッ,名詞 普通名詞 一般 * * *,291,40
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,290,50
もん,もん,もん,名詞 普通名詞 一般 * * *,289,51
ね,ね,ね,助詞 終助詞 * * * *,286,50
で,で,で,助詞 接続助詞 * * * *,285,51
とき,とき,時,名詞 普通名詞 副詞可能 * * *,277,50
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,269,50
そんな,そんな,そんな,連体詞 * * * * *,266,50
今,今,今,名詞 普通名詞 副詞可能 * * *,262,51
先生,先生,先生,名詞 普通名詞 一般 * * *,260,39
拳骨,拳骨,拳骨,名詞 普通名詞 一般 * * *,260,32
ミツル,ミツル,ミツル,名詞 固有名詞 人名 名 * *,260,25
知ら,知る,知る,動詞 一般 * * 五段-ラ行 未然形-一般,254,49
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,253,44
こら,こら,こら,感動詞 一般 * * * *,248,51
おい,おい,おい,感動詞 一般 * * * *,246,48
ヤツ,ヤツ,奴,名詞 普通名詞 一般 * * *,246,47
やろう,やる,遣る,動詞 非自立可能 * * 五段-ラ行 意志推量形,245,51
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,243,51
ウワッ,ウワッ,うわ,感動詞 一般 * * * *,243,50
だけ,だけ,だけ,助詞 副助詞 * * * *,239,51
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,235,50
あか,あく,あく,動詞 一般 * * 五段-カ行 未然形-一般,234,49
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,233,50
なんか,なんか,なんか,助詞 副助詞 * * * *,232,48
菊崎,菊崎,菊崎,名詞 固有名詞 人名 姓 * *,231,34
とる,とる,とる,助動詞 * * * 五段-ラ行 連体形-一般,226,51
まで,まで,まで,助詞 副助詞 * * * *,222,50
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,220,42
気,気,気,名詞 普通名詞 一般 * * *,217,49
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,215,50
や,や,や,助詞 終助詞 * * * *,214,50
父,父,父,名詞 普通名詞 一般 * * *,214,40
どこ,どこ,どこ,代名詞 * * * * *,209,48
ッ,ッ,つ,接尾辞 名詞的 助数詞 * * *,204,49
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 命令形,203,49
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,202,50
あれ,あれ,彼れ,代名詞 * * * * *,201,50
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,199,45
出,出る,出る,動詞 一般 * * 下一段-ダ行 連用形-一般,197,49
の,の,の,助詞 終助詞 * * * *,196,46
ボス,ボス,ボス,名詞 普通名詞 一般 * * *,196,19
殴る,殴る,殴る,動詞 一般 * * 五段-ラ行 連体形-一般,195,48
顔,顔,顔,名詞 普通名詞 一般 * * *,192,48
じゃ,じゃ,で,助詞 格助詞 * * * *,191,49
どない,どない,どない,形状詞 一般 * * * *,189,47
一緒,一緒,一緒,名詞 普通名詞 サ変可能 * * *,188,41
早,早い,早い,形容詞 一般 * * 形容詞 語幹-一般,186,41
ほう,ほう,方,名詞 普通名詞 一般 * * *,184,48
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,183,48
かん,かん,彼,代名詞 * * * * *,183,47
け,け,け,助詞 終助詞 * * * *,182,44
くそ,くそ,くそ,感動詞 一般 * * * *,181,45
花井,花井,花井,名詞 固有名詞 人名 姓 * *,181,32
チエ,チエ,チエ,名詞 固有名詞 人名 名 * *,180,46
アア,アア,ああ,感動詞 一般 * * * *,180,44
また,また,又,接続詞 * * * * *,179,48
行っ,行く,行く,動詞 非自立可能 * * 五段-カ行 連用形-促音便,179,46
誰,誰,誰,代名詞 * * * * *,177,49
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,176,49
ここ,ここ,此処,代名詞 * * * * *,175,45
お,お,おっ,感動詞 一般 * * * *,174,50
人,人,人,名詞 普通名詞 一般 * * *,174,43
え,え,えー,感動詞 フィラー * * * *,173,41
やくざ,やくざ,やくざ,名詞 普通名詞 形状詞可能 * * *,173,34
はい,はい,はい,感動詞 一般 * * * *,172,39
タカシ,タカシ,タカシ,名詞 固有名詞 人名 名 * *,172,29
男性,男性,男性,名詞 普通名詞 一般 * * *,171,30
バァ,バァ,婆,名詞 普通名詞 一般 * * *,169,39
持っ,持つ,持つ,動詞 一般 * * 五段-タ行 連用形-促音便,167,45
分かっ,分かる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,165,49
話,話,話,名詞 普通名詞 サ変可能 * * *,165,46
ハハハハッ,ハハハハッ,ハハハハッ,名詞 普通名詞 一般 * * *,164,45
へん,へん,へん,助動詞 * * * 助動詞-ヘン 終止形-一般,163,46
僕,僕,僕,代名詞 * * * * *,163,37
店,店,店,名詞 普通名詞 一般 * * *,161,38
み,みる,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,160,47
ちゃう,ちゃう,違う,動詞 一般 * * 五段-ワア行 終止形-一般,160,42
ジィ,ジィ,ジィ,名詞 普通名詞 一般 * * *,159,27
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,158,45
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,157,47
