Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1444,6
て,て,て,助詞 接続助詞 * * * *,1132,6
は,は,は,助詞 係助詞 * * * *,962,6
に,に,に,助詞 格助詞 * * * *,916,6
が,が,が,助詞 格助詞 * * * *,880,6
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,821,6
も,も,も,助詞 係助詞 * * * *,714,6
を,を,を,助詞 格助詞 * * * *,637,6
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,521,6
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,511,6
と,と,と,助詞 格助詞 * * * *,510,6
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,498,6
よ,よ,よ,助詞 終助詞 * * * *,486,6
ん,ん,の,助詞 準体助詞 * * * *,482,6
か,か,か,助詞 終助詞 * * * *,434,6
で,で,で,助詞 格助詞 * * * *,422,6
太一,太一,太一,名詞 普通名詞 一般 * * *,402,6
って,って,って,助詞 副助詞 * * * *,358,6
こと,こと,こと,名詞 普通名詞 一般 * * *,354,6
の,の,の,助詞 準体助詞 * * * *,353,6
音,音,音,名詞 普通名詞 一般 * * *,347,6
たち,たち,達,接尾辞 名詞的 一般 * * *,337,6
芽心,芽心,芽心,名詞 固有名詞 人名 名 * *,327,6
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,310,6
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,308,6
ミミ,ミミ,ミミ,名詞 固有名詞 人名 一般 * *,292,6
何,何,何,代名詞 * * * * *,290,6
あっ,あっ,あっ,感動詞 一般 * * * *,287,6
光子郎,光子郎,光子郎,名詞 固有名詞 人名 名 * *,287,6
空,空,空,名詞 普通名詞 一般 * * *,283,6
ヤマト,ヤマト,ヤマト,名詞 固有名詞 地名 一般 * *,269,6
か,か,か,助詞 副助詞 * * * *,268,6
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,265,6
ね,ね,ね,助詞 終助詞 * * * *,256,6
メイクーモン,メイクーモン,メイクーモン,名詞 普通名詞 一般 * * *,229,6
丈,丈,丈,名詞 普通名詞 一般 * * *,210,6
タケル,タケル,タケル,名詞 固有名詞 人名 名 * *,208,6
な,な,な,助詞 終助詞 * * * *,205,6
ヒカリ,ヒカリ,光,名詞 普通名詞 一般 * * *,204,6
さん,さん,さん,接尾辞 名詞的 一般 * * *,201,6
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,198,6
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,196,6
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,196,6
から,から,から,助詞 接続助詞 * * * *,186,6
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,184,6
の,の,の,助詞 終助詞 * * * *,183,6
メイ,メイ,メイ,名詞 固有名詞 人名 一般 * *,183,6
どう,どう,どう,副詞 * * * * *,175,6
あ,あ,あっ,感動詞 一般 * * * *,175,5
私,私,私,代名詞 * * * * *,174,6
西島,西島,西島,名詞 固有名詞 地名 一般 * *,155,6
それ,それ,其れ,代名詞 * * * * *,151,6
そう,そう,そう,副詞 * * * * *,144,6
デジモン,デジモン,デジモン,名詞 普通名詞 一般 * * *,143,6
アグモン,アグモン,アグモン,名詞 普通名詞 一般 * * *,141,6
うん,うん,うん,感動詞 一般 * * * *,137,6
僕,僕,僕,代名詞 * * * * *,133,6
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,128,6
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,124,6
俺,俺,俺,代名詞 * * * * *,124,6
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,123,6
テントモン,テントモン,テントモン,名詞 普通名詞 一般 * * *,121,6
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,120,6
世界,世界,世界,名詞 普通名詞 一般 * * *,117,6
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,115,6
これ,これ,此れ,代名詞 * * * * *,112,6
ああ,ああ,ああ,感動詞 一般 * * * *,111,6
から,から,から,助詞 格助詞 * * * *,111,6
ば,ば,ば,助詞 接続助詞 * * * *,109,6
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,107,6
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,107,6
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,106,6
ピヨモン,ピヨモン,ピヨモン,名詞 普通名詞 一般 * * *,106,6
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,105,6
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,105,6
ゴマモン,ゴマモン,ゴマモン,名詞 普通名詞 一般 * * *,104,6
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,103,6
けど,けど,けれど,助詞 接続助詞 * * * *,102,6
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,100,6
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,100,6
今,今,今,名詞 普通名詞 副詞可能 * * *,100,6
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,97,6
この,この,此の,連体詞 * * * * *,94,6
なん,なん,何,代名詞 * * * * *,93,6
〜,〜,〜,補助記号 一般 * * * *,91,6
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,91,6
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,91,6
わ,わ,わ,助詞 終助詞 * * * *,84,6
デジタル,デジタル,デジタル,名詞 普通名詞 形状詞可能 * * *,83,6
姫川,姫川,姫川,名詞 固有名詞 地名 一般 * *,83,5
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,82,6
もう,もう,もう,副詞 * * * * *,82,6
テイルモン,テイルモン,テイルモン,名詞 普通名詞 一般 * * *,82,6
だけ,だけ,だけ,助詞 副助詞 * * * *,81,6
お,お,御,接頭辞 * * * * *,79,6
進化,進化,進化,名詞 普通名詞 サ変可能 * * *,79,6
･,・,・,補助記号 一般 * * * *,79,5
えっ,えっ,えっ,感動詞 一般 * * * *,78,6
お前,お前,御前,代名詞 * * * * *,77,6
うっ,うっ,うう,感動詞 一般 * * * *,76,5
あの,あの,彼の,連体詞 * * * * *,75,6
その,その,其の,連体詞 * * * * *,74,6
パタモン,パタモン,パタモン,名詞 普通名詞 一般 * * *,74,6
パルモン,パルモン,パルモン,名詞 普通名詞 一般 * * *,73,6
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,72,6
感染,感染,感染,名詞 普通名詞 サ変可能 * * *,72,6
ガブモン,ガブモン,ガブモン,名詞 普通名詞 一般 * * *,71,6
ん,ん,ん,助詞 格助詞 * * * *,71,5
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,69,6
し,し,し,助詞 接続助詞 * * * *,69,6
ワールド,ワールド,ワールド,名詞 普通名詞 一般 * * *,68,6
リブート,リブート,リブート,名詞 普通名詞 一般 * * *,67,4
パートナー,パートナー,パートナー,名詞 普通名詞 一般 * * *,66,6
で,で,で,助詞 接続助詞 * * * *,65,6
はい,はい,はい,感動詞 一般 * * * *,65,6
望月,望月,望月,名詞 固有名詞 人名 姓 * *,65,6
生徒,生徒,生徒,名詞 普通名詞 一般 * * *,64,3
ごめん,ごめん,御免,名詞 普通名詞 一般 * * *,63,6
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,62,6
が,が,が,助詞 接続助詞 * * * *,62,6
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,62,6
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,62,6
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,61,6
ここ,ここ,此処,代名詞 * * * * *,60,6
私たち,私たち,私達,名詞 普通名詞 一般 * * *,59,6
男,男,男,名詞 普通名詞 一般 * * *,59,4
ゆがみ,ゆがみ,歪み,名詞 普通名詞 一般 * * *,58,6
謎,謎,謎,名詞 普通名詞 一般 * * *,58,4
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,57,6
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,56,6
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,54,6
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,54,5
お兄ちゃん,お兄ちゃん,お兄ちゃん,名詞 普通名詞 一般 * * *,53,6
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,53,6
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,52,6
