Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,1525,16
の,の,の,助詞 格助詞 * * * *,1501,16
に,に,に,助詞 格助詞 * * * *,1270,16
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1228,16
て,て,て,助詞 接続助詞 * * * *,1137,16
が,が,が,助詞 格助詞 * * * *,1031,16
を,を,を,助詞 格助詞 * * * *,935,16
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,830,16
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,776,16
も,も,も,助詞 係助詞 * * * *,720,16
カナタ,カナタ,カナタ,名詞 普通名詞 一般 * * *,710,16
で,で,で,助詞 格助詞 * * * *,651,16
ん,ん,の,助詞 準体助詞 * * * *,635,16
と,と,と,助詞 格助詞 * * * *,604,16
よ,よ,よ,助詞 終助詞 * * * *,586,16
か,か,か,助詞 終助詞 * * * *,569,16
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,551,16
の,の,の,助詞 準体助詞 * * * *,487,16
アリエス,アリエス,アリエス,名詞 固有名詞 一般 * * *,432,16
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,405,16
ね,ね,ね,助詞 終助詞 * * * *,367,16
こと,こと,こと,名詞 普通名詞 一般 * * *,357,16
キトリー,キトリー,キトリー,名詞 普通名詞 一般 * * *,351,16
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,350,16
シャルス,シャルス,シャルス,名詞 普通名詞 一般 * * *,327,16
何,何,何,代名詞 * * * * *,312,16
な,な,な,助詞 終助詞 * * * *,275,16
か,か,か,助詞 副助詞 * * * *,266,16
ザック,ザック,ざっく,副詞 * * * * *,265,16
さん,さん,さん,接尾辞 名詞的 一般 * * *,244,16
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,242,16
って,って,って,助詞 副助詞 * * * *,241,16
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,238,16
俺,俺,俺,代名詞 * * * * *,236,16
ルカ,ルカ,ルカ,名詞 固有名詞 人名 名 * *,233,16
この,この,此の,連体詞 * * * * *,225,16
それ,それ,其れ,代名詞 * * * * *,211,16
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,207,16
から,から,から,助詞 接続助詞 * * * *,201,16
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,200,16
私,私,私,代名詞 * * * * *,198,16
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,195,16
あ,あ,あっ,感動詞 一般 * * * *,186,16
ウルガー,ウルガー,ウルガー,名詞 普通名詞 一般 * * *,185,16
ハァ,ハァ,はあ,感動詞 一般 * * * *,184,15
っす,っす,っす,助動詞 * * * 助動詞-デス 終止形-一般,183,15
そう,そう,そう,副詞 * * * * *,169,16
から,から,から,助詞 格助詞 * * * *,167,16
惑星,惑星,惑星,名詞 普通名詞 一般 * * *,166,16
･,・,・,補助記号 一般 * * * *,165,16
たち,たち,達,接尾辞 名詞的 一般 * * *,161,16
けど,けど,けれど,助詞 接続助詞 * * * *,155,16
わ,わ,わ,助詞 終助詞 * * * *,152,16
の,の,の,助詞 終助詞 * * * *,151,16
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,149,16
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,144,16
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,142,16
もう,もう,もう,副詞 * * * * *,142,16
その,その,其の,連体詞 * * * * *,138,16
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,138,16
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,136,16
どう,どう,どう,副詞 * * * * *,133,16
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,130,16
ば,ば,ば,助詞 接続助詞 * * * *,122,16
ユンファ,ユンファ,ユンファ,名詞 固有名詞 人名 名 * *,121,16
す,す,っす,助動詞 * * * 助動詞-デス 終止形-一般,120,16
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,118,16
フニシア,フニシア,フニシア,名詞 普通名詞 一般 * * *,118,15
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,117,16
船,船,船,名詞 普通名詞 一般 * * *,114,15
お前,お前,御前,代名詞 * * * * *,113,16
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,112,16
