Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1076,12
は,は,は,助詞 係助詞 * * * *,857,12
ゴブリンスレイヤー,ゴブリンスレイヤー,ゴブリンスレイヤー,名詞 普通名詞 一般 * * *,762,12
て,て,て,助詞 接続助詞 * * * *,701,12
に,に,に,助詞 格助詞 * * * *,637,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,590,12
を,を,を,助詞 格助詞 * * * *,512,12
が,が,が,助詞 格助詞 * * * *,497,12
と,と,と,助詞 格助詞 * * * *,416,12
も,も,も,助詞 係助詞 * * * *,415,12
ゴブリン,ゴブリン,ゴブリン,名詞 普通名詞 一般 * * *,361,12
か,か,か,助詞 終助詞 * * * *,327,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,320,12
で,で,で,助詞 格助詞 * * * *,311,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,289,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,261,12
よ,よ,よ,助詞 終助詞 * * * *,256,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,251,12
の,の,の,助詞 準体助詞 * * * *,251,12
官,官,官,接尾辞 名詞的 一般 * * *,251,12
女神,女神,女神,名詞 普通名詞 一般 * * *,244,12
か,か,か,助詞 副助詞 * * * *,233,12
ね,ね,ね,助詞 終助詞 * * * *,200,12
ん,ん,の,助詞 準体助詞 * * * *,189,12
妖精,妖精,妖精,名詞 普通名詞 一般 * * *,185,11
弓手,弓手,弓手,名詞 普通名詞 一般 * * *,184,11
そう,そう,そう,副詞 * * * * *,176,12
あ,あ,あっ,感動詞 一般 * * * *,174,12
な,な,な,助詞 終助詞 * * * *,172,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,167,12
から,から,から,助詞 接続助詞 * * * *,150,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,145,12
娘,娘,娘,名詞 普通名詞 一般 * * *,145,12
こと,こと,こと,名詞 普通名詞 一般 * * *,144,12
って,って,って,助詞 副助詞 * * * *,139,12
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,132,12
牛飼,牛飼,牛飼い,名詞 普通名詞 一般 * * *,132,8
冒険者,冒険者,冒険者,名詞 普通名詞 一般 * * *,131,11
