Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
て,て,て,助詞 接続助詞 * * * *,405,10
は,は,は,助詞 係助詞 * * * *,364,10
に,に,に,助詞 格助詞 * * * *,359,10
の,の,の,助詞 格助詞 * * * *,355,10
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,340,10
が,が,が,助詞 格助詞 * * * *,269,10
も,も,も,助詞 係助詞 * * * *,244,10
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,233,10
で,で,で,助詞 格助詞 * * * *,230,10
よ,よ,よ,助詞 終助詞 * * * *,221,10
を,を,を,助詞 格助詞 * * * *,208,10
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,193,10
ん,ん,の,助詞 準体助詞 * * * *,191,10
って,って,って,助詞 副助詞 * * * *,178,10
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,170,10
と,と,と,助詞 格助詞 * * * *,145,10
私,私,私,代名詞 * * * * *,138,10
ね,ね,ね,助詞 終助詞 * * * *,128,10
の,の,の,助詞 準体助詞 * * * *,127,10
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,126,10
か,か,か,助詞 終助詞 * * * *,123,10
から,から,から,助詞 接続助詞 * * * *,117,10
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,104,10
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,104,9
か,か,か,助詞 副助詞 * * * *,99,10
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,95,10
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,87,10
こと,こと,こと,名詞 普通名詞 一般 * * *,83,10
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,79,10
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,74,10
バドミントン,バドミントン,バドミントン,名詞 普通名詞 一般 * * *,74,10
の,の,の,助詞 終助詞 * * * *,73,10
なん,なん,何,代名詞 * * * * *,71,10
綾乃,綾乃,綾乃,名詞 固有名詞 人名 名 * *,71,10
な,な,な,助詞 終助詞 * * * *,70,10
羽,羽,羽根,名詞 普通名詞 一般 * * *,70,10
もう,もう,もう,副詞 * * * * *,67,10
けど,けど,けれど,助詞 接続助詞 * * * *,65,10
それ,それ,其れ,代名詞 * * * * *,56,10
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,55,10
そう,そう,そう,副詞 * * * * *,55,10
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,54,10
から,から,から,助詞 格助詞 * * * *,54,10
ちょっと,ちょっと,一寸,副詞 * * * * *,53,10
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,53,10
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,53,9
試合,試合,試合,名詞 普通名詞 サ変可能 * * *,52,10
さん,さん,さん,接尾辞 名詞的 一般 * * *,51,9
先輩,先輩,先輩,名詞 普通名詞 一般 * * *,49,10
咲,咲,咲き,名詞 普通名詞 一般 * * *,49,10
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,46,10
ば,ば,ば,助詞 接続助詞 * * * *,45,10
