Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1245,2
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,950,2
〜,〜,〜,補助記号 一般 * * * *,885,2
に,に,に,助詞 格助詞 * * * *,839,2
は,は,は,助詞 係助詞 * * * *,785,2
て,て,て,助詞 接続助詞 * * * *,779,2
が,が,が,助詞 格助詞 * * * *,710,2
を,を,を,助詞 格助詞 * * * *,706,2
あっ,あっ,あっ,感動詞 一般 * * * *,652,2
よ,よ,よ,助詞 終助詞 * * * *,507,2
も,も,も,助詞 係助詞 * * * *,481,2
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,454,2
の,の,の,助詞 準体助詞 * * * *,448,2
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,428,2
か,か,か,助詞 終助詞 * * * *,374,2
デビルマン,デビルマン,デビルマン,名詞 普通名詞 一般 * * *,360,2
と,と,と,助詞 格助詞 * * * *,327,2
で,で,で,助詞 格助詞 * * * *,308,2
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,306,2
ん,ん,の,助詞 準体助詞 * * * *,305,2
うっ,うっ,うう,感動詞 一般 * * * *,291,2
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,286,2
な,な,な,助詞 終助詞 * * * *,240,2
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,230,2
ふっ,ふっ,ふっ,副詞 * * * * *,222,2
この,この,此の,連体詞 * * * * *,192,2
か,か,か,助詞 副助詞 * * * *,189,2
健作,健作,健作,名詞 固有名詞 人名 名 * *,183,2
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,182,2
何,何,何,代名詞 * * * * *,177,2
ね,ね,ね,助詞 終助詞 * * * *,173,2
ああっ,ああっ,ああ,感動詞 一般 * * * *,167,2
俺,俺,俺,代名詞 * * * * *,149,2
こと,こと,こと,名詞 普通名詞 一般 * * *,146,2
どう,どう,どう,副詞 * * * * *,143,2
わ,わ,わ,助詞 終助詞 * * * *,143,2
ハハハハ,ハハハハ,はははは,感動詞 一般 * * * *,142,2
美樹,美樹,美樹,名詞 固有名詞 人名 姓 * *,138,2
うぅ,うぅ,うう,感動詞 一般 * * * *,136,2
お前,お前,御前,代名詞 * * * * *,135,2
って,って,って,助詞 副助詞 * * * *,131,2
明君,明君,明君,名詞 普通名詞 一般 * * *,129,2
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,125,2
はっ,はっ,はっ,感動詞 一般 * * * *,125,2
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,121,2
ああ,ああ,ああ,感動詞 一般 * * * *,118,2
美樹,美樹,美樹,名詞 固有名詞 人名 名 * *,118,2
音,音,音,名詞 普通名詞 一般 * * *,117,2
あぁ,あぁ,ああ,感動詞 一般 * * * *,114,2
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,114,2
もう,もう,もう,副詞 * * * * *,109,2
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,102,2
妖獣,妖獣,妖獣,名詞 普通名詞 一般 * * *,102,2
誰,誰,誰,代名詞 * * * * *,101,2
そう,そう,そう,副詞 * * * * *,100,2
んっ,んっ,んっ,感動詞 一般 * * * *,100,2
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,97,2
の,の,の,助詞 終助詞 * * * *,95,2
ミヨ,ミヨ,ミヨ,名詞 固有名詞 人名 名 * *,94,1
うん,うん,うん,感動詞 一般 * * * *,93,2
から,から,から,助詞 接続助詞 * * * *,93,2
デビル,デビル,デビル,名詞 普通名詞 一般 * * *,93,2
人,人,人,名詞 普通名詞 一般 * * *,93,2
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,90,2
