Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,416,1
は,は,は,助詞 係助詞 * * * *,339,1
を,を,を,助詞 格助詞 * * * *,328,1
に,に,に,助詞 格助詞 * * * *,265,1
て,て,て,助詞 接続助詞 * * * *,225,1
が,が,が,助詞 格助詞 * * * *,191,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,157,1
と,と,と,助詞 格助詞 * * * *,143,1
ワトソン,ワトソン,ワトソン,名詞 固有名詞 人名 一般 * *,143,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,128,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,121,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,104,1
の,の,の,助詞 準体助詞 * * * *,104,1
か,か,か,助詞 終助詞 * * * *,96,1
･,・,・,補助記号 一般 * * * *,88,1
も,も,も,助詞 係助詞 * * * *,86,1
バーナビー,バーナビー,バーナビー,名詞 固有名詞 人名 一般 * *,74,1
で,で,で,助詞 格助詞 * * * *,71,1
フライデー,フライデー,フライデー,名詞 普通名詞 一般 * * *,65,1
屍者,屍者,死者,名詞 普通名詞 一般 * * *,64,1
手記,手記,手記,名詞 普通名詞 サ変可能 * * *,62,1
私,私,私,代名詞 * * * * *,61,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,59,1
魂,魂,魂,名詞 普通名詞 一般 * * *,59,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,56,1
あっ,あっ,あっ,感動詞 一般 * * * *,50,1
ザ,ザ,ザ,名詞 普通名詞 一般 * * *,49,1
ワン,ワン,ワン,名詞 普通名詞 一般 * * *,49,1
君,君,君,代名詞 * * * * *,48,1
音,音,音,名詞 普通名詞 一般 * * *,48,1
ハダリー,ハダリー,ハダリー,名詞 普通名詞 一般 * * *,47,1
うっ,うっ,うう,感動詞 一般 * * * *,43,1
何,何,何,代名詞 * * * * *,42,1
よ,よ,よ,助詞 終助詞 * * * *,41,1
こと,こと,こと,名詞 普通名詞 一般 * * *,40,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,37,1
な,な,な,助詞 終助詞 * * * *,36,1
あなた,あなた,貴方,代名詞 * * * * *,35,1
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,35,1
か,か,か,助詞 副助詞 * * * *,33,1
ん,ん,の,助詞 準体助詞 * * * *,31,1
言葉,言葉,言葉,名詞 普通名詞 一般 * * *,31,1
カラマーゾフ,カラマーゾフ,カラマーゾフ,名詞 固有名詞 人名 一般 * *,30,1
お前,お前,御前,代名詞 * * * * *,28,1
それ,それ,其れ,代名詞 * * * * *,28,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,28,1
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,27,1
銃声,銃声,銃声,名詞 普通名詞 一般 * * *,27,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,26,1
はっ,はっ,はっ,感動詞 一般 * * * *,26,1
から,から,から,助詞 格助詞 * * * *,25,1
この,この,此の,連体詞 * * * * *,25,1
ね,ね,ね,助詞 終助詞 * * * *,25,1
ニコライ,ニコライ,ニコライ,名詞 固有名詞 人名 一般 * *,25,1
博士,博士,博士,名詞 普通名詞 一般 * * *,25,1
