Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
・,・,・,補助記号 一般 * * * *,124,1
隆男,隆男,隆男,名詞 固有名詞 人名 名 * *,48,2
陽菜,陽菜,陽菜,名詞 固有名詞 人名 名 * *,26,1
悠美,悠美,悠美,名詞 固有名詞 人名 名 * *,25,1
の,の,の,助詞 格助詞 * * * *,19,1
は,は,は,助詞 係助詞 * * * *,19,1
ロビタ,ロビタ,ロビタ,名詞 普通名詞 一般 * * *,17,1
お,お,御,接頭辞 * * * * *,16,1
て,て,て,助詞 接続助詞 * * * *,13,1
ね,ね,ね,助詞 終助詞 * * * *,13,1
を,を,を,助詞 格助詞 * * * *,11,2
に,に,に,助詞 格助詞 * * * *,11,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,10,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,10,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,9,1
も,も,も,助詞 係助詞 * * * *,9,1
未来,未来,未来,名詞 普通名詞 一般 * * *,8,2
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,8,1
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,8,1
男,男,男,名詞 普通名詞 一般 * * *,8,1
アトム,アトム,アトム,名詞 普通名詞 一般 * * *,7,2
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,7,2
ああ,ああ,ああ,感動詞 一般 * * * *,7,1
か,か,か,助詞 終助詞 * * * *,7,1
が,が,が,助詞 格助詞 * * * *,7,1
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,7,1
よ,よ,よ,助詞 終助詞 * * * *,7,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,6,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,6,1
の,の,の,助詞 準体助詞 * * * *,6,1
ばあ,ばあ,婆,名詞 普通名詞 一般 * * *,6,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,6,1
