Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,59,1
に,に,に,助詞 格助詞 * * * *,44,1
て,て,て,助詞 接続助詞 * * * *,43,1
が,が,が,助詞 格助詞 * * * *,41,1
は,は,は,助詞 係助詞 * * * *,35,1
を,を,を,助詞 格助詞 * * * *,31,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,28,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,28,1
も,も,も,助詞 係助詞 * * * *,27,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,24,1
よ,よ,よ,助詞 終助詞 * * * *,23,1
ジュエル,ジュエル,ジュエル,名詞 普通名詞 一般 * * *,23,1
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,22,1
と,と,と,助詞 格助詞 * * * *,21,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,18,1
ね,ね,ね,助詞 終助詞 * * * *,18,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,16,1
ルビー,ルビー,ルビー,名詞 固有名詞 人名 一般 * *,16,1
私,私,私,代名詞 * * * * *,15,1
御影,御影,御影,名詞 固有名詞 地名 一般 * *,14,1
の,の,の,助詞 終助詞 * * * *,13,1
様,様,様,接尾辞 名詞的 一般 * * *,13,1
から,から,から,助詞 格助詞 * * * *,12,1
って,って,って,助詞 副助詞 * * * *,12,1
わ,わ,わ,助詞 終助詞 * * * *,12,1
君,君,君,接尾辞 名詞的 一般 * * *,12,1
お,お,御,接頭辞 * * * * *,11,1
で,で,で,助詞 格助詞 * * * *,11,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,11,1
夢,夢,夢,名詞 普通名詞 一般 * * *,11,1
の,の,の,助詞 準体助詞 * * * *,10,1
か,か,か,助詞 終助詞 * * * *,9,1
こと,こと,こと,名詞 普通名詞 一般 * * *,9,1
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,9,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,9,1
なん,なん,何,代名詞 * * * * *,9,1
ん,ん,の,助詞 準体助詞 * * * *,9,1
イルカ,イルカ,海豚,名詞 普通名詞 一般 * * *,9,1
か,か,か,助詞 副助詞 * * * *,8,1
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,8,1
もう,もう,もう,副詞 * * * * *,8,1
パワー,パワー,パワー,名詞 普通名詞 一般 * * *,8,1
〜,〜,〜,補助記号 一般 * * * *,7,1
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,7,1
俺,俺,俺,代名詞 * * * * *,7,1
先生,先生,先生,名詞 普通名詞 一般 * * *,7,1
力,力,力,名詞 普通名詞 一般 * * *,7,1
私たち,私たち,私達,名詞 普通名詞 一般 * * *,7,1
そう,そう,そう,副詞 * * * * *,6,1
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,6,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,6,1
はい,はい,はい,感動詞 一般 * * * *,6,1
ば,ば,ば,助詞 接続助詞 * * * *,6,1
らぶ,らぶ,ラブ,名詞 普通名詞 一般 * * *,6,1
フラッシュ,フラッシュ,フラッシュ,名詞 普通名詞 一般 * * *,6,1
ペット,ペット,ペット,名詞 普通名詞 一般 * * *,6,1
ランド,ランド,ランド,名詞 普通名詞 一般 * * *,6,1
ルビー,ルビー,ルビー,名詞 普通名詞 一般 * * *,6,1
人,人,人,名詞 普通名詞 一般 * * *,6,1
花音,花音,花音,名詞 固有名詞 人名 名 * *,6,1
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,5,1
から,から,から,助詞 接続助詞 * * * *,5,1
この,この,此の,連体詞 * * * * *,5,1
これ,これ,此れ,代名詞 * * * * *,5,1
それ,それ,其れ,代名詞 * * * * *,5,1
っちゃ,っちゃ,て,助詞 接続助詞 * * * *,5,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,5,1
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,5,1
まだ,まだ,未だ,副詞 * * * * *,5,1
まで,まで,まで,助詞 副助詞 * * * *,5,1
ダーク,ダーク,ダーク,名詞 普通名詞 形状詞可能 * * *,5,1
今,今,今,名詞 普通名詞 副詞可能 * * *,5,1
何,何,何,代名詞 * * * * *,5,1
あなた,あなた,貴方,代名詞 * * * * *,4,1
あれ,あれ,彼れ,代名詞 * * * * *,4,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,4,1
うわぁ,うわぁ,うわ,感動詞 一般 * * * *,4,1
えっ,えっ,えっ,感動詞 一般 * * * *,4,1
けど,けど,けれど,助詞 接続助詞 * * * *,4,1
ごめん,ごめん,御免,名詞 普通名詞 一般 * * *,4,1
しまっ,しまう,仕舞う,動詞 非自立可能 * * 五段-ワア行 連用形-促音便,4,1
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,4,1
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,4,1
で〜す,です,です,助動詞 * * * 助動詞-デス 終止形-一般,4,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,4,1
ら,ら,等,接尾辞 名詞的 一般 * * *,4,1
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,4,1
ジュエリーナ,ジュエリーナ,ジュエリーナ,名詞 普通名詞 一般 * * *,4,1
ネジ,ネジ,螺子,名詞 普通名詞 一般 * * *,4,1
ヤング,ヤング,ヤング,名詞 普通名詞 一般 * * *,4,1
一緒,一緒,一緒,名詞 普通名詞 サ変可能 * * *,4,1
兄,兄,兄,名詞 普通名詞 一般 * * *,4,1
川,川,川,名詞 普通名詞 一般 * * *,4,1
年,年,年,名詞 普通名詞 助数詞可能 * * *,4,1
音,音,音,名詞 普通名詞 一般 * * *,4,1
魔法,魔法,魔法,名詞 普通名詞 一般 * * *,4,1
あっ,あっ,あっ,感動詞 一般 * * * *,3,1
うっ,うっ,うう,感動詞 一般 * * * *,3,1
お祝い,お祝い,御祝い,名詞 普通名詞 サ変可能 * * *,3,1
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,3,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,3,1
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,3,1
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,3,1
そんな,そんな,そんな,連体詞 * * * * *,3,1
たい,たい,たい,助動詞 * * * 助動詞-タイ 終止形-一般,3,1
つ,つ,つ,接尾辞 名詞的 助数詞 * * *,3,1
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,3,1
でき,できる,出来る,動詞 非自立可能 * * 上一段-カ行 連用形-一般,3,1
どう,どう,どう,副詞 * * * * *,3,1
どこ,どこ,どこ,代名詞 * * * * *,3,1
なり,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,3,1
ねぇ,ねぇ,ね,助詞 終助詞 * * * *,3,1
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,3,1
ほら,ほら,ほら,感動詞 一般 * * * *,3,1
め,め,め,接尾辞 名詞的 一般 * * *,3,1
や,や,や,助詞 副助詞 * * * *,3,1
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,3,1
わ〜,わ〜,わ,助詞 終助詞 * * * *,3,1
わけ,わけ,訳,名詞 普通名詞 一般 * * *,3,1
アイツ,アイツ,彼奴,代名詞 * * * * *,3,1
イエーイ,イエーイ,イエイ,感動詞 一般 * * * *,3,1
カフェ,カフェ,カフェ,名詞 普通名詞 一般 * * *,3,1
ジャスパー,ジャスパー,ジャスパー,名詞 固有名詞 地名 一般 * *,3,1
チャーム,チャーム,チャーム,名詞 普通名詞 サ変可能 * * *,3,1
トール,トール,トール,名詞 普通名詞 一般 * * *,3,1
パカ,パカ,パカ,名詞 普通名詞 一般 * * *,3,1
ミラクル,ミラクル,ミラクル,名詞 普通名詞 形状詞可能 * * *,3,1
世界,世界,世界,名詞 普通名詞 一般 * * *,3,1
人間,人間,人間,名詞 普通名詞 一般 * * *,3,1
人間界,人間界,人間界,名詞 普通名詞 一般 * * *,3,1
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,3,1
元気,元気,元気,名詞 普通名詞 形状詞可能 * * *,3,1
光,光,光,名詞 普通名詞 一般 * * *,3,1
叶え,叶える,叶う,動詞 一般 * * 下一段-ア行 連用形-一般,3,1
大人,大人,大人,名詞 普通名詞 一般 * * *,3,1
太陽,太陽,太陽,名詞 普通名詞 一般 * * *,3,1
姉,姉,姉,名詞 普通名詞 一般 * * *,3,1
届い,届く,届く,動詞 一般 * * 五段-カ行 連用形-イ音便,3,1
御,御,御,接尾辞 名詞的 一般 * * *,3,1
忘れ,忘れる,忘れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,3,1
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,3,1
扉,扉,扉,名詞 普通名詞 一般 * * *,3,1
黒い,黒い,黒い,形容詞 一般 * * 形容詞 連体形-一般,3,1
あ,あ,あー,感動詞 フィラー * * * *,2,1
あげる,あげる,上げる,動詞 非自立可能 * * 下一段-ガ行 終止形-一般,2,1
あの,あの,彼の,連体詞 * * * * *,2,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,2,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,2,1
いか,いく,行く,動詞 非自立可能 * * 五段-カ行 未然形-一般,2,1
いく,いく,行く,動詞 非自立可能 * * 五段-カ行 終止形-一般,2,1
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,2,1
うち,うち,内,名詞 普通名詞 副詞可能 * * *,2,1
うん,うん,うん,感動詞 一般 * * * *,2,1
え,え,えっ,感動詞 一般 * * * *,2,1
おい,おい,おい,感動詞 一般 * * * *,2,1
おう,おう,おお,感動詞 一般 * * * *,2,1
かしら,かしら,かしら,助詞 終助詞 * * * *,2,1
ござい,ござる,御座る,動詞 非自立可能 * * 五段-ラ行 連用形-イ音便,2,1
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,2,1
しっかり,しっかり,確り,副詞 * * * * *,2,1
すばらしい,すばらしい,素晴らしい,形容詞 一般 * * 形容詞 終止形-一般,2,1
ずっと,ずっと,ずっと,副詞 * * * * *,2,1
せい,せい,せい,名詞 普通名詞 一般 * * *,2,1
そう,そう,そう,形状詞 助動詞語幹 * * * *,2,1
そして,そして,そして,接続詞 * * * * *,2,1
たち,たち,達,接尾辞 名詞的 一般 * * *,2,1
だけ,だけ,だけ,助詞 副助詞 * * * *,2,1
ちくわ,ちくわ,竹輪,名詞 普通名詞 一般 * * *,2,1
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,2,1
ちょっと,ちょっと,一寸,副詞 * * * * *,2,1
っぱなし,っぱなし,放し,接尾辞 形状詞的 * * * *,2,1
て,て,って,助詞 副助詞 * * * *,2,1
でし,です,です,助動詞 * * * 助動詞-デス 連用形-一般,2,1
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,2,1
とき,とき,時,名詞 普通名詞 副詞可能 * * *,2,1
ども,ども,共,接尾辞 名詞的 一般 * * *,2,1
な,な,な,助詞 終助詞 * * * *,2,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,2,1
なかっ,ない,無い,形容詞 非自立可能 * * 形容詞 連用形-促音便,2,1
なに,なに,何,代名詞 * * * * *,2,1
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,2,1
なんて,なんて,なんて,助詞 副助詞 * * * *,2,1
ぬ,ぬ,ず,助動詞 * * * 助動詞-ヌ 連体形-一般,2,1
ねぇ,ねぇ,ねえ,感動詞 一般 * * * *,2,1
ばい,ばい,ばい,助詞 終助詞 * * * *,2,1
ぱ,ぱ,ぱっ,副詞 * * * * *,2,1
ひと,ひと,一,名詞 数詞 * * * *,2,1
ましょう,ます,ます,助動詞 * * * 助動詞-マス 意志推量形,2,1
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,2,1
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,2,1
め,め,め,名詞 普通名詞 一般 * * *,2,1
もっと,もっと,もっと,副詞 * * * * *,2,1
やる,やる,遣る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,2,1
よ〜,よ〜,よ,助詞 終助詞 * * * *,2,1
よう,よう,様,形状詞 助動詞語幹 * * * *,2,1
よかっ,よい,良い,形容詞 非自立可能 * * 形容詞 連用形-促音便,2,1
よく,よく,良く,副詞 * * * * *,2,1
らしい,らしい,らしい,助動詞 * * * 助動詞-ラシイ 終止形-一般,2,1
られ,られる,られる,助動詞 * * * 助動詞-レル 未然形-一般,2,1
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,2,1
イエイ,イエイ,イエイ,感動詞 一般 * * * *,2,1
イライラ,イライラ,苛々,名詞 普通名詞 副詞可能 * * *,2,1
ウサギ,ウサギ,兎,名詞 普通名詞 一般 * * *,2,1
エンジェラ,エンジェラ,エンジェラ,名詞 普通名詞 一般 * * *,2,1
オーッ,オーッ,おお,感動詞 一般 * * * *,2,1
ガーネット,ガーネット,ガーネット,名詞 普通名詞 一般 * * *,2,1
サンゴ,サンゴ,珊瑚,名詞 普通名詞 一般 * * *,2,1
サンシャイン,サンシャイン,サンシャイン,名詞 普通名詞 一般 * * *,2,1
スクープ,スクープ,スクープ,名詞 普通名詞 サ変可能 * * *,2,1
ダメ,ダメ,駄目,名詞 普通名詞 形状詞可能 * * *,2,1
ハァ,ハァ,はあ,感動詞 一般 * * * *,2,1
バカ,バカ,ばか,名詞 普通名詞 形状詞可能 * * *,2,1
ホッホッホッ,ホッホッホッ,ほほほ,感動詞 一般 * * * *,2,1
マジカル,マジカル,マジカル,形状詞 一般 * * * *,2,1
ラズベリー,ラズベリー,ラズベリー,名詞 普通名詞 一般 * * *,2,1
ラブラ,ラブラ,ラブラ,名詞 普通名詞 一般 * * *,2,1
一,一,1,名詞 数詞 * * * *,2,1
助け,助け,助け,名詞 普通名詞 一般 * * *,2,1
卒業,卒業,卒業,名詞 普通名詞 サ変可能 * * *,2,1
同じ,同じ,同じ,形状詞 一般 * * * *,2,1
声,声,声,名詞 普通名詞 一般 * * *,2,1
大きな,大きな,大きな,連体詞 * * * * *,2,1
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,2,1
大事,大事,大事,形状詞 一般 * * * *,2,1
大好き,大好き,大好き,形状詞 一般 * * * *,2,1
女王,女王,女王,名詞 普通名詞 一般 * * *,2,1
姿,姿,姿,名詞 普通名詞 一般 * * *,2,1
子,子,子,名詞 普通名詞 一般 * * *,2,1
存在,存在,存在,名詞 普通名詞 サ変可能 * * *,2,1
小町,小町,小町,名詞 普通名詞 一般 * * *,2,1
幸せ,幸せ,幸せ,名詞 普通名詞 形状詞可能 * * *,2,1
待た,待つ,待つ,動詞 一般 * * 五段-タ行 未然形-一般,2,1
待っ,待つ,待つ,動詞 一般 * * 五段-タ行 連用形-促音便,2,1
戻っ,戻る,戻る,動詞 一般 * * 五段-ラ行 連用形-促音便,2,1
時間,時間,時間,名詞 普通名詞 助数詞可能 * * *,2,1
晶子,晶子,晶子,名詞 固有名詞 人名 名 * *,2,1
最近,最近,最近,名詞 普通名詞 副詞可能 * * *,2,1
最高,最高,最高,名詞 普通名詞 形状詞可能 * * *,2,1
本当,本当,本当,名詞 普通名詞 一般 * * *,2,1
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,2,1
泣い,泣く,泣く,動詞 一般 * * 五段-カ行 連用形-イ音便,2,1
無事,無事,無事,名詞 普通名詞 副詞可能 * * *,2,1
生徒,生徒,生徒,名詞 普通名詞 一般 * * *,2,1
痛い,痛い,痛い,形容詞 一般 * * 形容詞 終止形-一般,2,1
真っ赤,真っ赤,真っ赤,形状詞 一般 * * * *,2,1
笛,笛,笛,名詞 普通名詞 一般 * * *,2,1
組,組,組,名詞 普通名詞 助数詞可能 * * *,2,1
結ば,結ぶ,結ぶ,動詞 一般 * * 五段-バ行 未然形-一般,2,1
絶対,絶対,絶対,名詞 普通名詞 副詞可能 * * *,2,1
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,2,1
誰,誰,誰,代名詞 * * * * *,2,1
遅い,遅い,遅い,形容詞 一般 * * 形容詞 終止形-一般,2,1
開け,開ける,開く,動詞 一般 * * 下一段-カ行 連用形-一般,2,1
あ〜,あ〜,ああ,感動詞 一般 * * * *,1,1
ああ,ああ,ああ,感動詞 一般 * * * *,1,1
あげ,あげる,上げる,動詞 非自立可能 * * 下一段-ガ行 連用形-一般,1,1
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,1,1
あと,あと,後,名詞 普通名詞 副詞可能 * * *,1,1
あら,あら,あら,感動詞 一般 * * * *,1,1
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,1,1
ありゃ,ありゃ,彼れ,代名詞 * * * * *,1,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,1,1
あれ,あれ,あれ,感動詞 一般 * * * *,1,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,1,1
いい加減,いい加減,好い加減,名詞 普通名詞 形状詞可能 * * *,1,1
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,1,1
いう,いう,言う,動詞 一般 * * 五段-ワア行 終止形-一般,1,1
いえ,いえ,いえ,感動詞 一般 * * * *,1,1
いえ,いう,言う,動詞 一般 * * 五段-ワア行 仮定形-一般,1,1
いくよ,いくよ,いくよ,名詞 固有名詞 人名 名 * *,1,1
いたっ,いたる,至る,動詞 一般 * * 五段-ラ行 連用形-促音便,1,1
う〜ん,う〜ん,ううん,感動詞 一般 * * * *,1,1
うぅ,うぅ,うう,感動詞 一般 * * * *,1,1
うう,うう,うう,副詞 * * * * *,1,1
ううん,ううん,ううん,感動詞 一般 * * * *,1,1
うず,うず,渦,名詞 普通名詞 一般 * * *,1,1
うち,うち,うち,代名詞 * * * * *,1,1
うわ〜,うわ〜,うわ,感動詞 一般 * * * *,1,1
えぇ,えぇ,ええ,感動詞 一般 * * * *,1,1
おかげ,おかげ,御陰,名詞 普通名詞 一般 * * *,1,1
おさえ,おさえる,押さえる,動詞 一般 * * 下一段-ア行 連用形-一般,1,1
おっと,おっと,おっと,感動詞 一般 * * * *,1,1
おてんば,おてんば,御転婆,名詞 普通名詞 形状詞可能 * * *,1,1
おのれ,おのれ,己,代名詞 * * * * *,1,1
おめでとう,おめでとう,おめでとう,感動詞 一般 * * * *,1,1
お前,お前,御前,代名詞 * * * * *,1,1
お知らせ,お知らせ,お知らせ,名詞 普通名詞 一般 * * *,1,1
かえで,かえで,かえで,名詞 固有名詞 人名 名 * *,1,1
かわいい,かわいい,可愛い,形容詞 一般 * * 形容詞 終止形-一般,1,1
かわいそう,かわいそう,可哀想,形状詞 一般 * * * *,1,1
が,が,が,助詞 接続助詞 * * * *,1,1
きい,きく,きく,動詞 一般 * * 五段-カ行 連用形-イ音便,1,1
きっと,きっと,きっと,副詞 * * * * *,1,1
きよし,きよし,きよし,名詞 固有名詞 人名 名 * *,1,1
きらめき,きらめき,煌めき,名詞 普通名詞 一般 * * *,1,1
くらい,くらい,くらい,助詞 副助詞 * * * *,1,1
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 命令形,1,1
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,1,1
くれる,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 終止形-一般,1,1
ぐ,ぐ,ぐ,名詞 普通名詞 助数詞可能 * * *,1,1
こしゃく,こしゃく,小癪,名詞 普通名詞 形状詞可能 * * *,1,1
こっち,こっち,此方,代名詞 * * * * *,1,1
さ,さ,さ,接尾辞 名詞的 一般 * * *,1,1
さ,さ,さ,助詞 終助詞 * * * *,1,1
さ〜,さ〜,さ,助詞 終助詞 * * * *,1,1
さあ,さあ,さあ,感動詞 一般 * * * *,1,1
し,し,し,助詞 接続助詞 * * * *,1,1
しか,しか,しか,助詞 副助詞 * * * *,1,1
しかし,しかし,然し,接続詞 * * * * *,1,1
しつこい,しつこい,しつこい,形容詞 一般 * * 形容詞 終止形-一般,1,1
しまいこん,しまいこむ,仕舞い込む,動詞 一般 * * 五段-マ行 連用形-撥音便,1,1
しゃり,しゃり,しゃり,副詞 * * * * *,1,1
しょぼい,しょぼい,しょぼい,形容詞 一般 * * 形容詞 連体形-一般,1,1
しろ,する,為る,動詞 非自立可能 * * サ行変格 命令形,1,1
じゃ,じゃ,て,助詞 接続助詞 * * * *,1,1
じゃあ,じゃあ,で,接続詞 * * * * *,1,1
じゃん,じゃん,じゃん,助詞 終助詞 * * * *,1,1
すぎる,すぎる,過ぎる,動詞 非自立可能 * * 上一段-ガ行 終止形-一般,1,1
すぐ,すぐ,直ぐ,副詞 * * * * *,1,1
すごい,すごい,凄い,形容詞 一般 * * 形容詞 連体形-一般,1,1
すごい,すごい,凄い,形容詞 一般 * * 形容詞 終止形-一般,1,1
すっかり,すっかり,すっかり,副詞 * * * * *,1,1
すばらしい,すばらしい,素晴らしい,形容詞 一般 * * 形容詞 連体形-一般,1,1
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,1,1
すれ,する,為る,動詞 非自立可能 * * サ行変格 仮定形-一般,1,1
ず,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-一般,1,1
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,1,1
そ,そ,そう,副詞 * * * * *,1,1
そ〜っと,そ〜っと,そっと,副詞 * * * * *,1,1
その,その,其の,連体詞 * * * * *,1,1
その後,その後,その後,名詞 普通名詞 副詞可能 * * *,1,1
そば,そば,そば,名詞 普通名詞 一般 * * *,1,1
そもそも,そもそも,抑,名詞 普通名詞 副詞可能 * * *,1,1
たく,たい,たい,助動詞 * * * 助動詞-タイ 連用形-一般,1,1
ただいま,ただいま,只今,名詞 普通名詞 副詞可能 * * *,1,1
たっぷり,たっぷり,たっぷり,副詞 * * * * *,1,1
ため,ため,為,名詞 普通名詞 副詞可能 * * *,1,1
たり,たり,たり,助詞 副助詞 * * * *,1,1
だ,だ,た,助動詞 * * * 助動詞-タ 連体形-一般,1,1
だ〜,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1,1
ちなみ,ちなみ,因み,名詞 普通名詞 一般 * * *,1,1
ちまっ,ちまう,ちまう,助動詞 * * * 五段-ワア行 連用形-促音便,1,1
ちゃ,ちゃ,て,助詞 接続助詞 * * * *,1,1
ちょ,ちょ,ちょ,助詞 終助詞 * * * *,1,1
ちょこざい,ちょこざい,猪口才,形状詞 一般 * * * *,1,1
ったら,ったら,たら,助詞 副助詞 * * * *,1,1
つい,つく,付く,動詞 非自立可能 * * 五段-カ行 連用形-イ音便,1,1
ついに,ついに,遂に,副詞 * * * * *,1,1
つながる,つながる,繋ぐ,動詞 一般 * * 五段-ラ行 連体形-一般,1,1
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,1,1
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,1,1
で,でる,てる,助動詞 * * * 下一段-ダ行 連用形-一般,1,1
で,で,で,接続詞 * * * * *,1,1
でけ,でく,てく,助動詞 * * * 五段-カ行 命令形,1,1
でしょう,です,です,助動詞 * * * 助動詞-デス 意志推量形,1,1
です,です,です,助動詞 * * * 助動詞-デス 連体形-一般,1,1
でちゅ,でちゅ,でちゅ,助動詞 * * * 助動詞-デス 終止形-一般,1,1
でる,でる,てる,助動詞 * * * 下一段-ダ行 終止形-一般,1,1
と,と,と,助詞 接続助詞 * * * *,1,1
とうとう,とうとう,到頭,副詞 * * * * *,1,1
とっても,とっても,迚も,副詞 * * * * *,1,1
とん,とぶ,飛ぶ,動詞 一般 * * 五段-バ行 連用形-撥音便,1,1
どれ,どれ,どれ,代名詞 * * * * *,1,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,1,1
なかっ,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-促音便,1,1
なく,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-一般,1,1
なくっ,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-一般,1,1
なし,なし,なし,名詞 普通名詞 一般 * * *,1,1
なぜ,なぜ,何故,副詞 * * * * *,1,1
など,など,など,助詞 副助詞 * * * *,1,1
なめ,なめる,嘗める,動詞 一般 * * 下一段-マ行 連用形-一般,1,1
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,1,1
なり,なり,なり,助動詞 * * * 文語助動詞-ナリ-断定 終止形-一般,1,1
なる,なり,なり,助動詞 * * * 文語助動詞-ナリ-断定 連体形-一般,1,1
にゃん,にゃん,にゃん,副詞 * * * * *,1,1
