Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1005,13
は,は,は,助詞 係助詞 * * * *,1000,13
て,て,て,助詞 接続助詞 * * * *,936,13
に,に,に,助詞 格助詞 * * * *,801,13
も,も,も,助詞 係助詞 * * * *,667,13
か,か,か,助詞 終助詞 * * * *,660,13
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,648,13
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,592,13
が,が,が,助詞 格助詞 * * * *,584,13
と,と,と,助詞 格助詞 * * * *,577,13
で,で,で,助詞 格助詞 * * * *,553,13
ん,ん,の,助詞 準体助詞 * * * *,520,13
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,511,13
よ,よ,よ,助詞 終助詞 * * * *,487,13
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,456,13
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,450,13
を,を,を,助詞 格助詞 * * * *,419,13
って,って,って,助詞 副助詞 * * * *,392,13
の,の,の,助詞 準体助詞 * * * *,381,13
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,322,13
か,か,か,助詞 副助詞 * * * *,317,13
ね,ね,ね,助詞 終助詞 * * * *,312,13
から,から,から,助詞 接続助詞 * * * *,287,13
先輩,先輩,先輩,名詞 普通名詞 一般 * * *,282,13
けど,けど,けれど,助詞 接続助詞 * * * *,233,13
何,何,何,代名詞 * * * * *,228,13
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,224,13
な,な,な,助詞 終助詞 * * * *,223,13
さん,さん,さん,接尾辞 名詞的 一般 * * *,209,13
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,205,13
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,203,13
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,196,13
私,私,私,代名詞 * * * * *,196,13
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,192,13
そう,そう,そう,副詞 * * * * *,190,13
それ,それ,其れ,代名詞 * * * * *,190,13
あ,あ,あっ,感動詞 一般 * * * *,186,13
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,179,13
ん,ん,んっ,感動詞 一般 * * * *,168,13
