Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,2601,50
て,て,て,助詞 接続助詞 * * * *,2123,50
は,は,は,助詞 係助詞 * * * *,2093,50
に,に,に,助詞 格助詞 * * * *,2045,50
〜,〜,〜,補助記号 一般 * * * *,1838,50
が,が,が,助詞 格助詞 * * * *,1684,50
を,を,を,助詞 格助詞 * * * *,1559,50
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1382,50
も,も,も,助詞 係助詞 * * * *,1116,50
よ,よ,よ,助詞 終助詞 * * * *,1016,50
で,で,で,助詞 格助詞 * * * *,1009,50
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1006,50
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,933,50
と,と,と,助詞 格助詞 * * * *,873,50
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,847,50
か,か,か,助詞 終助詞 * * * *,824,50
ね,ね,ね,助詞 終助詞 * * * *,725,50
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,697,49
ん,ん,の,助詞 準体助詞 * * * *,693,49
・,・,・,補助記号 一般 * * * *,686,48
あっ,あっ,あっ,感動詞 一般 * * * *,684,49
スイーツ,スイーツ,スイーツ,名詞 普通名詞 一般 * * *,674,50
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,647,50
わたし,わたし,私,代名詞 * * * * *,626,48
の,の,の,助詞 準体助詞 * * * *,586,49
ペコ,ペコ,ぺこ,副詞 * * * * *,558,46
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,498,47
さん,さん,さん,接尾辞 名詞的 一般 * * *,484,50
って,って,って,助詞 副助詞 * * * *,465,50
か,か,か,助詞 副助詞 * * * *,458,50
うん,うん,うん,感動詞 一般 * * * *,426,49
こと,こと,こと,名詞 普通名詞 一般 * * *,425,50
何,何,何,代名詞 * * * * *,412,49
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,406,50
えっ,えっ,えっ,感動詞 一般 * * * *,394,50
これ,これ,此れ,代名詞 * * * * *,384,50
プリキュア,プリキュア,プリキュア,名詞 固有名詞 一般 * * *,383,50
キラキラル,キラキラル,キラキラル,名詞 普通名詞 一般 * * *,378,49
お,お,御,接頭辞 * * * * *,360,48
シエル,シエル,シエル,名詞 普通名詞 一般 * * *,353,30
の,の,の,助詞 終助詞 * * * *,350,49
キュア,キュア,キュア,名詞 普通名詞 一般 * * *,350,48
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,339,49
それ,それ,其れ,代名詞 * * * * *,336,49
どう,どう,どう,副詞 * * * * *,328,50
から,から,から,助詞 接続助詞 * * * *,327,50
あきら,あきら,あきら,名詞 固有名詞 人名 名 * *,315,44
いち,いち,一,名詞 数詞 * * * *,295,41
ジャバ,ジャバ,ジャバ,名詞 普通名詞 一般 * * *,294,38
な,な,な,助詞 終助詞 * * * *,291,49
そう,そう,そう,副詞 * * * * *,281,49
たち,たち,達,接尾辞 名詞的 一般 * * *,280,45
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,277,49
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,276,48
この,この,此の,連体詞 * * * * *,271,46
わ,わ,わ,助詞 終助詞 * * * *,255,46
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,253,41
ペコリン,ペコリン,ペコリン,名詞 普通名詞 一般 * * *,249,32
一同,一同,一同,名詞 普通名詞 一般 * * *,244,41
ノワール,ノワール,ノワール,名詞 普通名詞 一般 * * *,238,31
ゆかり,ゆかり,縁,名詞 普通名詞 一般 * * *,225,42
ホイップ,ホイップ,ホイップ,名詞 普通名詞 サ変可能 * * *,214,45
まり,まり,鞠,名詞 普通名詞 一般 * * *,207,47
あおい,あおい,青い,形容詞 一般 * * 形容詞 終止形-一般,205,45
はい,はい,はい,感動詞 一般 * * * *,199,45
あなた,あなた,貴方,代名詞 * * * * *,199,39
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,198,50
なん,なん,何,代名詞 * * * * *,196,48
あの,あの,彼の,連体詞 * * * * *,191,45
闇,闇,闇,名詞 普通名詞 一般 * * *,189,35
