Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,756,12
の,の,の,助詞 格助詞 * * * *,744,12
て,て,て,助詞 接続助詞 * * * *,739,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,725,12
に,に,に,助詞 格助詞 * * * *,652,12
が,が,が,助詞 格助詞 * * * *,513,12
を,を,を,助詞 格助詞 * * * *,408,12
で,で,で,助詞 格助詞 * * * *,402,12
と,と,と,助詞 格助詞 * * * *,398,12
か,か,か,助詞 終助詞 * * * *,393,12
も,も,も,助詞 係助詞 * * * *,381,12
ん,ん,の,助詞 準体助詞 * * * *,358,12
よ,よ,よ,助詞 終助詞 * * * *,332,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,302,12
ね,ね,ね,助詞 終助詞 * * * *,302,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,296,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,285,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,277,12
な,な,な,助詞 終助詞 * * * *,264,12
俺,俺,俺,代名詞 * * * * *,258,12
の,の,の,助詞 準体助詞 * * * *,254,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,214,12
何,何,何,代名詞 * * * * *,206,12
か,か,か,助詞 副助詞 * * * *,201,12
から,から,から,助詞 接続助詞 * * * *,169,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,167,12
って,って,って,助詞 副助詞 * * * *,155,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,153,12
こと,こと,こと,名詞 普通名詞 一般 * * *,152,12
それ,それ,其れ,代名詞 * * * * *,152,12
そう,そう,そう,副詞 * * * * *,150,12
お前,お前,御前,代名詞 * * * * *,149,12
どう,どう,どう,副詞 * * * * *,142,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,130,12
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,117,12
けど,けど,けれど,助詞 接続助詞 * * * *,112,12
これ,これ,此れ,代名詞 * * * * *,106,12
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,103,12
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,98,12
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,96,12
なん,なん,何,代名詞 * * * * *,96,12
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,89,12
私,私,私,代名詞 * * * * *,84,12
の,の,の,助詞 終助詞 * * * *,83,12
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,81,12
から,から,から,助詞 格助詞 * * * *,80,12
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,80,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,76,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,75,12
だけ,だけ,だけ,助詞 副助詞 * * * *,74,12
ば,ば,ば,助詞 接続助詞 * * * *,73,12
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,70,12
この,この,此の,連体詞 * * * * *,69,12
ら,ら,等,接尾辞 名詞的 一般 * * *,69,12
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,68,12
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,67,12
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,66,12
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,66,12
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,58,11
さん,さん,さん,接尾辞 名詞的 一般 * * *,57,11
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,56,12
人,人,人,名詞 普通名詞 一般 * * *,56,12
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,56,12
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,56,12
が,が,が,助詞 接続助詞 * * * *,53,12
もう,もう,もう,副詞 * * * * *,53,12
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,52,12
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,52,9
たち,たち,達,接尾辞 名詞的 一般 * * *,51,11
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,50,11
で,で,で,助詞 接続助詞 * * * *,49,12
なんて,なんて,なんて,助詞 副助詞 * * * *,49,12
お,お,御,接頭辞 * * * * *,49,11
ちょっと,ちょっと,一寸,副詞 * * * * *,48,12
気,気,気,名詞 普通名詞 一般 * * *,48,12
さ,さ,さ,助詞 終助詞 * * * *,47,12
まで,まで,まで,助詞 副助詞 * * * *,47,12
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,46,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,46,11
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,46,11
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,45,11
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,44,12
と,と,と,助詞 接続助詞 * * * *,44,12
じゃあ,じゃあ,で,接続詞 * * * * *,44,11
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,44,11
今,今,今,名詞 普通名詞 副詞可能 * * *,43,12
水,水,水,名詞 普通名詞 一般 * * *,43,8
そんな,そんな,そんな,連体詞 * * * * *,42,12
もの,もの,物,名詞 普通名詞 サ変可能 * * *,42,12
よう,よう,様,形状詞 助動詞語幹 * * * *,42,12
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,42,11
より,より,より,助詞 格助詞 * * * *,41,12
その,その,其の,連体詞 * * * * *,40,12
なあ,なあ,な,助詞 終助詞 * * * *,40,12
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,40,11
あれ,あれ,彼れ,代名詞 * * * * *,40,11
二人,二人,二人,名詞 普通名詞 副詞可能 * * *,40,9
たい,たい,たい,助動詞 * * * 助動詞-タイ 終止形-一般,39,11
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,39,11
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,37,11
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,37,11
ダイビング,ダイビング,ダイビング,名詞 普通名詞 サ変可能 * * *,37,10
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,36,12
し,し,し,助詞 接続助詞 * * * *,36,12
あの,あの,彼の,連体詞 * * * * *,36,11
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,35,12
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,35,12
わけ,わけ,訳,名詞 普通名詞 一般 * * *,34,11
中,中,中,名詞 普通名詞 副詞可能 * * *,34,8
家,家,家,名詞 普通名詞 一般 * * *,33,12
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,33,11
言う,言う,言う,動詞 一般 * * 五段-ワア行 終止形-一般,33,11
話,話,話,名詞 普通名詞 サ変可能 * * *,33,11
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,32,12
ここ,ここ,此処,代名詞 * * * * *,32,12
サークル,サークル,サークル,名詞 普通名詞 一般 * * *,32,9
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,31,11
誰,誰,誰,代名詞 * * * * *,31,10
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,30,9
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,29,12
本当,本当,本当,名詞 普通名詞 一般 * * *,29,10
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,28,12
ため,ため,為,名詞 普通名詞 副詞可能 * * *,28,10
入っ,入る,入る,動詞 一般 * * 五段-ラ行 連用形-促音便,28,9
時,時,時,名詞 普通名詞 副詞可能 * * *,27,11
通り,通り,通り,名詞 普通名詞 助数詞可能 * * *,27,11
もん,もん,もん,名詞 普通名詞 一般 * * *,27,10
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,27,9
先輩,先輩,先輩,名詞 普通名詞 一般 * * *,27,9
ところ,ところ,所,名詞 普通名詞 副詞可能 * * *,26,11
はい,はい,はい,感動詞 一般 * * * *,26,9
前,前,前,名詞 普通名詞 副詞可能 * * *,25,12
行っ,行く,行く,動詞 非自立可能 * * 五段-カ行 連用形-促音便,25,12
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 命令形,25,10
女,女,女,名詞 普通名詞 一般 * * *,25,9
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,25,8
彼女,彼女,彼女,代名詞 * * * * *,25,7
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,24,12
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,24,11
言わ,言う,言う,動詞 一般 * * 五段-ワア行 未然形-一般,24,11
思う,思う,思う,動詞 一般 * * 五段-ワア行 終止形-一般,24,10
普通,普通,普通,名詞 普通名詞 形状詞可能 * * *,24,8
部屋,部屋,部屋,名詞 普通名詞 一般 * * *,24,6
さっき,さっき,さっき,名詞 普通名詞 副詞可能 * * *,23,11
自分,自分,自分,名詞 普通名詞 一般 * * *,23,11
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,23,9
服,服,服,名詞 普通名詞 一般 * * *,23,9
なく,ない,無い,形容詞 非自立可能 * * 形容詞 連用形-一般,22,12
まだ,まだ,未だ,副詞 * * * * *,22,11
いおり,いおり,庵,名詞 普通名詞 一般 * * *,22,10
こう,こう,こう,副詞 * * * * *,22,10
しよう,する,為る,動詞 非自立可能 * * サ行変格 意志推量形,22,10
なかっ,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-促音便,22,10
み,みる,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,22,10
くん,くん,君,接尾辞 名詞的 一般 * * *,22,9
問題,問題,問題,名詞 普通名詞 一般 * * *,22,9
絶対,絶対,絶対,名詞 普通名詞 副詞可能 * * *,22,9
聞い,聞く,聞く,動詞 一般 * * 五段-カ行 連用形-イ音便,22,9
確か,確か,確か,形状詞 一般 * * * *,22,7
くらい,くらい,くらい,助詞 副助詞 * * * *,21,11
一緒,一緒,一緒,名詞 普通名詞 サ変可能 * * *,21,11
やる,やる,遣る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,21,10
別,別,別,名詞 普通名詞 形状詞可能 * * *,21,10
男,男,男,名詞 普通名詞 一般 * * *,21,10
海,海,海,名詞 普通名詞 一般 * * *,21,9
達,達,達,接尾辞 名詞的 一般 * * *,21,9
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,20,11
こんな,こんな,こんな,連体詞 * * * * *,20,10
好き,好き,好き,形状詞 一般 * * * *,20,10
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,20,8
やつ,やつ,奴,名詞 普通名詞 一般 * * *,19,11
顔,顔,顔,名詞 普通名詞 一般 * * *,19,11
いつも,いつも,いつも,名詞 普通名詞 副詞可能 * * *,19,10
世界,世界,世界,名詞 普通名詞 一般 * * *,19,10
よく,よく,良く,副詞 * * * * *,19,9
飲ん,飲む,飲む,動詞 一般 * * 五段-マ行 連用形-撥音便,19,7
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,18,11
他,他,他,名詞 普通名詞 副詞可能 * * *,18,11
どこ,どこ,どこ,代名詞 * * * * *,18,10
行く,行く,行く,動詞 非自立可能 * * 五段-カ行 終止形-一般,18,10
そう,そう,そう,形状詞 助動詞語幹 * * * *,18,8
なるほど,なるほど,成る程,副詞 * * * * *,18,8
目,目,目,名詞 普通名詞 一般 * * *,18,8
いえ,いう,言う,動詞 一般 * * 五段-ワア行 仮定形-一般,17,10
そこ,そこ,其処,代名詞 * * * * *,17,9
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,17,9
より,より,より,副詞 * * * * *,17,9
なく,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-一般,17,8
子,子,子,名詞 普通名詞 一般 * * *,17,8
