Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
よ,よ,よ,助詞 終助詞 * * * *,2466,48
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,2291,48
て,て,て,助詞 接続助詞 * * * *,2275,48
は,は,は,助詞 係助詞 * * * *,1991,48
の,の,の,助詞 格助詞 * * * *,1990,48
に,に,に,助詞 格助詞 * * * *,1839,48
ね,ね,ね,助詞 終助詞 * * * *,1760,48
さん,さん,さん,接尾辞 名詞的 一般 * * *,1485,48
が,が,が,助詞 格助詞 * * * *,1467,48
ん,ん,の,助詞 準体助詞 * * * *,1396,48
か,か,か,助詞 終助詞 * * * *,1174,48
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,1163,48
も,も,も,助詞 係助詞 * * * *,1148,48
で,で,で,助詞 格助詞 * * * *,1101,48
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1093,48
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1015,48
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,912,48
パンダ,パンダ,パンダ,名詞 普通名詞 一般 * * *,900,47
を,を,を,助詞 格助詞 * * * *,848,48
と,と,と,助詞 格助詞 * * * *,805,48
って,って,って,助詞 副助詞 * * * *,764,48
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,689,48
の,の,の,助詞 終助詞 * * * *,685,48
な,な,な,助詞 終助詞 * * * *,678,48
〜,〜,〜,補助記号 一般 * * * *,657,48
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,638,48
僕,僕,僕,代名詞 * * * * *,634,48
の,の,の,助詞 準体助詞 * * * *,631,48
から,から,から,助詞 接続助詞 * * * *,628,48
くん,くん,君,接尾辞 名詞的 一般 * * *,599,37
そう,そう,そう,副詞 * * * * *,551,48
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,542,48
ペンギン,ペンギン,ペンギン,名詞 普通名詞 一般 * * *,533,47
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,527,48
何,何,何,代名詞 * * * * *,516,48
それ,それ,其れ,代名詞 * * * * *,514,48
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,493,48
お,お,御,接頭辞 * * * * *,485,48
か,か,か,助詞 副助詞 * * * *,459,48
どう,どう,どう,副詞 * * * * *,447,48
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,412,48
あっ,あっ,あっ,感動詞 一般 * * * *,370,48
シロクマ,シロクマ,白熊,名詞 普通名詞 一般 * * *,355,48
笹子,笹子,笹子,名詞 固有名詞 地名 一般 * *,343,48
えっ,えっ,えっ,感動詞 一般 * * * *,339,48
うん,うん,うん,感動詞 一般 * * * *,332,47
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,321,48
なん,なん,何,代名詞 * * * * *,317,48
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,306,48
けど,けど,けれど,助詞 接続助詞 * * * *,305,47
もう,もう,もう,副詞 * * * * *,304,48
こと,こと,こと,名詞 普通名詞 一般 * * *,303,48
はい,はい,はい,感動詞 一般 * * * *,303,48
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,288,48
これ,これ,此れ,代名詞 * * * * *,279,48
