Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,705,3
の,の,の,助詞 格助詞 * * * *,685,3
を,を,を,助詞 格助詞 * * * *,530,3
に,に,に,助詞 格助詞 * * * *,508,3
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,472,3
て,て,て,助詞 接続助詞 * * * *,424,3
が,が,が,助詞 格助詞 * * * *,406,3
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,265,3
も,も,も,助詞 係助詞 * * * *,262,3
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,253,3
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,232,3
と,と,と,助詞 格助詞 * * * *,225,3
レオス,レオス,レオス,名詞 固有名詞 人名 一般 * *,204,3
で,で,で,助詞 格助詞 * * * *,196,3
デュナン,デュナン,デュナン,名詞 固有名詞 人名 一般 * *,177,3
か,か,か,助詞 終助詞 * * * *,167,3
よ,よ,よ,助詞 終助詞 * * * *,163,3
の,の,の,助詞 準体助詞 * * * *,162,3
な,な,な,助詞 終助詞 * * * *,146,3
ブリア,ブリア,ブリア,名詞 固有名詞 人名 一般 * *,136,3
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,119,3
ね,ね,ね,助詞 終助詞 * * * *,115,3
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,113,3
こと,こと,こと,名詞 普通名詞 一般 * * *,112,3
ん,ん,の,助詞 準体助詞 * * * *,100,3
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,96,3
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,88,3
か,か,か,助詞 副助詞 * * * *,82,3
俺,俺,俺,代名詞 * * * * *,81,3
何,何,何,代名詞 * * * * *,75,3
オリュンポス,オリュンポス,オリンポス,名詞 固有名詞 地名 一般 * *,73,3
これ,これ,此れ,代名詞 * * * * *,72,3
ヒトミ,ヒトミ,ヒトミ,名詞 固有名詞 人名 名 * *,72,2
音,音,音,名詞 普通名詞 一般 * * *,72,2
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,71,3
この,この,此の,連体詞 * * * * *,69,3
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,69,3
の,の,の,助詞 終助詞 * * * *,66,3
って,って,って,助詞 副助詞 * * * *,63,3
から,から,から,助詞 格助詞 * * * *,62,3
ヒト,ヒト,人,名詞 普通名詞 一般 * * *,62,1
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,59,3
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,58,3
七,七,7,名詞 数詞 * * * *,58,1
老,老,老,接尾辞 名詞的 一般 * * *,58,1
賢,賢,賢,名詞 普通名詞 形状詞可能 * * *,58,1
その,その,其の,連体詞 * * * * *,57,3
隊員,隊員,隊員,名詞 普通名詞 一般 * * *,57,1
それ,それ,其れ,代名詞 * * * * *,56,3
から,から,から,助詞 接続助詞 * * * *,55,3
