Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
て,て,て,助詞 接続助詞 * * * *,603,11
の,の,の,助詞 格助詞 * * * *,594,11
に,に,に,助詞 格助詞 * * * *,566,11
は,は,は,助詞 係助詞 * * * *,454,11
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,416,11
が,が,が,助詞 格助詞 * * * *,390,11
も,も,も,助詞 係助詞 * * * *,349,11
で,で,で,助詞 格助詞 * * * *,337,11
よ,よ,よ,助詞 終助詞 * * * *,299,11
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,269,11
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,253,11
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,251,11
の,の,の,助詞 準体助詞 * * * *,240,11
か,か,か,助詞 終助詞 * * * *,237,11
ね,ね,ね,助詞 終助詞 * * * *,237,11
ん,ん,の,助詞 準体助詞 * * * *,233,11
何,何,何,代名詞 * * * * *,230,11
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,228,11
って,って,って,助詞 副助詞 * * * *,207,11
と,と,と,助詞 格助詞 * * * *,206,11
か,か,か,助詞 副助詞 * * * *,179,11
を,を,を,助詞 格助詞 * * * *,178,11
こと,こと,こと,名詞 普通名詞 一般 * * *,164,11
あっ,あっ,あっ,感動詞 一般 * * * *,156,11
の,の,の,助詞 終助詞 * * * *,153,11
君,君,君,接尾辞 名詞的 一般 * * *,153,11
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,144,11
島尾,島尾,島尾,名詞 固有名詞 人名 姓 * *,136,11
から,から,から,助詞 接続助詞 * * * *,128,11
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,125,11
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,120,11
な,な,な,助詞 終助詞 * * * *,118,11
俺,俺,俺,代名詞 * * * * *,117,11
うん,うん,うん,感動詞 一般 * * * *,112,11
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,105,9
けど,けど,けれど,助詞 接続助詞 * * * *,101,11
僕,僕,僕,代名詞 * * * * *,100,11
店長,店長,店長,名詞 普通名詞 一般 * * *,100,11
えっ,えっ,えっ,感動詞 一般 * * * *,98,11
そう,そう,そう,副詞 * * * * *,97,11
から,から,から,助詞 格助詞 * * * *,92,11
葉月,葉月,葉月,名詞 普通名詞 一般 * * *,88,11
ミホ,ミホ,ミホ,名詞 固有名詞 人名 名 * *,88,9
どう,どう,どう,副詞 * * * * *,87,11
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,86,11
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,84,11
私,私,私,代名詞 * * * * *,81,11
〜,〜,〜,補助記号 一般 * * * *,78,11
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,77,11
この,この,此の,連体詞 * * * * *,76,11
あの,あの,彼の,連体詞 * * * * *,73,11
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,72,11
六花,六花,六花,名詞 固有名詞 人名 名 * *,72,11
葉月,葉月,葉月,名詞 固有名詞 人名 姓 * *,71,11
それ,それ,其れ,代名詞 * * * * *,70,11
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,65,11
人,人,人,名詞 普通名詞 一般 * * *,64,11
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,63,11
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,59,11
で,で,で,助詞 接続助詞 * * * *,59,11
その,その,其の,連体詞 * * * * *,57,11
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,57,11
はい,はい,はい,感動詞 一般 * * * *,56,10
だけ,だけ,だけ,助詞 副助詞 * * * *,55,11
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,55,11
