Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,296,1
に,に,に,助詞 格助詞 * * * *,209,1
智樹,智樹,智樹,名詞 固有名詞 人名 名 * *,205,1
て,て,て,助詞 接続助詞 * * * *,193,1
は,は,は,助詞 係助詞 * * * *,187,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,169,1
日和,日和,日和,名詞 普通名詞 一般 * * *,166,1
が,が,が,助詞 格助詞 * * * *,140,1
も,も,も,助詞 係助詞 * * * *,122,1
を,を,を,助詞 格助詞 * * * *,118,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,107,1
で,で,で,助詞 格助詞 * * * *,107,1
と,と,と,助詞 格助詞 * * * *,100,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,90,1
ん,ん,の,助詞 準体助詞 * * * *,83,1
ニンフ,ニンフ,ニンフ,名詞 普通名詞 一般 * * *,81,1
あっ,あっ,あっ,感動詞 一般 * * * *,79,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,76,1
よ,よ,よ,助詞 終助詞 * * * *,76,1
イカロス,イカロス,イカロス,名詞 固有名詞 人名 一般 * *,76,1
何,何,何,代名詞 * * * * *,76,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,75,1
って,って,って,助詞 副助詞 * * * *,75,1
か,か,か,助詞 終助詞 * * * *,69,1
私,私,私,代名詞 * * * * *,68,1
そ,そ,そう,副詞 * * * * *,67,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,66,1
はら,はら,はら,名詞 普通名詞 一般 * * *,65,1
音,音,音,名詞 普通名詞 一般 * * *,65,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,62,1
こと,こと,こと,名詞 普通名詞 一般 * * *,61,1
の,の,の,助詞 準体助詞 * * * *,61,1
ね,ね,ね,助詞 終助詞 * * * *,52,1
か,か,か,助詞 副助詞 * * * *,51,1
たち,たち,達,接尾辞 名詞的 一般 * * *,50,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,50,1
君,君,君,接尾辞 名詞的 一般 * * *,49,1
桜井,桜井,桜井,名詞 固有名詞 地名 一般 * *,49,1
えっ,えっ,えっ,感動詞 一般 * * * *,44,1
風音,風音,風音,名詞 普通名詞 一般 * * *,44,1
これ,これ,此れ,代名詞 * * * * *,42,1
な,な,な,助詞 終助詞 * * * *,41,1
マスター,マスター,マスター,名詞 普通名詞 サ変可能 * * *,41,1
この,この,此の,連体詞 * * * * *,40,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,40,1
守,守,守,名詞 固有名詞 人名 名 * *,40,1
形,形,形,接尾辞 名詞的 一般 * * *,40,1
俺,俺,俺,代名詞 * * * * *,39,1
そう,そう,そう,副詞 * * * * *,38,1
