Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1612,16
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1147,16
は,は,は,助詞 係助詞 * * * *,1124,16
に,に,に,助詞 格助詞 * * * *,1012,16
て,て,て,助詞 接続助詞 * * * *,889,16
を,を,を,助詞 格助詞 * * * *,833,16
が,が,が,助詞 格助詞 * * * *,779,16
カイマン,カイマン,カイマン,名詞 普通名詞 一般 * * *,765,16
か,か,か,助詞 終助詞 * * * *,571,16
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,546,16
ニカイドウ,ニカイドウ,ニカイドウ,名詞 普通名詞 一般 * * *,540,16
ん,ん,の,助詞 準体助詞 * * * *,513,16
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,503,16
も,も,も,助詞 係助詞 * * * *,453,16
で,で,で,助詞 格助詞 * * * *,441,16
な,な,な,助詞 終助詞 * * * *,429,16
魔法,魔法,魔法,名詞 普通名詞 一般 * * *,424,16
よ,よ,よ,助詞 終助詞 * * * *,415,16
と,と,と,助詞 格助詞 * * * *,387,16
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,384,16
オレ,オレ,俺,代名詞 * * * * *,384,16
煙,煙,煙,名詞 普通名詞 一般 * * *,381,16
〜,〜,〜,補助記号 一般 * * * *,345,16
の,の,の,助詞 準体助詞 * * * *,338,16
心,心,心,名詞 普通名詞 サ変可能 * * *,327,16
何,何,何,代名詞 * * * * *,320,16
能井,能井,能井,名詞 固有名詞 人名 姓 * *,300,16
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,270,16
恵比寿,恵比寿,恵比寿,名詞 固有名詞 地名 一般 * *,264,16
か,か,か,助詞 副助詞 * * * *,233,16
使い,使い,使い,名詞 普通名詞 一般 * * *,231,16
お前,お前,御前,代名詞 * * * * *,218,16
この,この,此の,連体詞 * * * * *,198,16
藤田,藤田,藤田,名詞 固有名詞 人名 姓 * *,190,15
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,181,16
こと,こと,こと,名詞 普通名詞 一般 * * *,179,16
あっ,あっ,あっ,感動詞 一般 * * * *,177,16
奴,奴,奴,名詞 普通名詞 一般 * * *,169,16
あ,あ,あっ,感動詞 一般 * * * *,146,16
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,141,16
ああ,ああ,ああ,感動詞 一般 * * * *,139,16
どう,どう,どう,副詞 * * * * *,136,16
男,男,男,名詞 普通名詞 一般 * * *,136,15
って,って,って,助詞 副助詞 * * * *,135,16
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,130,16
から,から,から,助詞 接続助詞 * * * *,127,16
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,124,16
さん,さん,さん,接尾辞 名詞的 一般 * * *,123,16
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,123,16
バウクス,バウクス,バウクス,名詞 普通名詞 一般 * * *,123,15
あの,あの,彼の,連体詞 * * * * *,121,16
それ,それ,其れ,代名詞 * * * * *,116,16
中,中,中,名詞 普通名詞 副詞可能 * * *,115,16
