Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
ジョーロ,ジョーロ,ジョウロ,名詞 普通名詞 一般 * * *,1170,12
は,は,は,助詞 係助詞 * * * *,1110,12
の,の,の,助詞 格助詞 * * * *,1023,12
て,て,て,助詞 接続助詞 * * * *,1000,12
に,に,に,助詞 格助詞 * * * *,990,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,877,12
が,が,が,助詞 格助詞 * * * *,671,12
を,を,を,助詞 格助詞 * * * *,651,12
よ,よ,よ,助詞 終助詞 * * * *,595,12
と,と,と,助詞 格助詞 * * * *,517,12
も,も,も,助詞 係助詞 * * * *,516,12
で,で,で,助詞 格助詞 * * * *,498,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,488,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,447,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,393,12
か,か,か,助詞 終助詞 * * * *,367,12
ね,ね,ね,助詞 終助詞 * * * *,337,12
ん,ん,の,助詞 準体助詞 * * * *,326,12
な,な,な,助詞 終助詞 * * * *,325,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,315,12
私,私,私,代名詞 * * * * *,315,12
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,303,12
パンジー,パンジー,パンジー,名詞 普通名詞 一般 * * *,298,12
の,の,の,助詞 準体助詞 * * * *,288,12
俺,俺,俺,代名詞 * * * * *,278,12
サン,サン,サン,名詞 普通名詞 一般 * * *,271,12
何,何,何,代名詞 * * * * *,261,12
から,から,から,助詞 接続助詞 * * * *,260,12
コスモス,コスモス,コスモス,名詞 普通名詞 一般 * * *,256,12
ひまわり,ひまわり,向日葵,名詞 普通名詞 一般 * * *,252,12
こと,こと,こと,名詞 普通名詞 一般 * * *,238,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,205,11
あ,あ,あっ,感動詞 一般 * * * *,201,12
って,って,って,助詞 副助詞 * * * *,197,12
それ,それ,其れ,代名詞 * * * * *,196,12
君,君,君,接尾辞 名詞的 一般 * * *,187,12
か,か,か,助詞 副助詞 * * * *,180,12
わ,わ,わ,助詞 終助詞 * * * *,174,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,171,12
そう,そう,そう,副詞 * * * * *,163,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,150,12
その,その,其の,連体詞 * * * * *,147,12
あすなろ,あすなろ,翌檜,名詞 普通名詞 一般 * * *,143,8
どう,どう,どう,副詞 * * * * *,140,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,134,12
さん,さん,さん,接尾辞 名詞的 一般 * * *,133,12
から,から,から,助詞 格助詞 * * * *,121,12
の,の,の,助詞 終助詞 * * * *,117,12
あの,あの,彼の,連体詞 * * * * *,106,12
これ,これ,此れ,代名詞 * * * * *,105,12
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,102,12
お,お,御,接頭辞 * * * * *,101,12
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,99,12
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,97,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,97,12
たんぽぽ,たんぽぽ,蒲公英,名詞 普通名詞 一般 * * *,97,6
君,君,君,代名詞 * * * * *,95,12
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,90,12
