Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,2052,22
を,を,を,助詞 格助詞 * * * *,1630,22
は,は,は,助詞 係助詞 * * * *,1483,22
に,に,に,助詞 格助詞 * * * *,1348,22
て,て,て,助詞 接続助詞 * * * *,923,22
が,が,が,助詞 格助詞 * * * *,839,22
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,831,22
・,・,・,補助記号 一般 * * * *,692,22
と,と,と,助詞 格助詞 * * * *,661,22
で,で,で,助詞 格助詞 * * * *,608,22
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,597,22
〜,〜,〜,補助記号 一般 * * * *,547,22
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,476,22
よ,よ,よ,助詞 終助詞 * * * *,460,22
も,も,も,助詞 係助詞 * * * *,459,22
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,389,22
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,383,22
の,の,の,助詞 準体助詞 * * * *,371,22
か,か,か,助詞 終助詞 * * * *,354,22
ござる,ござる,御座る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,274,21
ソード,ソード,ソード,名詞 普通名詞 一般 * * *,258,21
ツルギ,ツルギ,ツルギ,名詞 普通名詞 一般 * * *,253,21
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,243,22
こと,こと,こと,名詞 普通名詞 一般 * * *,242,22
ブレイヴ,ブレイヴ,ブレーブ,名詞 普通名詞 形状詞可能 * * *,234,21
ん,ん,の,助詞 準体助詞 * * * *,233,22
神,神,神,名詞 普通名詞 一般 * * *,225,19
オレ,オレ,俺,代名詞 * * * * *,217,22
アタック,アタック,アタック,名詞 普通名詞 サ変可能 * * *,217,21
ヤイバ,ヤイバ,ヤイバ,名詞 普通名詞 一般 * * *,215,21
召喚,召喚,召喚,名詞 普通名詞 サ変可能 * * *,210,21
たち,たち,達,接尾辞 名詞的 一般 * * *,209,22
な,な,な,助詞 終助詞 * * * *,207,22
ステップ,ステップ,ステップ,名詞 普通名詞 サ変可能 * * *,202,20
闇,闇,闇,名詞 普通名詞 一般 * * *,201,20
ダーク,ダーク,ダーク,名詞 普通名詞 形状詞可能 * * *,198,18
何,何,何,代名詞 * * * * *,195,22
お前,お前,御前,代名詞 * * * * *,192,21
スオウ,スオウ,蘇芳,名詞 普通名詞 一般 * * *,189,20
ライフ,ライフ,ライフ,名詞 普通名詞 一般 * * *,188,21
光,光,光,名詞 普通名詞 一般 * * *,187,20
ガルドス,ガルドス,ガルドス,名詞 固有名詞 人名 一般 * *,186,21
あっ,あっ,あっ,感動詞 一般 * * * *,184,22
この,この,此の,連体詞 * * * * *,183,22
効果,効果,効果,名詞 普通名詞 一般 * * *,181,21
ブリンガー,ブリンガー,ブリンガー,名詞 普通名詞 一般 * * *,180,21
ターン,ターン,ターン,名詞 普通名詞 サ変可能 * * *,176,21
スピリット,スピリット,スピリット,名詞 普通名詞 一般 * * *,171,22
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,169,22
ハガクレ,ハガクレ,ハガクレ,名詞 普通名詞 一般 * * *,168,21
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,151,20
から,から,から,助詞 格助詞 * * * *,150,22
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,150,22
ね,ね,ね,助詞 終助詞 * * * *,145,22
ウッ,ウッ,ウッ,名詞 固有名詞 人名 一般 * *,145,20
って,って,って,助詞 副助詞 * * * *,143,21
エンド,エンド,エンド,名詞 普通名詞 一般 * * *,143,20
キザクラ,キザクラ,キザクラ,名詞 普通名詞 一般 * * *,141,21
ハクア,ハクア,ハクア,名詞 普通名詞 一般 * * *,135,21
時,時,時,名詞 普通名詞 助数詞可能 * * *,134,22
これ,これ,此れ,代名詞 * * * * *,133,22
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,133,22
その,その,其の,連体詞 * * * * *,131,22
うん,うん,うん,感動詞 一般 * * * *,131,21
様,様,様,接尾辞 名詞的 一般 * * *,130,20
それ,それ,其れ,代名詞 * * * * *,121,22
レベル,レベル,レベル,名詞 普通名詞 一般 * * *,121,21
ゴーディ,ゴーディ,ゴーディ,名詞 固有名詞 人名 一般 * *,118,19
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,108,20
か,か,か,助詞 副助詞 * * * *,106,21
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,105,21
音,音,音,名詞 普通名詞 一般 * * *,98,21
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,97,21
バトル,バトル,バトル,名詞 普通名詞 一般 * * *,97,20
どう,どう,どう,副詞 * * * * *,96,21
王,王,王,名詞 普通名詞 一般 * * *,95,18
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,94,22
ば,ば,ば,助詞 接続助詞 * * * *,94,21
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,92,21
世界,世界,世界,名詞 普通名詞 一般 * * *,92,19
お,お,御,接頭辞 * * * * *,90,18
アイズ,アイズ,アイズ,名詞 普通名詞 一般 * * *,88,17
から,から,から,助詞 接続助詞 * * * *,87,22
アマレロ,アマレロ,アマレロ,名詞 普通名詞 一般 * * *,87,16
わたし,わたし,私,代名詞 * * * * *,85,19
グレナダ,グレナダ,グレナダ,名詞 固有名詞 地名 国 * *,85,18
第,第,第,接頭辞 * * * * *,85,15
そして,そして,そして,接続詞 * * * * *,83,20
