Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,2280,13
の,の,の,助詞 準体助詞 * * * *,1745,13
の,の,の,助詞 格助詞 * * * *,1420,13
て,て,て,助詞 接続助詞 * * * *,1176,13
に,に,に,助詞 格助詞 * * * *,1132,13
は,は,は,助詞 係助詞 * * * *,1131,13
が,が,が,助詞 格助詞 * * * *,951,13
パパ,パパ,パパ,名詞 普通名詞 一般 * * *,812,13
を,を,を,助詞 格助詞 * * * *,805,13
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,757,13
よ,よ,よ,助詞 終助詞 * * * *,726,13
か,か,か,助詞 終助詞 * * * *,660,13
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,596,13
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,595,13
で,で,で,助詞 格助詞 * * * *,577,13
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,571,13
ん,ん,の,助詞 準体助詞 * * * *,558,13
と,と,と,助詞 格助詞 * * * *,543,13
バカボン,バカボン,バカボン,名詞 固有名詞 人名 一般 * *,479,13
も,も,も,助詞 係助詞 * * * *,472,13
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,450,13
〜,〜,〜,補助記号 一般 * * * *,408,13
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,282,13
か,か,か,助詞 副助詞 * * * *,263,13
さん,さん,さん,接尾辞 名詞的 一般 * * *,263,13
本官,本官,本官,名詞 普通名詞 一般 * * *,250,13
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,243,13
こと,こと,こと,名詞 普通名詞 一般 * * *,241,13
って,って,って,助詞 副助詞 * * * *,234,13
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,225,13
から,から,から,助詞 接続助詞 * * * *,212,13
ね,ね,ね,助詞 終助詞 * * * *,208,13
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,207,13
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,198,13
僕,僕,僕,代名詞 * * * * *,196,13
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,191,13
