Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,291,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,277,1
の,の,の,助詞 格助詞 * * * *,244,1
に,に,に,助詞 格助詞 * * * *,202,1
が,が,が,助詞 格助詞 * * * *,180,1
て,て,て,助詞 接続助詞 * * * *,166,1
を,を,を,助詞 格助詞 * * * *,146,1
も,も,も,助詞 係助詞 * * * *,128,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,122,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,117,1
で,で,で,助詞 格助詞 * * * *,109,1
か,か,か,助詞 終助詞 * * * *,107,1
ん,ん,の,助詞 準体助詞 * * * *,107,1
よ,よ,よ,助詞 終助詞 * * * *,103,1
の,の,の,助詞 準体助詞 * * * *,92,1
と,と,と,助詞 格助詞 * * * *,91,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,90,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,76,1
な,な,な,助詞 終助詞 * * * *,76,1
何,何,何,代名詞 * * * * *,73,1
か,か,か,助詞 副助詞 * * * *,61,1
うっ,うっ,うう,感動詞 一般 * * * *,58,1
ん,ん,んっ,感動詞 一般 * * * *,51,1
あ,あ,あー,感動詞 フィラー * * * *,48,1
俺,俺,俺,代名詞 * * * * *,43,1
って,って,って,助詞 副助詞 * * * *,42,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,42,1
あ,あ,あっ,感動詞 一般 * * * *,40,1
この,この,此の,連体詞 * * * * *,40,1
う,う,うー,感動詞 フィラー * * * *,38,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,38,1
わ,わ,わ,助詞 終助詞 * * * *,38,1
そう,そう,そう,副詞 * * * * *,37,1
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,35,1
さ,さ,さ,助詞 終助詞 * * * *,33,1
それ,それ,其れ,代名詞 * * * * *,33,1
おまえ,おまえ,御前,代名詞 * * * * *,32,1
こと,こと,こと,名詞 普通名詞 一般 * * *,32,1
これ,これ,此れ,代名詞 * * * * *,31,1
どう,どう,どう,副詞 * * * * *,31,1
から,から,から,助詞 格助詞 * * * *,29,1
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,28,1
