Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,6174,118
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,5517,118
に,に,に,助詞 格助詞 * * * *,5278,118
て,て,て,助詞 接続助詞 * * * *,5187,118
は,は,は,助詞 係助詞 * * * *,4981,118
〜,〜,〜,補助記号 一般 * * * *,3861,118
を,を,を,助詞 格助詞 * * * *,3830,118
が,が,が,助詞 格助詞 * * * *,3768,118
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,3015,118
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,2713,118
も,も,も,助詞 係助詞 * * * *,2433,118
と,と,と,助詞 格助詞 * * * *,2354,118
か,か,か,助詞 終助詞 * * * *,2297,118
ん,ん,の,助詞 準体助詞 * * * *,2064,118
よ,よ,よ,助詞 終助詞 * * * *,2037,118
何,何,何,代名詞 * * * * *,2003,118
悟空,悟空,悟空,名詞 固有名詞 人名 名 * *,2003,118
な,な,な,助詞 終助詞 * * * *,1992,118
で,で,で,助詞 格助詞 * * * *,1961,118
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1939,118
の,の,の,助詞 準体助詞 * * * *,1836,118
パン,パン,パン,名詞 普通名詞 一般 * * *,1467,116
お前,お前,御前,代名詞 * * * * *,1370,117
･,・,・,補助記号 一般 * * * *,1260,108
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,1226,118
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,1190,118
お,お,御,接頭辞 * * * * *,1147,114
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,1140,117
こと,こと,こと,名詞 普通名詞 一般 * * *,1125,118
たち,たち,達,接尾辞 名詞的 一般 * * *,1116,118
うん,うん,うん,感動詞 一般 * * * *,1107,118
ベビー,ベビー,ベビー,名詞 普通名詞 一般 * * *,1106,39
俺,俺,俺,代名詞 * * * * *,1092,115
あっ,あっ,あっ,感動詞 一般 * * * *,1068,116
この,この,此の,連体詞 * * * * *,1050,118
か,か,か,助詞 副助詞 * * * *,919,118
悟,悟,悟,名詞 固有名詞 人名 名 * *,894,66
トランクス,トランクス,トランクス,名詞 普通名詞 一般 * * *,858,97
もう,もう,もう,副詞 * * * * *,852,117
って,って,って,助詞 副助詞 * * * *,851,116
どう,どう,どう,副詞 * * * * *,843,118
ギル,ギル,ギル,名詞 固有名詞 人名 一般 * *,836,68
オラ,オラ,己,代名詞 * * * * *,831,118
ね,ね,ね,助詞 終助詞 * * * *,815,117
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,814,118
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,786,118
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,772,117
ドラゴン,ドラゴン,ドラゴン,名詞 普通名詞 一般 * * *,760,118
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,730,104
さん,さん,さん,接尾辞 名詞的 一般 * * *,730,103
ボール,ボール,ボール,名詞 普通名詞 一般 * * *,727,118
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,711,112
から,から,から,助詞 接続助詞 * * * *,661,116
わ,わ,わ,助詞 終助詞 * * * *,656,111
そう,そう,そう,副詞 * * * * *,651,116
これ,これ,此れ,代名詞 * * * * *,644,116
それ,それ,其れ,代名詞 * * * * *,636,116
じい,じい,爺,名詞 普通名詞 一般 * * *,633,104
やつ,やつ,奴,名詞 普通名詞 一般 * * *,630,116
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,600,115
龍,龍,竜,名詞 普通名詞 一般 * * *,585,36
様,様,様,接尾辞 名詞的 一般 * * *,571,100
ああ,ああ,ああ,感動詞 一般 * * * *,558,104
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,529,113
サイヤ,サイヤ,サイヤ,名詞 固有名詞 一般 * * *,524,72
うわっ,うわっ,うわ,感動詞 一般 * * * *,519,106
あ,あ,あっ,感動詞 一般 * * * *,516,102
人,人,人,接尾辞 名詞的 一般 * * *,516,80
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,514,118
から,から,から,助詞 格助詞 * * * *,506,112
うわーっ,うわーっ,うわ,感動詞 一般 * * * *,500,76
サタン,サタン,サタン,名詞 普通名詞 一般 * * *,496,52
ば,ば,ば,助詞 接続助詞 * * * *,484,116
気,気,気,名詞 普通名詞 一般 * * *,484,113
王,王,王,名詞 普通名詞 一般 * * *,481,43
神,神,神,名詞 普通名詞 一般 * * *,476,52
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,454,112
ら,ら,等,接尾辞 名詞的 一般 * * *,450,104
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,448,116
えっ,えっ,えっ,感動詞 一般 * * * *,448,109
私,私,私,代名詞 * * * * *,448,97
ギルルル,ギルルル,ギルルル,名詞 普通名詞 一般 * * *,445,59
その,その,其の,連体詞 * * * * *,436,111
今,今,今,名詞 普通名詞 副詞可能 * * *,433,110
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,426,113
地球,地球,地球,名詞 普通名詞 一般 * * *,420,99
の,の,の,助詞 終助詞 * * * *,419,100
っ,っ,っ,補助記号 一般 * * * *,418,92
フフフ,フフフ,ふふふ,感動詞 一般 * * * *,418,87
が,が,が,助詞 接続助詞 * * * *,408,106
ミュー,ミュー,μ,記号 文字 * * * *,398,37
パワー,パワー,パワー,名詞 普通名詞 一般 * * *,394,90
だけ,だけ,だけ,助詞 副助詞 * * * *,391,118
星,星,星,接尾辞 名詞的 一般 * * *,389,48
ねえ,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,383,101
飯,飯,飯,接尾辞 名詞的 一般 * * *,382,60
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,378,106
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,372,112
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,364,113
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,364,105
まで,まで,まで,助詞 副助詞 * * * *,356,108
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,355,108
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,354,117
界,界,界,接尾辞 名詞的 一般 * * *,352,32
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,348,107
で,で,で,助詞 接続助詞 * * * *,348,106
ここ,ここ,此処,代名詞 * * * * *,348,94
そんな,そんな,そんな,連体詞 * * * * *,346,108
号,号,号,名詞 普通名詞 助数詞可能 * * *,342,18
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,340,110
けど,けど,けれど,助詞 接続助詞 * * * *,336,116
あの,あの,彼の,連体詞 * * * * *,332,90
本当,本当,本当,名詞 普通名詞 一般 * * *,326,104
龍,龍,龍,名詞 固有名詞 人名 名 * *,322,22
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,319,93
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,318,100
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,318,90
うわー,うわー,うわ,感動詞 一般 * * * *,317,63
ベジータ,ベジータ,ベジータ,名詞 固有名詞 人名 一般 * *,316,61
ちょっと,ちょっと,一寸,副詞 * * * * *,314,91
ああっ,ああっ,ああ,感動詞 一般 * * * *,314,87
ルード,ルード,ルード,名詞 固有名詞 人名 一般 * *,314,26
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,309,101
星,星,星,名詞 普通名詞 一般 * * *,309,74
