Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,707,11
は,は,は,助詞 係助詞 * * * *,587,11
て,て,て,助詞 接続助詞 * * * *,545,11
に,に,に,助詞 格助詞 * * * *,497,11
が,が,が,助詞 格助詞 * * * *,453,11
を,を,を,助詞 格助詞 * * * *,393,11
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,330,11
も,も,も,助詞 係助詞 * * * *,307,11
よ,よ,よ,助詞 終助詞 * * * *,269,11
〜,〜,〜,補助記号 一般 * * * *,266,11
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,248,11
で,で,で,助詞 格助詞 * * * *,246,11
と,と,と,助詞 格助詞 * * * *,236,11
ね,ね,ね,助詞 終助詞 * * * *,232,11
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,224,11
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,215,11
私,私,私,代名詞 * * * * *,192,11
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,188,11
の,の,の,助詞 準体助詞 * * * *,185,11
ん,ん,の,助詞 準体助詞 * * * *,184,11
プリズム,プリズム,プリズム,名詞 普通名詞 一般 * * *,171,11
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,160,11
ら,ら,等,接尾辞 名詞的 一般 * * *,154,11
こと,こと,こと,名詞 普通名詞 一般 * * *,146,11
って,って,って,助詞 副助詞 * * * *,142,11
み,み,み,接頭辞 * * * * *,140,11
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,137,11
か,か,か,助詞 終助詞 * * * *,128,11
あい,あい,あい,代名詞 * * * * *,113,11
か,か,か,助詞 副助詞 * * * *,111,11
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,109,11
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,102,11
何,何,何,代名詞 * * * * *,98,11
さん,さん,さん,接尾辞 名詞的 一般 * * *,94,11
の,の,の,助詞 終助詞 * * * *,90,11
あ,あ,あー,感動詞 フィラー * * * *,89,10
これ,これ,此れ,代名詞 * * * * *,87,11
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,87,11
それ,それ,其れ,代名詞 * * * * *,80,10
お,お,御,接頭辞 * * * * *,79,11
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,77,11
な,な,な,助詞 終助詞 * * * *,74,11
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,73,11
ショー,ショー,ショー,名詞 普通名詞 一般 * * *,73,11
この,この,此の,連体詞 * * * * *,72,11
らぁら,らぁら,らぁら,名詞 固有名詞 人名 名 * *,71,11
はい,はい,はい,感動詞 一般 * * * *,65,11
から,から,から,助詞 接続助詞 * * * *,64,11
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,64,11
マイク,マイク,マイク,名詞 普通名詞 一般 * * *,63,7
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,60,10
わ,わ,わ,助詞 終助詞 * * * *,59,10
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,57,11
夢,夢,夢,名詞 普通名詞 一般 * * *,57,7
から,から,から,助詞 格助詞 * * * *,56,11
そう,そう,そう,副詞 * * * * *,56,11
べる,べる,べる,名詞 固有名詞 人名 名 * *,54,4
人,人,人,接尾辞 名詞的 一般 * * *,53,10
あ,あ,あっ,感動詞 一般 * * * *,52,11
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,51,11
どう,どう,どう,副詞 * * * * *,51,10
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,51,10
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,49,11
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,48,11
私たち,私たち,私達,名詞 普通名詞 一般 * * *,48,10
うん,うん,うん,感動詞 一般 * * * *,47,11
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,47,11
ば,ば,ば,助詞 接続助詞 * * * *,47,11
なん,なん,何,代名詞 * * * * *,44,11
み,みる,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,44,11
スター,スター,スター,名詞 普通名詞 一般 * * *,44,9
あっ,あっ,あっ,感動詞 一般 * * * *,43,9
未来,未来,未来,名詞 普通名詞 一般 * * *,43,6
ん,ん,ん,助詞 格助詞 * * * *,42,8
ジャンプ,ジャンプ,ジャンプ,名詞 普通名詞 サ変可能 * * *,42,8
けど,けど,けれど,助詞 接続助詞 * * * *,41,11
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,40,11
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,40,10
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,39,11
センター,センター,センター,名詞 普通名詞 一般 * * *,39,11
自分,自分,自分,名詞 普通名詞 一般 * * *,39,11
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,38,11
あなた,あなた,貴方,代名詞 * * * * *,38,9
たち,たち,達,接尾辞 名詞的 一般 * * *,38,9
りん,りん,りん,副詞 * * * * *,38,4
え,え,えっ,感動詞 一般 * * * *,37,11
もう,もう,もう,副詞 * * * * *,37,11
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,37,10
おん,おん,音,名詞 普通名詞 一般 * * *,37,4
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,36,11
今,今,今,名詞 普通名詞 副詞可能 * * *,36,11
