Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,80376,1256
て,て,て,助詞 接続助詞 * * * *,71288,1256
に,に,に,助詞 格助詞 * * * *,65168,1256
は,は,は,助詞 係助詞 * * * *,63006,1256
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,62364,1256
〜,〜,〜,補助記号 一般 * * * *,53140,1229
が,が,が,助詞 格助詞 * * * *,50554,1256
よ,よ,よ,助詞 終助詞 * * * *,46744,1256
も,も,も,助詞 係助詞 * * * *,39698,1256
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,36808,1256
を,を,を,助詞 格助詞 * * * *,35522,1255
で,で,で,助詞 格助詞 * * * *,35474,1256
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,31911,1256
と,と,と,助詞 格助詞 * * * *,29840,1256
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,29768,1256
ん,ん,の,助詞 準体助詞 * * * *,29063,1256
お,お,御,接頭辞 * * * * *,28415,1256
か,か,か,助詞 終助詞 * * * *,26940,1256
ね,ね,ね,助詞 終助詞 * * * *,26698,1254
の,の,の,助詞 準体助詞 * * * *,26104,1256
って,って,って,助詞 副助詞 * * * *,24074,1254
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,21270,1255
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,19582,1237
な,な,な,助詞 終助詞 * * * *,17974,1254
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,17846,1238
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,16752,1256
の,の,の,助詞 終助詞 * * * *,16619,1254
か,か,か,助詞 副助詞 * * * *,16314,1254
から,から,から,助詞 接続助詞 * * * *,15977,1255
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,15966,1252
何,何,何,代名詞 * * * * *,15506,1235
オラ,オラ,己,代名詞 * * * * *,14191,1246
あっ,あっ,あっ,感動詞 一般 * * * *,14150,1219
そう,そう,そう,副詞 * * * * *,14117,1256
しんのすけ,しんのすけ,しんのすけ,名詞 固有名詞 人名 名 * *,14043,1244
わ,わ,わ,助詞 終助詞 * * * *,13802,1248
さん,さん,さん,接尾辞 名詞的 一般 * * *,12975,1224
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,12799,1254
これ,これ,此れ,代名詞 * * * * *,12190,1247
なん,なん,何,代名詞 * * * * *,11656,1224
それ,それ,其れ,代名詞 * * * * *,11011,1252
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,11006,1252
ああ,ああ,ああ,感動詞 一般 * * * *,10841,1176
どう,どう,どう,副詞 * * * * *,10637,1252
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,10200,1250
こと,こと,こと,名詞 普通名詞 一般 * * *,9971,954
くん,くん,君,接尾辞 名詞的 一般 * * *,9813,981
もう,もう,もう,副詞 * * * * *,9726,1245
この,この,此の,連体詞 * * * * *,9428,1232
うん,うん,うん,感動詞 一般 * * * *,9209,1155
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,9080,1207
ゾ,ゾ,ぞ,助詞 終助詞 * * * *,8366,932
えっ,えっ,えっ,感動詞 一般 * * * *,8180,1114
しん,しん,しん,名詞 固有名詞 人名 名 * *,7789,1160
から,から,から,助詞 格助詞 * * * *,7666,1235
はい,はい,はい,感動詞 一般 * * * *,7565,1184
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,7398,1202
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,7315,1239
野原,野原,野原,名詞 固有名詞 人名 姓 * *,7106,1076
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,7095,1223
たち,たち,達,接尾辞 名詞的 一般 * * *,7039,1104
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,6853,1137
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,6847,1228
い,い,い,助詞 終助詞 * * * *,6746,1133
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,6622,1208
ひろし,ひろし,ひろし,名詞 固有名詞 人名 名 * *,6551,767
マサオ,マサオ,マサオ,名詞 固有名詞 人名 名 * *,6323,778
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,6314,1188
ば,ば,ば,助詞 接続助詞 * * * *,6312,1226
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,6214,1209
ん,ん,んっ,感動詞 一般 * * * *,6118,1114
けど,けど,けれど,助詞 接続助詞 * * * *,6052,1206
ネネ,ネネ,ネネ,名詞 普通名詞 一般 * * *,6026,731
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,6024,1214
おお,おお,おお,感動詞 一般 * * * *,6023,1062
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,5999,1197
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,5993,1173
ちょっと,ちょっと,一寸,副詞 * * * * *,5874,1191
みさえ,みさえ,みさえ,名詞 固有名詞 人名 名 * *,5845,1092
･,・,・,補助記号 一般 * * * *,5837,892
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,5536,1195
ここ,ここ,此処,代名詞 * * * * *,5417,1130
あ,あ,あっ,感動詞 一般 * * * *,5410,1047
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,5247,1130
あの,あの,彼の,連体詞 * * * * *,5219,1136
先生,先生,先生,名詞 普通名詞 一般 * * *,5169,726
ボク,ボク,僕,代名詞 * * * * *,5160,738
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,5087,1130
で,で,で,助詞 接続助詞 * * * *,5041,1171
その,その,其の,連体詞 * * * * *,4926,1158
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,4903,1206
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,4898,1154
じゃあ,じゃあ,で,接続詞 * * * * *,4805,1178
母ちゃん,母ちゃん,母ちゃん,名詞 普通名詞 一般 * * *,4741,1017
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,4689,1186
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,4635,1128
し,し,し,助詞 接続助詞 * * * *,4590,1133
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,4531,1092
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,4491,1174
父ちゃん,父ちゃん,父ちゃん,名詞 普通名詞 一般 * * *,4434,836
うっ,うっ,うう,感動詞 一般 * * * *,4383,974
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,4365,1079
そんな,そんな,そんな,連体詞 * * * * *,4346,1149
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,4313,1153
おっ,おっ,おっ,感動詞 一般 * * * *,4313,1003
だけ,だけ,だけ,助詞 副助詞 * * * *,4281,1133
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,4257,1133
今,今,今,名詞 普通名詞 副詞可能 * * *,4069,1134
たい,たい,たい,助動詞 * * * 助動詞-タイ 終止形-一般,4054,1033
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,3997,1149
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,3987,1115
シロ,シロ,白,名詞 普通名詞 一般 * * *,3953,558
ダメ,ダメ,駄目,名詞 普通名詞 形状詞可能 * * *,3919,1056
どこ,どこ,どこ,代名詞 * * * * *,3870,1049
風間,風間,風間,名詞 固有名詞 人名 姓 * *,3858,792
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,3839,960
と,と,と,助詞 接続助詞 * * * *,3836,1145
事,事,事,名詞 普通名詞 一般 * * *,3779,455
