Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,479,2
の,の,の,助詞 格助詞 * * * *,451,2
に,に,に,助詞 格助詞 * * * *,367,2
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,362,2
を,を,を,助詞 格助詞 * * * *,323,2
て,て,て,助詞 接続助詞 * * * *,294,2
が,が,が,助詞 格助詞 * * * *,264,2
レン,レン,レン,名詞 固有名詞 人名 一般 * *,183,1
カナタ,カナタ,カナタ,名詞 普通名詞 一般 * * *,180,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,179,2
も,も,も,助詞 係助詞 * * * *,166,2
と,と,と,助詞 格助詞 * * * *,159,2
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,158,2
よ,よ,よ,助詞 終助詞 * * * *,144,2
で,で,で,助詞 格助詞 * * * *,123,2
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,121,2
ん,ん,の,助詞 準体助詞 * * * *,117,2
あ,あ,あっ,感動詞 一般 * * * *,112,2
か,か,か,助詞 終助詞 * * * *,110,2
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,106,2
の,の,の,助詞 準体助詞 * * * *,103,2
ああ,ああ,ああ,感動詞 一般 * * * *,99,2
ソラ,ソラ,そら,感動詞 一般 * * * *,95,1
こと,こと,こと,名詞 普通名詞 一般 * * *,93,2
あっ,あっ,あっ,感動詞 一般 * * * *,92,2
何,何,何,代名詞 * * * * *,86,2
俺,俺,俺,代名詞 * * * * *,85,2
って,って,って,助詞 副助詞 * * * *,81,2
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,78,2
音,音,音,名詞 普通名詞 一般 * * *,76,2
マナ,マナ,マナ,名詞 固有名詞 人名 名 * *,75,1
皆実,皆実,皆実,名詞 固有名詞 人名 姓 * *,74,1
私,私,私,代名詞 * * * * *,73,2
な,な,な,助詞 終助詞 * * * *,71,2
春馬,春馬,春馬,名詞 固有名詞 人名 名 * *,71,1
うっ,うっ,うう,感動詞 一般 * * * *,70,2
明,明,明,名詞 固有名詞 人名 名 * *,66,2
葵,葵,葵,名詞 普通名詞 一般 * * *,66,1
たち,たち,達,接尾辞 名詞的 一般 * * *,64,2
か,か,か,助詞 副助詞 * * * *,62,2
ね,ね,ね,助詞 終助詞 * * * *,60,2
トウヤ,トウヤ,頭屋,名詞 普通名詞 一般 * * *,52,1
お前,お前,御前,代名詞 * * * * *,51,2
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,51,2
の,の,の,助詞 終助詞 * * * *,51,2
