Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,3401,46
は,は,は,助詞 係助詞 * * * *,2352,46
に,に,に,助詞 格助詞 * * * *,2218,46
を,を,を,助詞 格助詞 * * * *,2109,46
て,て,て,助詞 接続助詞 * * * *,2053,46
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,2000,46
ダイ,ダイ,ダイ,名詞 普通名詞 一般 * * *,1659,46
が,が,が,助詞 格助詞 * * * *,1654,46
と,と,と,助詞 格助詞 * * * *,1250,46
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1039,46
も,も,も,助詞 係助詞 * * * *,1016,46
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,997,46
よ,よ,よ,助詞 終助詞 * * * *,985,46
ポップ,ポップ,ポップ,名詞 普通名詞 サ変形状詞可能 * * *,961,43
で,で,で,助詞 格助詞 * * * *,827,46
ん,ん,の,助詞 準体助詞 * * * *,807,46
な,な,な,助詞 終助詞 * * * *,776,46
の,の,の,助詞 準体助詞 * * * *,769,46
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,712,46
か,か,か,助詞 終助詞 * * * *,698,46
俺,俺,俺,代名詞 * * * * *,678,46
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,562,46
アア,アア,ああ,感動詞 一般 * * * *,539,46
マァム,マァム,マァム,名詞 普通名詞 一般 * * *,539,35
〜,〜,〜,補助記号 一般 * * * *,522,46
たち,たち,達,接尾辞 名詞的 一般 * * *,471,46
この,この,此の,連体詞 * * * * *,456,46
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,415,46
ヒュンケル,ヒュンケル,ヒュンケル,名詞 普通名詞 一般 * * *,414,24
音,音,音,名詞 普通名詞 一般 * * *,396,46
こと,こと,こと,名詞 普通名詞 一般 * * *,382,46
何,何,何,代名詞 * * * * *,367,46
ンンッ,ンンッ,ンンッ,名詞 普通名詞 一般 * * *,365,45
ンッ,ンッ,ンッ,名詞 普通名詞 一般 * * *,361,46
あっ,あっ,あっ,感動詞 一般 * * * *,358,46
うん,うん,うん,感動詞 一般 * * * *,354,46
クロコ,クロコ,クロコ,名詞 普通名詞 一般 * * *,351,31
ダイン,ダイン,ダイン,名詞 普通名詞 助数詞可能 * * *,351,31
アバン,アバン,アバン,名詞 普通名詞 一般 * * *,342,37
ハドラー,ハドラー,ハドラー,名詞 普通名詞 一般 * * *,336,33
ゴメ,ゴメ,米,名詞 普通名詞 一般 * * *,334,46
か,か,か,助詞 副助詞 * * * *,318,46
アアッ,アアッ,アアッ,名詞 普通名詞 一般 * * *,313,46
って,って,って,助詞 副助詞 * * * *,304,45
レオナ,レオナ,レオナ,名詞 固有名詞 人名 一般 * *,294,31
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,292,46
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,282,46
さま,さま,様,接尾辞 名詞的 一般 * * *,282,43
それ,それ,其れ,代名詞 * * * * *,274,46
魔王,魔王,魔王,名詞 普通名詞 一般 * * *,273,46
