Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,6748,100
は,は,は,助詞 係助詞 * * * *,5837,100
て,て,て,助詞 接続助詞 * * * *,5734,100
に,に,に,助詞 格助詞 * * * *,4888,100
を,を,を,助詞 格助詞 * * * *,4569,100
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,4291,100
が,が,が,助詞 格助詞 * * * *,3662,100
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,2987,100
よ,よ,よ,助詞 終助詞 * * * *,2983,100
〜,〜,〜,補助記号 一般 * * * *,2972,100
も,も,も,助詞 係助詞 * * * *,2761,100
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,2483,100
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,2453,100
で,で,で,助詞 格助詞 * * * *,2452,100
と,と,と,助詞 格助詞 * * * *,2378,100
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,2369,100
ん,ん,の,助詞 準体助詞 * * * *,2244,100
の,の,の,助詞 準体助詞 * * * *,2125,100
ね,ね,ね,助詞 終助詞 * * * *,2003,100
か,か,か,助詞 終助詞 * * * *,1940,100
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,1723,100
サトシ,サトシ,サトシ,名詞 固有名詞 人名 名 * *,1385,98
たち,たち,達,接尾辞 名詞的 一般 * * *,1347,100
ニャ,ニャ,ニャ,名詞 普通名詞 一般 * * *,1176,82
な,な,な,助詞 終助詞 * * * *,1130,100
ピカチュウ,ピカチュウ,ピカチュウ,名詞 固有名詞 一般 * * *,1072,53
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,1070,99
ポケモン,ポケモン,ポケモン,名詞 普通名詞 一般 * * *,1005,55
こと,こと,こと,名詞 普通名詞 一般 * * *,987,100
って,って,って,助詞 副助詞 * * * *,983,99
お,お,御,接頭辞 * * * * *,953,98
セレナ,セレナ,セリーナ,名詞 固有名詞 人名 一般 * *,947,96
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,902,100
そう,そう,そう,副詞 * * * * *,894,100
この,この,此の,連体詞 * * * * *,861,100
か,か,か,助詞 副助詞 * * * *,847,100
これ,これ,此れ,代名詞 * * * * *,825,100
私,私,私,代名詞 * * * * *,813,90
の,の,の,助詞 終助詞 * * * *,812,98
それ,それ,其れ,代名詞 * * * * *,802,100
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,738,96
わ,わ,わ,助詞 終助詞 * * * *,737,94
