Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,3348,43
は,は,は,助詞 係助詞 * * * *,2895,43
て,て,て,助詞 接続助詞 * * * *,2751,43
に,に,に,助詞 格助詞 * * * *,2671,43
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,2361,43
が,が,が,助詞 格助詞 * * * *,2101,43
を,を,を,助詞 格助詞 * * * *,1999,43
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1520,43
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1362,43
も,も,も,助詞 係助詞 * * * *,1263,43
で,で,で,助詞 格助詞 * * * *,1201,43
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1170,43
と,と,と,助詞 格助詞 * * * *,1157,43
ん,ん,の,助詞 準体助詞 * * * *,1074,43
よ,よ,よ,助詞 終助詞 * * * *,986,43
か,か,か,助詞 終助詞 * * * *,980,43
〜,〜,〜,補助記号 一般 * * * *,887,43
ジンペイ,ジンペイ,ジンペイ,名詞 普通名詞 一般 * * *,877,27
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,842,43
の,の,の,助詞 準体助詞 * * * *,805,43
マタロウ,マタロウ,マタロウ,名詞 普通名詞 一般 * * *,763,43
ね,ね,ね,助詞 終助詞 * * * *,752,43
って,って,って,助詞 副助詞 * * * *,681,43
こと,こと,こと,名詞 普通名詞 一般 * * *,646,43
たち,たち,達,接尾辞 名詞的 一般 * * *,581,43
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,569,43
な,な,な,助詞 終助詞 * * * *,551,43
か,か,か,助詞 副助詞 * * * *,547,43
あっ,あっ,あっ,感動詞 一般 * * * *,537,43
それ,それ,其れ,代名詞 * * * * *,483,43
なん,なん,何,代名詞 * * * * *,470,43
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,462,43
コマ,コマ,コマ,名詞 普通名詞 一般 * * *,456,30
これ,これ,此れ,代名詞 * * * * *,454,43
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,449,43
さん,さん,さん,接尾辞 名詞的 一般 * * *,444,42
僕,僕,僕,代名詞 * * * * *,431,42
君,君,君,接尾辞 名詞的 一般 * * *,410,28
そう,そう,そう,副詞 * * * * *,396,43
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,392,43
何,何,何,代名詞 * * * * *,392,43
この,この,此の,連体詞 * * * * *,383,43
俺,俺,俺,代名詞 * * * * *,378,42
えっ,えっ,えっ,感動詞 一般 * * * *,377,43
フブキ,フブキ,フブキ,名詞 固有名詞 人名 姓 * *,367,26
から,から,から,助詞 接続助詞 * * * *,346,40
学園,学園,学園,名詞 普通名詞 一般 * * *,317,42
から,から,から,助詞 格助詞 * * * *,304,43
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,302,43
の,の,の,助詞 終助詞 * * * *,300,43
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,296,43
メラ,メラ,メラ,名詞 普通名詞 一般 * * *,296,34
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,291,43
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,290,43
ウォッチ,ウォッチ,ウォッチ,名詞 普通名詞 サ変可能 * * *,289,32
私,私,私,代名詞 * * * * *,285,39
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,276,43
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,274,41
その,その,其の,連体詞 * * * * *,272,42
ああ,ああ,ああ,感動詞 一般 * * * *,270,36
どう,どう,どう,副詞 * * * * *,265,43
人,人,人,接尾辞 名詞的 一般 * * *,264,40
ば,ば,ば,助詞 接続助詞 * * * *,249,43
お前,お前,御前,代名詞 * * * * *,240,41
君,君,君,代名詞 * * * * *,236,43
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,225,43
ラント,ラント,ランド,名詞 普通名詞 助数詞可能 * * *,223,20
けど,けど,けれど,助詞 接続助詞 * * * *,220,43
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,220,43
ここ,ここ,此処,代名詞 * * * * *,215,43
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,205,43
よう,よう,様,形状詞 助動詞語幹 * * * *,204,43
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,201,41
ら,ら,等,接尾辞 名詞的 一般 * * *,199,35
あの,あの,彼の,連体詞 * * * * *,198,43
お,お,御,接頭辞 * * * * *,196,43
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,192,41
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,186,42
今,今,今,名詞 普通名詞 副詞可能 * * *,183,43
人,人,人,名詞 普通名詞 一般 * * *,182,40
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,181,43
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,180,38
で,で,で,助詞 接続助詞 * * * *,179,41
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,179,39
ワーイ,ワーイ,わあい,感動詞 一般 * * * *,178,41
先生,先生,先生,名詞 普通名詞 一般 * * *,178,33
紅,紅,紅,名詞 普通名詞 一般 * * *,174,27
くん,くん,君,接尾辞 名詞的 一般 * * *,169,19
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,167,43
そんな,そんな,そんな,連体詞 * * * * *,167,42
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,164,41
花子,花子,花子,名詞 固有名詞 人名 名 * *,162,3
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,160,43
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,159,43
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,158,39
なんて,なんて,なんて,助詞 副助詞 * * * *,157,36
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,156,39
･,・,・,補助記号 一般 * * * *,156,31
丸,丸,丸,接尾辞 名詞的 一般 * * *,156,27
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,155,43
一同,一同,一同,名詞 普通名詞 一般 * * *,155,24
変身,変身,変身,名詞 普通名詞 サ変可能 * * *,153,42
し,し,し,助詞 接続助詞 * * * *,153,41
ん,ん,ん,助詞 格助詞 * * * *,152,37
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,150,42
誰,誰,誰,代名詞 * * * * *,146,40
だけ,だけ,だけ,助詞 副助詞 * * * *,145,39
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,143,41
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,143,40
もう,もう,もう,副詞 * * * * *,142,38
コマ,コマ,コマ,名詞 普通名詞 助数詞可能 * * *,142,28
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,139,40
等,等,等,接尾辞 名詞的 一般 * * *,139,33
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,138,40
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,136,40
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,136,40
音,音,音,名詞 普通名詞 一般 * * *,132,36
ヤツ,ヤツ,奴,名詞 普通名詞 一般 * * *,132,31
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,131,38
ん,ん,んっ,感動詞 一般 * * * *,128,39
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,127,41
クマ,クマ,クマ,名詞 固有名詞 人名 一般 * *,123,8
まで,まで,まで,助詞 副助詞 * * * *,122,41
わ,わ,わ,助詞 終助詞 * * * *,121,40
うん,うん,うん,感動詞 一般 * * * *,121,34
ちょっと,ちょっと,一寸,副詞 * * * * *,120,39
とき,とき,時,名詞 普通名詞 副詞可能 * * *,119,41
はい,はい,はい,感動詞 一般 * * * *,117,40
クラブ,クラブ,クラブ,名詞 普通名詞 一般 * * *,117,23
力,力,力,名詞 普通名詞 一般 * * *,115,26
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,114,42
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,114,40
人間,人間,人間,名詞 普通名詞 一般 * * *,113,36
あれ,あれ,彼れ,代名詞 * * * * *,113,35
子,子,子,接尾辞 名詞的 一般 * * *,113,8
不思議,不思議,不思議,名詞 普通名詞 形状詞可能 * * *,108,29
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,107,39
こんな,こんな,こんな,連体詞 * * * * *,106,41
先輩,先輩,先輩,名詞 普通名詞 一般 * * *,106,31
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,105,39
宇宙,宇宙,宇宙,名詞 普通名詞 一般 * * *,103,11
あ,あ,あっ,感動詞 一般 * * * *,102,37
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,102,37
もの,もの,物,名詞 普通名詞 サ変可能 * * *,101,32
学園長,学園長,学園長,名詞 普通名詞 一般 * * *,101,20
が,が,が,助詞 接続助詞 * * * *,100,40
うっ,うっ,うう,感動詞 一般 * * * *,100,33
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,98,39
いや,いや,否,感動詞 一般 * * * *,98,35
本当,本当,本当,名詞 普通名詞 一般 * * *,97,36
臼見,臼見,臼見,名詞 固有名詞 人名 姓 * *,97,24
九,九,9,名詞 数詞 * * * *,97,20
尾,尾,尾,接尾辞 名詞的 助数詞 * * *,97,20
前,前,前,名詞 普通名詞 副詞可能 * * *,96,35
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,95,39
そう,そう,そう,形状詞 助動詞語幹 * * * *,95,33
ユウリ,ユウリ,ユウリ,名詞 固有名詞 人名 名 * *,94,2
気,気,気,名詞 普通名詞 一般 * * *,93,42
