Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,2543,26
は,は,は,助詞 係助詞 * * * *,2217,26
て,て,て,助詞 接続助詞 * * * *,2216,26
に,に,に,助詞 格助詞 * * * *,2103,26
が,が,が,助詞 格助詞 * * * *,1563,26
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1524,26
も,も,も,助詞 係助詞 * * * *,1518,26
で,で,で,助詞 格助詞 * * * *,1432,26
を,を,を,助詞 格助詞 * * * *,1331,26
と,と,と,助詞 格助詞 * * * *,1253,26
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,1073,26
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,970,26
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,956,26
か,か,か,助詞 終助詞 * * * *,888,26
ん,ん,の,助詞 準体助詞 * * * *,819,26
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,796,26
よ,よ,よ,助詞 終助詞 * * * *,693,26
の,の,の,助詞 準体助詞 * * * *,649,26
な,な,な,助詞 終助詞 * * * *,632,26
って,って,って,助詞 副助詞 * * * *,609,26
〜,〜,〜,補助記号 一般 * * * *,565,26
さん,さん,さん,接尾辞 名詞的 一般 * * *,562,26
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,562,26
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,524,26
君,君,君,接尾辞 名詞的 一般 * * *,502,26
事,事,事,名詞 普通名詞 一般 * * *,480,26
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,438,26
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,430,26
そう,そう,そう,副詞 * * * * *,427,26
ね,ね,ね,助詞 終助詞 * * * *,404,26
亜,亜,亜,接頭辞 * * * * *,404,26
何,何,何,代名詞 * * * * *,399,26
僕,僕,僕,代名詞 * * * * *,398,26
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,394,26
か,か,か,助詞 副助詞 * * * *,390,26
から,から,から,助詞 接続助詞 * * * *,388,26
それ,それ,其れ,代名詞 * * * * *,388,26
声,声,声,名詞 普通名詞 一般 * * *,315,26
から,から,から,助詞 格助詞 * * * *,314,26
位,位,位,接尾辞 名詞的 一般 * * *,292,23
心,心,心,名詞 普通名詞 サ変可能 * * *,290,26
けど,けど,けれど,助詞 接続助詞 * * * *,286,26
これ,これ,此れ,代名詞 * * * * *,278,26
はい,はい,はい,感動詞 一般 * * * *,266,26
俺,俺,俺,代名詞 * * * * *,265,26
ば,ば,ば,助詞 接続助詞 * * * *,264,26
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,257,26
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,256,26
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,256,26
服部,服部,服部,名詞 固有名詞 人名 姓 * *,254,26
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,253,26
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,242,26
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,236,26
まで,まで,まで,助詞 副助詞 * * * *,228,26
連載,連載,連載,名詞 普通名詞 サ変可能 * * *,225,23
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,220,26
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,218,26
えっ,えっ,えっ,感動詞 一般 * * * *,217,26
が,が,が,助詞 接続助詞 * * * *,217,26
この,この,此の,連体詞 * * * * *,213,26
アニメ,アニメ,アニメ,名詞 普通名詞 一般 * * *,212,19
マンガ,マンガ,漫画,名詞 普通名詞 一般 * * *,211,25
豆,豆,豆,名詞 普通名詞 一般 * * *,206,15
真城,真城,真城,名詞 固有名詞 人名 姓 * *,204,26
もう,もう,もう,副詞 * * * * *,200,26
城木,城木,城木,名詞 固有名詞 人名 姓 * *,198,25
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,197,26
話,話,話,名詞 普通名詞 サ変可能 * * *,194,24
平丸,平丸,平丸,名詞 固有名詞 人名 姓 * *,194,16
その,その,其の,連体詞 * * * * *,193,26
どう,どう,どう,副詞 * * * * *,193,26
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,192,25
先生,先生,先生,名詞 普通名詞 一般 * * *,192,24
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,191,26
お,お,御,接頭辞 * * * * *,188,25
たち,たち,達,接尾辞 名詞的 一般 * * *,185,26
作品,作品,作品,名詞 普通名詞 一般 * * *,184,25
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,180,26
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,179,26
ああ,ああ,ああ,感動詞 一般 * * * *,176,26
だけ,だけ,だけ,助詞 副助詞 * * * *,170,26
今,今,今,名詞 普通名詞 副詞可能 * * *,168,26
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,165,26
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,161,26
うん,うん,うん,感動詞 一般 * * * *,155,26
高木,高木,高木,名詞 固有名詞 人名 姓 * *,155,26
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,152,26
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,147,26
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,146,26
し,し,し,助詞 接続助詞 * * * *,140,26
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,139,24
香耶,香耶,香耶,名詞 固有名詞 人名 名 * *,138,25
七,七,7,名詞 数詞 * * * *,137,5
時,時,時,名詞 普通名詞 副詞可能 * * *,136,25
いや,いや,否,感動詞 一般 * * * *,135,26
蒼樹,蒼樹,蒼樹,名詞 普通名詞 一般 * * *,134,14
方,方,方,名詞 普通名詞 一般 * * *,133,25
と,と,と,助詞 接続助詞 * * * *,131,25
話,話,話,接尾辞 名詞的 一般 * * *,130,19
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,127,25
まだ,まだ,未だ,副詞 * * * * *,124,26
よう,よう,様,形状詞 助動詞語幹 * * * *,119,26
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,117,26
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,116,26
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,115,26
吉田,吉田,吉田,名詞 固有名詞 人名 姓 * *,115,18
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,114,25
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,113,26
峰,峰,峰,接尾辞 名詞的 一般 * * *,113,5
人,人,人,名詞 普通名詞 一般 * * *,112,24
目,目,目,接尾辞 名詞的 一般 * * *,111,15
たい,たい,たい,助動詞 * * * 助動詞-タイ 終止形-一般,110,25
なんて,なんて,なんて,助詞 副助詞 * * * *,109,26
で,で,で,助詞 接続助詞 * * * *,109,24
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,108,26
下さい,下さる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,108,26
ジャック,ジャック,ジャック,名詞 固有名詞 人名 一般 * *,108,24
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,105,26
そんな,そんな,そんな,連体詞 * * * * *,104,24
サイコー,サイコー,最高,名詞 普通名詞 形状詞可能 * * *,104,23
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,102,26
ここ,ここ,此処,代名詞 * * * * *,102,25
音,音,音,名詞 普通名詞 一般 * * *,102,25
もの,もの,物,名詞 普通名詞 サ変可能 * * *,102,22
私,私,私,代名詞 * * * * *,100,21
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,98,23
自分,自分,自分,名詞 普通名詞 一般 * * *,98,22
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,97,26
本当,本当,本当,名詞 普通名詞 一般 * * *,96,25
新妻,新妻,新妻,名詞 固有名詞 人名 姓 * *,96,23
雄二郎,雄二郎,雄二郎,名詞 固有名詞 人名 名 * *,96,20
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,95,26
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,95,24
新妻,新妻,新妻,名詞 普通名詞 一般 * * *,95,20
駄目,駄目,駄目,名詞 普通名詞 形状詞可能 * * *,94,24
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,93,25
エイジ,エイジ,エイジ,名詞 普通名詞 一般 * * *,93,19
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,91,26
夢,夢,夢,名詞 普通名詞 一般 * * *,91,19
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,89,25
港,港,港,名詞 固有名詞 地名 一般 * *,88,19
最高,最高,最高,名詞 普通名詞 形状詞可能 * * *,87,26
分かっ,分かる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,87,25
描い,描く,描く,動詞 一般 * * 五段-カ行 連用形-イ音便,86,22
編集長,編集長,編集長,名詞 普通名詞 一般 * * *,85,21
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,82,21
ネーム,ネーム,ネーム,名詞 普通名詞 一般 * * *,81,18
ござい,ござる,御座る,動詞 非自立可能 * * 五段-ラ行 連用形-イ音便,79,24
福田,福田,福田,名詞 固有名詞 人名 姓 * *,79,16
秋人,秋人,秋人,名詞 固有名詞 人名 名 * *,78,26
あと,あと,後,名詞 普通名詞 副詞可能 * * *,78,24
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 命令形,78,22
シュージン,シュージン,シュージン,名詞 普通名詞 一般 * * *,78,17
より,より,より,助詞 格助詞 * * * *,77,25
くらい,くらい,くらい,助詞 副助詞 * * * *,77,23
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,77,23
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,77,23
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,74,25
面白い,面白い,面白い,形容詞 一般 * * 形容詞 終止形-一般,74,24
出,出る,出る,動詞 一般 * * 下一段-ダ行 連用形-一般,74,21
絵,絵,絵,名詞 普通名詞 一般 * * *,74,18
原作,原作,原作,名詞 普通名詞 一般 * * *,74,17
あの,あの,彼の,連体詞 * * * * *,73,25
言わ,言う,言う,動詞 一般 * * 五段-ワア行 未然形-一般,73,25
終わら,終わる,終わる,動詞 非自立可能 * * 五段-ラ行 未然形-一般,73,12
気,気,気,名詞 普通名詞 一般 * * *,72,24
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,72,23
そこ,そこ,其処,代名詞 * * * * *,72,23
化,化,化,接尾辞 名詞的 サ変可能 * * *,72,17
前,前,前,名詞 普通名詞 副詞可能 * * *,71,22
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,70,25
の,の,の,助詞 終助詞 * * * *,69,23
浦,浦,浦,名詞 普通名詞 一般 * * *,69,16
やっぱり,やっぱり,矢張り,副詞 * * * * *,68,25
叶,叶,叶,名詞 固有名詞 人名 姓 * *,68,23
夢,夢,夢,名詞 固有名詞 人名 名 * *,68,23
考え,考える,考える,動詞 一般 * * 下一段-ア行 連用形-一般,68,22
あっ,あっ,あっ,感動詞 一般 * * * *,67,25
上,上,上,名詞 普通名詞 副詞可能 * * *,65,23
こんな,こんな,こんな,連体詞 * * * * *,64,21
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,64,21
週,週,週,名詞 普通名詞 助数詞可能 * * *,64,14
なかっ,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-促音便,63,25
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,63,21
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,62,24
美保,美保,美保,名詞 固有名詞 地名 一般 * *,62,13
じゃあ,じゃあ,で,接続詞 * * * * *,61,24
マンガ家,マンガ家,漫画家,名詞 普通名詞 一般 * * *,61,23
