Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,378,2
に,に,に,助詞 格助詞 * * * *,342,2
て,て,て,助詞 接続助詞 * * * *,321,2
が,が,が,助詞 格助詞 * * * *,277,2
は,は,は,助詞 係助詞 * * * *,236,2
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,222,2
も,も,も,助詞 係助詞 * * * *,203,2
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,179,2
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,177,2
で,で,で,助詞 格助詞 * * * *,170,2
よ,よ,よ,助詞 終助詞 * * * *,163,2
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,159,2
と,と,と,助詞 格助詞 * * * *,150,2
たく,たく,宅,名詞 普通名詞 一般 * * *,148,1
拓,拓,拓,名詞 固有名詞 人名 名 * *,145,1
か,か,か,助詞 終助詞 * * * *,139,2
ん,ん,の,助詞 準体助詞 * * * *,137,2
の,の,の,助詞 準体助詞 * * * *,113,2
こ,こ,っこ,接尾辞 名詞的 一般 * * *,113,1
りか,りか,りか,名詞 固有名詞 人名 名 * *,112,1
里伽子,里伽子,里伽子,名詞 固有名詞 人名 名 * *,112,1
を,を,を,助詞 格助詞 * * * *,103,2
ね,ね,ね,助詞 終助詞 * * * *,99,2
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,90,2
が,が,が,助詞 接続助詞 * * * *,87,2
って,って,って,助詞 副助詞 * * * *,86,2
こと,こと,こと,名詞 普通名詞 一般 * * *,83,2
か,か,か,助詞 副助詞 * * * *,72,2
松野,松野,松野,名詞 固有名詞 人名 姓 * *,71,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,69,2
どう,どう,どう,副詞 * * * * *,66,2
の,の,の,助詞 終助詞 * * * *,65,2
生徒,生徒,生徒,名詞 普通名詞 一般 * * *,62,1
な,な,な,助詞 終助詞 * * * *,57,2
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,52,2
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,50,2
それ,それ,其れ,代名詞 * * * * *,49,2
何,何,何,代名詞 * * * * *,49,2
むとう,むとう,むとう,名詞 固有名詞 人名 姓 * *,49,1
武藤,武藤,武藤,名詞 固有名詞 人名 姓 * *,49,1
から,から,から,助詞 接続助詞 * * * *,48,2
くん,くん,君,接尾辞 名詞的 一般 * * *,48,2
〜,〜,〜,補助記号 一般 * * * *,47,2
そう,そう,そう,副詞 * * * * *,47,2
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,47,2
お,お,御,接頭辞 * * * * *,46,2
私,私,私,代名詞 * * * * *,45,1
音,音,音,名詞 普通名詞 一般 * * *,44,2
わたし,わたし,私,代名詞 * * * * *,44,1
うん,うん,うん,感動詞 一般 * * * *,43,2
や,や,や,助詞 副助詞 * * * *,43,2
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,42,2
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,42,2
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,39,2
わ,わ,わ,助詞 終助詞 * * * *,39,2
ぼく,ぼく,僕,代名詞 * * * * *,39,1
のび太,のび太,のび太,名詞 固有名詞 人名 名 * *,38,1
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,37,2
崎,崎,崎,名詞 普通名詞 一般 * * *,36,1
杜,杜,杜,名詞 普通名詞 一般 * * *,36,1
お前,お前,御前,代名詞 * * * * *,35,1
もりさき,もりさき,もりさき,名詞 固有名詞 人名 姓 * *,35,1
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,34,2
けんど,けんど,けれど,接続詞 * * * * *,34,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,33,2
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,33,2
へ,へ,へ,助詞 格助詞 * * * *,33,2
なん,なん,何,代名詞 * * * * *,32,2
東京,東京,東京,名詞 固有名詞 地名 一般 * *,32,1
から,から,から,助詞 格助詞 * * * *,31,2
じゃ,じゃ,じゃ,助動詞 * * * 助動詞-ジャ 終止形-一般,31,2
たち,たち,達,接尾辞 名詞的 一般 * * *,31,2
もう,もう,もう,副詞 * * * * *,31,2
ー,ー,ー,補助記号 一般 * * * *,29,2
人,人,人,名詞 普通名詞 一般 * * *,29,2
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,28,2
ママ,ママ,ママ,名詞 普通名詞 一般 * * *,28,2
女子,女子,女子,名詞 普通名詞 一般 * * *,28,1
あの,あの,彼の,連体詞 * * * * *,27,2
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,27,2
こ,こ,こ,接頭辞 * * * * *,27,1
はま,はま,浜,名詞 普通名詞 一般 * * *,27,1
き,き,き,助動詞 * * * 文語助動詞-キ 終止形-一般,26,2
パパ,パパ,パパ,名詞 普通名詞 一般 * * *,26,2
学校,学校,学校,名詞 普通名詞 一般 * * *,26,2
あ,あ,あっ,感動詞 一般 * * * *,25,2
この,この,此の,連体詞 * * * * *,25,2
これ,これ,此れ,代名詞 * * * * *,25,2
や,や,や,助動詞 * * * 助動詞-ヤ 終止形-一般,25,1
けど,けど,けれど,助詞 接続助詞 * * * *,24,2
そんな,そんな,そんな,連体詞 * * * * *,24,2
声,声,声,名詞 普通名詞 一般 * * *,24,2
行っ,行く,行く,動詞 非自立可能 * * 五段-カ行 連用形-促音便,24,2
うわぁ,うわぁ,うわ,感動詞 一般 * * * *,24,1
ああ,ああ,ああ,感動詞 一般 * * * *,23,2
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,23,2
男子,男子,男子,名詞 普通名詞 一般 * * *,23,1
ちょっと,ちょっと,一寸,副詞 * * * * *,22,2
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,22,2
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,21,2
その,その,其の,連体詞 * * * * *,21,2
なあ,なあ,な,助詞 終助詞 * * * *,21,2
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,21,2
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,20,2
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,20,2
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,20,2
ホント,ホント,本当,名詞 普通名詞 一般 * * *,20,2
気,気,気,名詞 普通名詞 一般 * * *,20,2
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,19,2
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,19,2
今,今,今,名詞 普通名詞 副詞可能 * * *,19,2
や,や,や,助詞 終助詞 * * * *,19,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,18,2
せい,せい,せい,名詞 普通名詞 一般 * * *,18,2
ねえ,ねえ,ね,助詞 終助詞 * * * *,18,2
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,18,2
母,母,母,名詞 普通名詞 一般 * * *,18,2
行く,行く,行く,動詞 非自立可能 * * 五段-カ行 連体形-一般,18,2
ボク,ボク,僕,代名詞 * * * * *,18,1
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,17,2
ば,ば,ば,助詞 接続助詞 * * * *,17,2
誰,誰,誰,代名詞 * * * * *,17,2
クラス,クラス,クラス,名詞 普通名詞 一般 * * *,17,1
電話,電話,電話,名詞 普通名詞 サ変可能 * * *,17,1
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,16,2
い,い,い,助詞 終助詞 * * * *,16,2
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,16,2
え,え,えー,感動詞 フィラー * * * *,16,2
おい,おい,おい,感動詞 一般 * * * *,16,2
ここ,ここ,此処,代名詞 * * * * *,16,2
こっち,こっち,此方,代名詞 * * * * *,16,2
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,16,2
で,で,で,助詞 接続助詞 * * * *,16,2
もん,もん,もん,名詞 普通名詞 一般 * * *,16,2
子,子,子,名詞 普通名詞 一般 * * *,16,2
年,年,年,名詞 普通名詞 助数詞可能 * * *,16,2
旅行,旅行,旅行,名詞 普通名詞 サ変可能 * * *,16,1
音楽,音楽,音楽,名詞 普通名詞 一般 * * *,16,1
こう,こう,こう,副詞 * * * * *,15,2
だけ,だけ,だけ,助詞 副助詞 * * * *,15,2
と,と,と,助詞 接続助詞 * * * *,15,2
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,15,2
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,15,2
まで,まで,まで,助詞 副助詞 * * * *,15,2
バカ,バカ,ばか,名詞 普通名詞 形状詞可能 * * *,15,2
