Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,787,12
の,の,の,助詞 格助詞 * * * *,752,12
て,て,て,助詞 接続助詞 * * * *,649,12
に,に,に,助詞 格助詞 * * * *,647,12
を,を,を,助詞 格助詞 * * * *,641,12
が,が,が,助詞 格助詞 * * * *,529,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,431,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,363,12
と,と,と,助詞 格助詞 * * * *,342,12
も,も,も,助詞 係助詞 * * * *,341,12
よ,よ,よ,助詞 終助詞 * * * *,323,12
で,で,で,助詞 格助詞 * * * *,316,12
の,の,の,助詞 準体助詞 * * * *,299,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,282,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,270,12
何,何,何,代名詞 * * * * *,246,12
か,か,か,助詞 終助詞 * * * *,223,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,220,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,211,12
ナオト,ナオト,ナオト,名詞 固有名詞 人名 名 * *,164,12
ね,ね,ね,助詞 終助詞 * * * *,160,12
ん,ん,の,助詞 準体助詞 * * * *,154,12
こと,こと,こと,名詞 普通名詞 一般 * * *,153,12
私,私,私,代名詞 * * * * *,150,12
アンクル,アンクル,アンクル,名詞 普通名詞 一般 * * *,149,10
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,143,12
な,な,な,助詞 終助詞 * * * *,132,12
わ,わ,わ,助詞 終助詞 * * * *,128,12
って,って,って,助詞 副助詞 * * * *,126,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,126,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,126,12
この,この,此の,連体詞 * * * * *,124,12
それ,それ,其れ,代名詞 * * * * *,120,12
様,様,様,接尾辞 名詞的 一般 * * *,119,11
お,お,御,接頭辞 * * * * *,115,12
マリー,マリー,マリー,名詞 固有名詞 人名 一般 * *,115,12
ッ,ッ,つ,接尾辞 名詞的 助数詞 * * *,114,12
か,か,か,助詞 副助詞 * * * *,108,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,106,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,101,12
リューズ,リューズ,竜頭,名詞 普通名詞 一般 * * *,99,12
ハルター,ハルター,ハルター,名詞 固有名詞 人名 一般 * *,97,12
どう,どう,どう,副詞 * * * * *,92,12
あッ,あッ,あっ,感動詞 一般 * * * *,89,12
が,が,が,助詞 接続助詞 * * * *,89,12
の,の,の,助詞 終助詞 * * * *,88,12
から,から,から,助詞 接続助詞 * * * *,87,12
〜,〜,〜,補助記号 一般 * * * *,86,12
俺,俺,俺,代名詞 * * * * *,84,12
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,82,12
･,・,・,補助記号 一般 * * * *,80,12
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,78,12
から,から,から,助詞 格助詞 * * * *,77,12
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,68,11
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,67,12
だけ,だけ,だけ,助詞 副助詞 * * * *,66,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,65,12
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,64,12
そう,そう,そう,副詞 * * * * *,64,12
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,64,12
あんた,あんた,貴方,代名詞 * * * * *,64,11
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,63,11
ば,ば,ば,助詞 接続助詞 * * * *,62,12
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,61,12
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,61,12
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,59,12
その,その,其の,連体詞 * * * * *,59,12
さん,さん,さん,接尾辞 名詞的 一般 * * *,58,11
ああ,ああ,ああ,感動詞 一般 * * * *,56,12
これ,これ,此れ,代名詞 * * * * *,56,12
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,56,9
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,55,12
あの,あの,彼の,連体詞 * * * * *,55,11
もの,もの,物,名詞 普通名詞 サ変可能 * * *,55,10
ここ,ここ,此処,代名詞 * * * * *,54,12
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,54,11
軍,軍,軍,名詞 普通名詞 一般 * * *,53,11
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,52,12
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,51,12
時間,時間,時間,名詞 普通名詞 助数詞可能 * * *,50,10
もう,もう,もう,副詞 * * * * *,49,12
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,49,11
兵器,兵器,兵器,名詞 普通名詞 一般 * * *,49,7
けど,けど,けれど,助詞 接続助詞 * * * *,48,11
歯車,歯車,歯車,名詞 普通名詞 一般 * * *,48,10
あなた,あなた,貴方,代名詞 * * * * *,47,11
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,45,11
で,で,で,助詞 接続助詞 * * * *,45,11
今,今,今,名詞 普通名詞 副詞可能 * * *,44,12
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,43,10
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,42,12
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,42,12
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,42,12
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,42,10
えッ,えッ,えっ,感動詞 一般 * * * *,41,11
全て,全て,全て,名詞 普通名詞 副詞可能 * * *,41,8
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,40,11
ッ,ッ,ッ,名詞 普通名詞 一般 * * *,39,12
パージ,パージ,パージ,名詞 普通名詞 サ変可能 * * *,39,9
でしょう,です,です,助動詞 * * * 助動詞-デス 意志推量形,38,11
区画,区画,区画,名詞 普通名詞 サ変可能 * * *,38,11
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,37,12
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,36,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,36,12
そんな,そんな,そんな,連体詞 * * * * *,36,11
うん,うん,うん,感動詞 一般 * * * *,36,10
よう,よう,様,形状詞 助動詞語幹 * * * *,35,11
