Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,248,1
美優,美優,美優,名詞 固有名詞 人名 名 * *,105,1
て,て,て,助詞 接続助詞 * * * *,102,1
は,は,は,助詞 係助詞 * * * *,92,1
に,に,に,助詞 格助詞 * * * *,63,1
ダル,ダル,ダル,形状詞 一般 * * * *,60,1
が,が,が,助詞 格助詞 * * * *,59,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,59,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,55,1
音,音,音,名詞 普通名詞 一般 * * *,55,1
彼女,彼女,彼女,代名詞 * * * * *,53,1
を,を,を,助詞 格助詞 * * * *,51,1
僕,僕,僕,代名詞 * * * * *,51,1
も,も,も,助詞 係助詞 * * * *,44,1
と,と,と,助詞 格助詞 * * * *,40,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,37,1
母,母,母,名詞 普通名詞 一般 * * *,37,1
声,声,声,名詞 普通名詞 一般 * * *,33,1
ね,ね,ね,助詞 終助詞 * * * *,32,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,28,1
で,で,で,助詞 格助詞 * * * *,27,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,26,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,25,1
ん,ん,の,助詞 準体助詞 * * * *,25,1
知歌,知歌,知歌,名詞 固有名詞 人名 名 * *,25,1
から,から,から,助詞 接続助詞 * * * *,23,1
こと,こと,こと,名詞 普通名詞 一般 * * *,23,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,22,1
って,って,って,助詞 副助詞 * * * *,21,1
走行,走行,走行,名詞 普通名詞 サ変可能 * * *,21,1
電車,電車,電車,名詞 普通名詞 一般 * * *,21,1
〜,〜,〜,補助記号 一般 * * * *,20,1
の,の,の,助詞 準体助詞 * * * *,20,1
よ,よ,よ,助詞 終助詞 * * * *,20,1
もう,もう,もう,副詞 * * * * *,19,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,16,1
何,何,何,代名詞 * * * * *,16,1
私,私,私,代名詞 * * * * *,16,1
テレビ,テレビ,テレビ,名詞 普通名詞 一般 * * *,15,1
ハミング,ハミング,ハミング,名詞 普通名詞 サ変可能 * * *,15,1
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,14,1
音声,音声,音声,名詞 普通名詞 一般 * * *,14,1
か,か,か,助詞 副助詞 * * * *,13,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,13,1
よう,よう,様,形状詞 助動詞語幹 * * * *,12,1
ニャ,ニャ,ニャ,名詞 普通名詞 一般 * * *,12,1
うん,うん,うん,感動詞 一般 * * * *,11,1
し,し,し,助詞 接続助詞 * * * *,11,1
そう,そう,そう,副詞 * * * * *,11,1
ドア,ドア,ドア,名詞 普通名詞 一般 * * *,11,1
世界,世界,世界,名詞 普通名詞 一般 * * *,11,1
か,か,か,助詞 終助詞 * * * *,10,1
それ,それ,其れ,代名詞 * * * * *,10,1
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,10,1
の,の,の,助詞 終助詞 * * * *,10,1
電話,電話,電話,名詞 普通名詞 サ変可能 * * *,10,1
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,9,1
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,9,1
時間,時間,時間,名詞 普通名詞 助数詞可能 * * *,9,1
から,から,から,助詞 格助詞 * * * *,8,1
ごめん,ごめん,御免,名詞 普通名詞 一般 * * *,8,1
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,8,1
はぁ,はぁ,はあ,感動詞 一般 * * * *,8,1
猫,猫,猫,名詞 普通名詞 一般 * * *,8,1
笑い声,笑い声,笑い声,名詞 普通名詞 一般 * * *,8,1
覚え,覚える,覚える,動詞 一般 * * 下一段-ア行 連用形-一般,8,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,7,1
いつも,いつも,いつも,名詞 普通名詞 副詞可能 * * *,7,1
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,7,1
お,お,御,接頭辞 * * * * *,7,1
お母さん,お母さん,お母さん,名詞 普通名詞 一般 * * *,7,1
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,7,1
まで,まで,まで,助詞 副助詞 * * * *,7,1
匂い,匂い,匂い,名詞 普通名詞 一般 * * *,7,1
幸せ,幸せ,幸せ,名詞 普通名詞 形状詞可能 * * *,7,1
日,日,日,名詞 普通名詞 副詞可能 * * *,7,1
母さん,母さん,母さん,名詞 普通名詞 一般 * * *,7,1
あっ,あっ,あっ,感動詞 一般 * * * *,6,1
けど,けど,けれど,助詞 接続助詞 * * * *,6,1
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,6,1
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,6,1
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,6,1
どう,どう,どう,副詞 * * * * *,6,1
ば,ば,ば,助詞 接続助詞 * * * *,6,1
中,中,中,名詞 普通名詞 副詞可能 * * *,6,1
好き,好き,好き,形状詞 一般 * * * *,6,1
心配,心配,心配,名詞 普通名詞 サ変形状詞可能 * * *,6,1
長い,長い,長い,形容詞 一般 * * 形容詞 連体形-一般,6,1
開く,開く,開く,動詞 一般 * * 五段-カ行 連体形-一般,6,1
あたし,あたし,私,代名詞 * * * * *,5,1
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,5,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,5,1
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,5,1
きれい,きれい,奇麗,形状詞 一般 * * * *,5,1
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,5,1
な,な,な,助詞 終助詞 * * * *,5,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,5,1
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,5,1
時,時,時,名詞 普通名詞 副詞可能 * * *,5,1
熱,熱,熱,名詞 普通名詞 一般 * * *,5,1
続け,続ける,続ける,動詞 非自立可能 * * 下一段-カ行 連用形-一般,5,1
行っ,行く,行く,動詞 非自立可能 * * 五段-カ行 連用形-促音便,5,1
静か,静か,静か,形状詞 一般 * * * *,5,1
鳴き声,鳴き声,鳴き声,名詞 普通名詞 一般 * * *,5,1
あ,あ,あー,感動詞 フィラー * * * *,4,1
あなた,あなた,貴方,代名詞 * * * * *,4,1
