Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
・,・,・,補助記号 一般 * * * *,774,3
の,の,の,助詞 格助詞 * * * *,679,3
は,は,は,助詞 係助詞 * * * *,663,3
に,に,に,助詞 格助詞 * * * *,630,3
て,て,て,助詞 接続助詞 * * * *,564,3
が,が,が,助詞 格助詞 * * * *,426,3
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,321,3
も,も,も,助詞 係助詞 * * * *,309,3
で,で,で,助詞 格助詞 * * * *,295,3
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,288,3
な,な,な,助詞 終助詞 * * * *,276,3
を,を,を,助詞 格助詞 * * * *,273,3
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,258,3
か,か,か,助詞 終助詞 * * * *,255,3
よ,よ,よ,助詞 終助詞 * * * *,234,3
と,と,と,助詞 格助詞 * * * *,232,3
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,225,3
か,か,か,助詞 副助詞 * * * *,213,3
三,三,3,名詞 数詞 * * * *,201,3
何,何,何,代名詞 * * * * *,192,3
や,や,や,助動詞 * * * 助動詞-ヤ 終止形-一般,183,3
瀧,瀧,滝,名詞 普通名詞 一般 * * *,180,3
ん,ん,の,助詞 準体助詞 * * * *,177,3
葉,葉,葉,名詞 普通名詞 助数詞可能 * * *,171,3
って,って,って,助詞 副助詞 * * * *,168,3
あ,あ,あっ,感動詞 一般 * * * *,162,3
君,君,君,接尾辞 名詞的 一般 * * *,150,3
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,144,3
の,の,の,助詞 準体助詞 * * * *,144,3
俺,俺,俺,代名詞 * * * * *,138,3
ね,ね,ね,助詞 終助詞 * * * *,117,3
お前,お前,御前,代名詞 * * * * *,114,3
え,え,えっ,感動詞 一般 * * * *,111,3
から,から,から,助詞 接続助詞 * * * *,108,3
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,105,3
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,105,3
誰,誰,誰,代名詞 * * * * *,105,3
から,から,から,助詞 格助詞 * * * *,96,3
それ,それ,其れ,代名詞 * * * * *,96,3
事,事,事,名詞 普通名詞 一般 * * *,96,3
お,お,御,接頭辞 * * * * *,93,3
の,の,の,助詞 終助詞 * * * *,93,3
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,90,3
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,90,3
この,この,此の,連体詞 * * * * *,87,3
どう,どう,どう,副詞 * * * * *,87,3
人,人,人,名詞 普通名詞 一般 * * *,84,3
前,前,前,名詞 普通名詞 副詞可能 * * *,84,3
あの,あの,彼の,連体詞 * * * * *,81,3
私,私,私,代名詞 * * * * *,81,3
糸,糸,糸,名詞 普通名詞 一般 * * *,78,3
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,75,3
町,町,町,名詞 普通名詞 一般 * * *,75,3
彗星,彗星,彗星,名詞 普通名詞 一般 * * *,72,3
これ,これ,此れ,代名詞 * * * * *,69,3
さ,さ,さ,助詞 終助詞 * * * *,69,3
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,69,3
や,や,や,助詞 副助詞 * * * *,69,3
君,君,君,代名詞 * * * * *,69,3
あんた,あんた,貴方,代名詞 * * * * *,63,3
ちょっと,ちょっと,一寸,副詞 * * * * *,63,3
夢,夢,夢,名詞 普通名詞 一般 * * *,63,3
そう,そう,そう,副詞 * * * * *,60,3
