Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
を,を,を,助詞 格助詞 * * * *,492,2
の,の,の,助詞 格助詞 * * * *,480,2
て,て,て,助詞 接続助詞 * * * *,478,2
〜,〜,〜,補助記号 一般 * * * *,434,2
は,は,は,助詞 係助詞 * * * *,430,2
に,に,に,助詞 格助詞 * * * *,404,2
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,350,2
が,が,が,助詞 格助詞 * * * *,300,2
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,206,2
様,様,様,接尾辞 名詞的 一般 * * *,194,2
も,も,も,助詞 係助詞 * * * *,184,2
と,と,と,助詞 格助詞 * * * *,162,2
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,144,2
蟲,蟲,虫,名詞 普通名詞 一般 * * *,136,2
の,の,の,助詞 準体助詞 * * * *,134,2
で,で,で,助詞 格助詞 * * * *,130,2
姫,姫,姫,名詞 普通名詞 一般 * * *,124,2
ん,ん,の,助詞 準体助詞 * * * *,116,2
何,何,何,代名詞 * * * * *,116,2
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,108,2
か,か,か,助詞 終助詞 * * * *,106,2
よ,よ,よ,助詞 終助詞 * * * *,94,2
な,な,な,助詞 終助詞 * * * *,92,2
音,音,音,名詞 普通名詞 一般 * * *,92,2
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,82,2
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,80,2
腐海,腐海,腐海,名詞 普通名詞 一般 * * *,80,2
この,この,此の,連体詞 * * * * *,78,2
谷,谷,谷,名詞 普通名詞 一般 * * *,78,2
ユパ,ユパ,ユパ,名詞 固有名詞 人名 一般 * *,76,2
へ,へ,へ,助詞 格助詞 * * * *,74,2
じゃ,じゃ,じゃ,助動詞 * * * 助動詞-ジャ 終止形-一般,70,2
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,68,2
王,王,王,名詞 普通名詞 一般 * * *,66,2
私,私,私,代名詞 * * * * *,66,2
あっ,あっ,あっ,感動詞 一般 * * * *,64,2
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,64,2
風,風,風,名詞 普通名詞 一般 * * *,64,2
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,60,2
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,60,2
ミト,ミト,ミトー,名詞 固有名詞 地名 一般 * *,60,2
わ,わ,わ,助詞 終助詞 * * * *,56,2
どう,どう,どう,副詞 * * * * *,54,2
ね,ね,ね,助詞 終助詞 * * * *,54,2
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,54,2
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,52,2
あの,あの,彼の,連体詞 * * * * *,50,2
ナウシカ,ナウシカ,ナウシカ,名詞 固有名詞 人名 名 * *,50,2
か,か,か,助詞 副助詞 * * * *,48,2
で,で,で,助詞 接続助詞 * * * *,48,2
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,48,2
ば,ば,ば,助詞 接続助詞 * * * *,46,2
もう,もう,もう,副詞 * * * * *,46,2
っ,っ,っ,補助記号 一般 * * * *,44,2
の,の,の,助詞 終助詞 * * * *,44,2
ペジテ,ペジテ,ペジテ,名詞 固有名詞 地名 一般 * *,44,2
ら,ら,等,接尾辞 名詞的 一般 * * *,42,2
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,42,2
が,が,が,助詞 接続助詞 * * * *,40,2
こと,こと,こと,名詞 普通名詞 一般 * * *,40,2
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,40,2
ダメ,ダメ,駄目,名詞 普通名詞 形状詞可能 * * *,40,2
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,38,2
ここ,ここ,此処,代名詞 * * * * *,38,2
早く,早い,早い,形容詞 一般 * * 形容詞 連用形-一般,38,2
お,お,御,接頭辞 * * * * *,36,2
ババ,ババ,婆,名詞 普通名詞 一般 * * *,36,2
森,森,森,名詞 普通名詞 一般 * * *,36,2
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,34,2
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,34,2
よう,よう,様,形状詞 助動詞語幹 * * * *,34,2
世界,世界,世界,名詞 普通名詞 一般 * * *,34,2
兵,兵,兵,名詞 普通名詞 一般 * * *,34,2
銃声,銃声,銃声,名詞 普通名詞 一般 * * *,34,2
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,32,2
うわ〜,うわ〜,うわ,感動詞 一般 * * * *,32,2
から,から,から,助詞 接続助詞 * * * *,32,2
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,32,2
わし,わし,わし,代名詞 * * * * *,32,2
キ,キ,キ,名詞 普通名詞 一般 * * *,32,2
爆発,爆発,爆発,名詞 普通名詞 サ変可能 * * *,32,2
達,達,達,接尾辞 名詞的 一般 * * *,32,2
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,30,2
まで,まで,まで,助詞 副助詞 * * * *,30,2
ゴル,ゴル,ゴル,名詞 普通名詞 一般 * * *,30,2
人,人,人,名詞 普通名詞 一般 * * *,30,2
