Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,2379,26
は,は,は,助詞 係助詞 * * * *,2050,26
に,に,に,助詞 格助詞 * * * *,1718,26
を,を,を,助詞 格助詞 * * * *,1557,26
て,て,て,助詞 接続助詞 * * * *,1554,26
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1417,26
が,が,が,助詞 格助詞 * * * *,1391,26
も,も,も,助詞 係助詞 * * * *,916,26
パズル,パズル,パズル,名詞 普通名詞 一般 * * *,806,26
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,795,26
と,と,と,助詞 格助詞 * * * *,792,26
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,772,26
で,で,で,助詞 格助詞 * * * *,645,26
よ,よ,よ,助詞 終助詞 * * * *,614,26
ジン,ジン,ジン,名詞 普通名詞 一般 * * *,602,24
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,585,26
ん,ん,の,助詞 準体助詞 * * * *,549,26
の,の,の,助詞 準体助詞 * * * *,525,26
〜,〜,〜,補助記号 一般 * * * *,517,26
か,か,か,助詞 終助詞 * * * *,493,26
レイツェル,レイツェル,レイツェル,名詞 普通名詞 一般 * * *,448,25
事,事,事,名詞 普通名詞 一般 * * *,418,26
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,390,26
って,って,って,助詞 副助詞 * * * *,376,26
ね,ね,ね,助詞 終助詞 * * * *,374,26
何,何,何,代名詞 * * * * *,369,26
私,私,私,代名詞 * * * * *,357,26
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,335,26
カイト,カイト,カイト,名詞 普通名詞 一般 * * *,325,26
・,・,・,補助記号 一般 * * * *,322,26
な,な,な,助詞 終助詞 * * * *,318,26
ギャモン,ギャモン,ギャモン,名詞 普通名詞 一般 * * *,309,26
か,か,か,助詞 副助詞 * * * *,299,26
僕,僕,僕,代名詞 * * * * *,299,26
俺,俺,俺,代名詞 * * * * *,280,24
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,276,26
これ,これ,此れ,代名詞 * * * * *,244,26
それ,それ,其れ,代名詞 * * * * *,244,26
心,心,心,名詞 普通名詞 サ変可能 * * *,242,25
この,この,此の,連体詞 * * * * *,241,26
君,君,君,代名詞 * * * * *,240,26
から,から,から,助詞 接続助詞 * * * *,223,26
あっ,あっ,あっ,感動詞 一般 * * * *,221,26
カイト,カイト,カイト,名詞 固有名詞 人名 一般 * *,219,25
君,君,君,接尾辞 名詞的 一般 * * *,216,25
そう,そう,そう,副詞 * * * * *,209,26
ルーク,ルーク,ルーク,名詞 普通名詞 一般 * * *,207,21
たち,たち,達,接尾辞 名詞的 一般 * * *,203,26
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,200,26
声,声,声,名詞 普通名詞 一般 * * *,197,22
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,194,26
フリーセル,フリーセル,フリーセル,名詞 普通名詞 一般 * * *,182,17
どう,どう,どう,副詞 * * * * *,179,26
の,の,の,助詞 終助詞 * * * *,178,26
お前,お前,御前,代名詞 * * * * *,178,25
わ,わ,わ,助詞 終助詞 * * * *,178,25
オルペウス,オルペウス,オルフェウス,名詞 固有名詞 人名 一般 * *,176,17
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,173,25
アナ,アナ,アナ,名詞 普通名詞 一般 * * *,170,22
ブレイン,ブレイン,ブレーン,名詞 普通名詞 一般 * * *,168,25
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,165,26
その,その,其の,連体詞 * * * * *,160,26
から,から,から,助詞 格助詞 * * * *,158,26
キュービック,キュービック,キュービック,名詞 普通名詞 一般 * * *,157,22
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,155,26
よう,よう,様,形状詞 助動詞語幹 * * * *,155,26
なぜ,なぜ,何故,副詞 * * * * *,148,25
ジン,ジン,ジン,名詞 固有名詞 人名 名 * *,145,25
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,145,22
ば,ば,ば,助詞 接続助詞 * * * *,143,25
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,140,26
あ,あ,あっ,感動詞 一般 * * * *,138,25
エニグマ,エニグマ,エニグマ,名詞 普通名詞 一般 * * *,132,25
今,今,今,名詞 普通名詞 副詞可能 * * *,129,26
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,121,26
ここ,ここ,此処,代名詞 * * * * *,120,26
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,120,26
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,120,25
音,音,音,名詞 普通名詞 一般 * * *,120,23
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,118,22
