Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1029,20
て,て,て,助詞 接続助詞 * * * *,892,20
に,に,に,助詞 格助詞 * * * *,775,20
は,は,は,助詞 係助詞 * * * *,770,20
〜,〜,〜,補助記号 一般 * * * *,661,20
が,が,が,助詞 格助詞 * * * *,623,20
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,617,20
も,も,も,助詞 係助詞 * * * *,557,20
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,531,20
を,を,を,助詞 格助詞 * * * *,508,20
ラビ,ラビ,ラビ,名詞 普通名詞 一般 * * *,477,20
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,448,20
ち,ち,ちっ,副詞 * * * * *,423,19
よ,よ,よ,助詞 終助詞 * * * *,402,20
ね,ね,ね,助詞 終助詞 * * * *,400,20
で,で,で,助詞 格助詞 * * * *,397,20
ひなた,ひなた,日向,名詞 普通名詞 一般 * * *,381,19
と,と,と,助詞 格助詞 * * * *,364,20
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,354,20
って,って,って,助詞 副助詞 * * * *,346,20
ペエ,ペエ,ペエ,名詞 普通名詞 一般 * * *,332,20
ゆ,ゆ,ユ,記号 一般 * * * *,332,19
ん,ん,の,助詞 準体助詞 * * * *,324,20
お,お,御,接頭辞 * * * * *,304,20
の,の,の,助詞 準体助詞 * * * *,281,20
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,255,20
か,か,か,助詞 終助詞 * * * *,253,20
ラテ,ラテ,ラテ,名詞 普通名詞 一般 * * *,235,20
か,か,か,助詞 副助詞 * * * *,232,20
さん,さん,さん,接尾辞 名詞的 一般 * * *,231,20
こと,こと,こと,名詞 普通名詞 一般 * * *,211,20
の,の,の,助詞 終助詞 * * * *,208,20
プリキュア,プリキュア,プリキュア,名詞 固有名詞 一般 * * *,202,20
わたし,わたし,私,代名詞 * * * * *,192,20
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,191,20
そう,そう,そう,副詞 * * * * *,184,20
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,181,20
何,何,何,代名詞 * * * * *,178,20
うん,うん,うん,感動詞 一般 * * * *,176,20
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,165,20
どう,どう,どう,副詞 * * * * *,165,20
から,から,から,助詞 接続助詞 * * * *,162,20
あっ,あっ,あっ,感動詞 一般 * * * *,162,19
えっ,えっ,えっ,感動詞 一般 * * * *,158,20
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,154,20
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,154,19
エレメント,エレメント,エレメント,名詞 普通名詞 一般 * * *,153,20
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,150,20
キュン,キュン,きゅん,副詞 * * * * *,149,20
たち,たち,達,接尾辞 名詞的 一般 * * *,147,20
メガビョーゲン,メガビョーゲン,メガビョーゲン,名詞 普通名詞 一般 * * *,147,20
それ,それ,其れ,代名詞 * * * * *,145,20
･,・,・,補助記号 一般 * * * *,145,20
ニャトラン,ニャトラン,ニャトラン,名詞 普通名詞 一般 * * *,144,20
この,この,此の,連体詞 * * * * *,140,20
これ,これ,此れ,代名詞 * * * * *,140,20
さま,さま,様,接尾辞 名詞的 一般 * * *,138,20
のどか,のどか,長閑,形状詞 一般 * * * *,131,20
メガ,メガ,メガ,名詞 普通名詞 助数詞可能 * * *,131,18
から,から,から,助詞 格助詞 * * * *,125,20
ニャ,ニャ,ニャ,名詞 普通名詞 一般 * * *,117,20
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,114,20
な,な,な,助詞 終助詞 * * * *,113,20
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,111,20
もう,もう,もう,副詞 * * * * *,111,20
ラビリン,ラビリン,ラビリン,名詞 普通名詞 一般 * * *,111,16
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,109,20
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,108,20
わ,わ,わ,助詞 終助詞 * * * *,108,20
花,花,花,名詞 普通名詞 一般 * * *,107,20
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,107,19
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,104,20
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,102,20
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,101,20
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,101,20
なん,なん,何,代名詞 * * * * *,100,20
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,97,20
オレ,オレ,俺,代名詞 * * * * *,95,20
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,94,20
けど,けど,けれど,助詞 接続助詞 * * * *,89,20
人,人,人,接尾辞 名詞的 一般 * * *,88,18
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,86,20
キュア,キュア,キュア,名詞 普通名詞 一般 * * *,85,20
今,今,今,名詞 普通名詞 副詞可能 * * *,85,20
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,83,19
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,81,20
手当て,手当て,手当て,名詞 普通名詞 サ変可能 * * *,81,20
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,79,20
地球,地球,地球,名詞 普通名詞 一般 * * *,78,20
あ〜,あ〜,ああ,感動詞 一般 * * * *,77,20
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,74,20
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,73,20
し,し,し,助詞 接続助詞 * * * *,73,20
また,また,又,接続詞 * * * * *,73,20
ペギタン,ペギタン,ペギタン,名詞 普通名詞 一般 * * *,71,10
のどか,のどか,のどか,名詞 固有名詞 人名 名 * *,69,20
フォンテーヌ,フォンテーヌ,フォンテーヌ,名詞 固有名詞 人名 一般 * *,69,18
ー,ー,ー,補助記号 一般 * * * *,69,13
ば,ば,ば,助詞 接続助詞 * * * *,68,20
よかっ,よい,良い,形容詞 非自立可能 * * 形容詞 連用形-促音便,68,20
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,68,19
ワン,ワン,ワン,名詞 普通名詞 一般 * * *,67,16
その,その,其の,連体詞 * * * * *,65,20
ふわ,ふわ,ふわ,副詞 * * * * *,65,20
寺,寺,寺,名詞 普通名詞 一般 * * *,65,20
ここ,ここ,此処,代名詞 * * * * *,65,19
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,65,19
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,65,18
ヒーリング,ヒーリング,ヒーリング,名詞 普通名詞 一般 * * *,62,20
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,61,19
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,61,16
つ,つ,つ,接尾辞 名詞的 助数詞 * * *,59,20
どこ,どこ,どこ,代名詞 * * * * *,59,20
気,気,気,名詞 普通名詞 一般 * * *,59,18
二,二,2,名詞 数詞 * * * *,58,20
ごめん,ごめん,御免,名詞 普通名詞 一般 * * *,57,18
ちょっと,ちょっと,一寸,副詞 * * * * *,57,18
なく,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-一般,57,18
あたし,あたし,私,代名詞 * * * * *,56,15
なんて,なんて,なんて,助詞 副助詞 * * * *,55,19
だけ,だけ,だけ,助詞 副助詞 * * * *,55,17
もの,もの,物,名詞 普通名詞 サ変可能 * * *,54,18
はい,はい,はい,感動詞 一般 * * * *,54,17
お母さん,お母さん,お母さん,名詞 普通名詞 一般 * * *,53,7
一緒,一緒,一緒,名詞 普通名詞 サ変可能 * * *,52,20
どかっ,どかっ,どか,副詞 * * * * *,52,17
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,52,16
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,52,15
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,51,17
ビョーゲンズ,ビョーゲンズ,ビョーゲンズ,名詞 普通名詞 一般 * * *,51,17
行っ,行く,行く,動詞 非自立可能 * * 五段-カ行 連用形-促音便,51,15
自分,自分,自分,名詞 普通名詞 一般 * * *,51,14
時,時,時,名詞 普通名詞 副詞可能 * * *,50,17
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,50,14
スタート,スタート,スタート,名詞 普通名詞 サ変可能 * * *,48,20
よう,よう,様,形状詞 助動詞語幹 * * * *,48,18
光,光,光,名詞 普通名詞 一般 * * *,48,18
っす,っす,っす,助動詞 * * * 助動詞-デス 終止形-一般,48,5
で,で,で,助詞 接続助詞 * * * *,47,18
えぇ,えぇ,ええ,感動詞 一般 * * * *,47,17
あの,あの,彼の,連体詞 * * * * *,47,15
怪物,怪物,怪物,名詞 普通名詞 一般 * * *,47,12
