Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,88,1
烈子,烈子,烈子,名詞 固有名詞 人名 名 * *,55,1
音,音,音,名詞 普通名詞 一般 * * *,51,1
て,て,て,助詞 接続助詞 * * * *,50,1
に,に,に,助詞 格助詞 * * * *,46,1
は,は,は,助詞 係助詞 * * * *,43,1
を,を,を,助詞 格助詞 * * * *,40,1
が,が,が,助詞 格助詞 * * * *,38,1
よ,よ,よ,助詞 終助詞 * * * *,35,1
と,と,と,助詞 格助詞 * * * *,32,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,30,1
ん,ん,の,助詞 準体助詞 * * * *,30,1
あ,あ,あっ,感動詞 一般 * * * *,28,1
も,も,も,助詞 係助詞 * * * *,28,1
ハイ,ハイ,ハイ,名詞 普通名詞 形状詞可能 * * *,28,1
田,田,田,接尾辞 名詞的 一般 * * *,28,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,27,1
ハア,ハア,はあ,感動詞 一般 * * * *,24,1
か,か,か,助詞 終助詞 * * * *,23,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,23,1
ね,ね,ね,助詞 終助詞 * * * *,23,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,22,1
で,で,で,助詞 格助詞 * * * *,22,1
子,子,子,名詞 普通名詞 一般 * * *,20,1
って,って,って,助詞 副助詞 * * * *,19,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,18,1
私,私,私,代名詞 * * * * *,18,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,17,1
何,何,何,代名詞 * * * * *,17,1
鷲美,鷲美,鷲美,名詞 固有名詞 人名 姓 * *,16,1
〜,〜,〜,補助記号 一般 * * * *,15,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,15,1
フェネ,フェネ,フェネ,名詞 普通名詞 一般 * * *,15,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,14,1
クリスマス,クリスマス,クリスマス,名詞 普通名詞 一般 * * *,14,1
シャンシャン,シャンシャン,しゃんしゃん,副詞 * * * * *,14,1
か,か,か,助詞 副助詞 * * * *,13,1
の,の,の,助詞 終助詞 * * * *,13,1
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,11,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,11,1
の,の,の,助詞 準体助詞 * * * *,11,1
携帯電話,携帯電話,携帯電話,名詞 普通名詞 一般 * * *,11,1
操作,操作,操作,名詞 普通名詞 サ変可能 * * *,11,1
鈴,鈴,鈴,名詞 普通名詞 一般 * * *,11,1
えっ,えっ,えっ,感動詞 一般 * * * *,10,1
から,から,から,助詞 格助詞 * * * *,9,1
から,から,から,助詞 接続助詞 * * * *,9,1
な,な,な,助詞 終助詞 * * * *,9,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,9,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,9,1
撮り,撮る,取る,動詞 一般 * * 五段-ラ行 連用形-一般,9,1
自,自,自,名詞 普通名詞 一般 * * *,9,1
角田,角田,角田,名詞 固有名詞 人名 姓 * *,9,1
ああ,ああ,ああ,感動詞 一般 * * * *,8,1
お,お,御,接頭辞 * * * * *,8,1
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,8,1
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,8,1
どう,どう,どう,副詞 * * * * *,8,1
わ,わ,わ,助詞 終助詞 * * * *,8,1
ん,ん,ん,助詞 格助詞 * * * *,8,1
クリスマスイブ,クリスマスイブ,クリスマスイブ,名詞 普通名詞 一般 * * *,8,1
ゴリ,ゴリ,ゴリ,名詞 固有名詞 人名 一般 * *,8,1
写真,写真,写真,名詞 普通名詞 一般 * * *,8,1
