Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,738,12
に,に,に,助詞 格助詞 * * * *,583,12
て,て,て,助詞 接続助詞 * * * *,541,12
は,は,は,助詞 係助詞 * * * *,517,12
も,も,も,助詞 係助詞 * * * *,387,12
が,が,が,助詞 格助詞 * * * *,356,12
を,を,を,助詞 格助詞 * * * *,346,12
・,・,・,補助記号 一般 * * * *,321,12
で,で,で,助詞 格助詞 * * * *,318,12
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,314,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,275,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,260,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,259,12
舞台,舞台,舞台,名詞 普通名詞 一般 * * *,252,12
私,私,私,代名詞 * * * * *,245,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,232,12
と,と,と,助詞 格助詞 * * * *,209,12
よ,よ,よ,助詞 終助詞 * * * *,209,12
華恋,華恋,華恋,名詞 固有名詞 人名 名 * *,200,12
ひかり,ひかり,光,名詞 普通名詞 一般 * * *,186,12
〜,〜,〜,補助記号 一般 * * * *,171,12
の,の,の,助詞 準体助詞 * * * *,162,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,151,12
ね,ね,ね,助詞 終助詞 * * * *,145,12
あっ,あっ,あっ,感動詞 一般 * * * *,129,12
何,何,何,代名詞 * * * * *,124,12
から,から,から,助詞 接続助詞 * * * *,119,12
って,って,って,助詞 副助詞 * * * *,118,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,116,12
ん,ん,の,助詞 準体助詞 * * * *,114,12
の,の,の,助詞 終助詞 * * * *,113,12
なな,なな,なな,名詞 固有名詞 人名 名 * *,110,11
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,107,12
あの,あの,彼の,連体詞 * * * * *,99,12
星,星,星,名詞 普通名詞 一般 * * *,98,11
うん,うん,うん,感動詞 一般 * * * *,97,12
か,か,か,助詞 終助詞 * * * *,92,12
あなた,あなた,貴方,代名詞 * * * * *,88,12
こと,こと,こと,名詞 普通名詞 一般 * * *,87,12
香子,香子,香子,名詞 固有名詞 人名 名 * *,83,11
お,お,御,接頭辞 * * * * *,82,12
双葉,双葉,双葉,名詞 普通名詞 一般 * * *,82,11
えっ,えっ,えっ,感動詞 一般 * * * *,81,12
か,か,か,助詞 副助詞 * * * *,78,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,77,12
私達,私達,私達,名詞 普通名詞 一般 * * *,77,12
それ,それ,其れ,代名詞 * * * * *,75,12
スタァライト,スタァライト,スタァライト,名詞 普通名詞 一般 * * *,75,11
さん,さん,さん,接尾辞 名詞的 一般 * * *,72,10
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,70,12
純那,純那,純那,名詞 固有名詞 人名 名 * *,70,11
から,から,から,助詞 格助詞 * * * *,69,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,68,12
キリン,キリン,キリン,名詞 普通名詞 一般 * * *,68,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,65,12
な,な,な,助詞 終助詞 * * * *,60,12
そう,そう,そう,副詞 * * * * *,59,12
もう,もう,もう,副詞 * * * * *,59,12
少女,少女,少女,名詞 普通名詞 一般 * * *,58,11
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,56,12
オーディション,オーディション,オーディション,名詞 普通名詞 一般 * * *,56,12
この,この,此の,連体詞 * * * * *,55,12
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,54,12
二人,二人,二人,名詞 普通名詞 副詞可能 * * *,53,7
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,51,12
運命,運命,運命,名詞 普通名詞 一般 * * *,51,11
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,50,12
どう,どう,どう,副詞 * * * * *,50,12
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,49,12
まひる,まひる,真昼,名詞 普通名詞 一般 * * *,49,11
これ,これ,此れ,代名詞 * * * * *,48,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,47,12
真矢,真矢,真矢,名詞 固有名詞 人名 名 * *,47,11
けど,けど,けれど,助詞 接続助詞 * * * *,46,12
まで,まで,まで,助詞 副助詞 * * * *,46,12
一緒,一緒,一緒,名詞 普通名詞 サ変可能 * * *,46,12
ため,ため,為,名詞 普通名詞 副詞可能 * * *,44,11
約束,約束,約束,名詞 普通名詞 サ変可能 * * *,44,10
達,達,達,接尾辞 名詞的 一般 * * *,43,11
わ,わ,わ,助詞 終助詞 * * * *,42,10
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,41,12
はん,はん,さん,接尾辞 名詞的 一般 * * *,41,8
愛,愛,愛,名詞 普通名詞 一般 * * *,40,10
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,39,11
もの,もの,物,名詞 普通名詞 サ変可能 * * *,37,11
だけ,だけ,だけ,助詞 副助詞 * * * *,36,11
ずっと,ずっと,ずっと,副詞 * * * * *,36,9
はあ,はあ,はあ,感動詞 一般 * * * *,36,9
スタァ,スタァ,スタァ,名詞 普通名詞 一般 * * *,36,9
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,35,11
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,35,9
ば,ば,ば,助詞 接続助詞 * * * *,34,12
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,34,11
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,34,9
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,33,12
ああ,ああ,ああ,感動詞 一般 * * * *,33,11
その,その,其の,連体詞 * * * * *,33,11
翔,翔,翔,名詞 固有名詞 人名 名 * *,33,10
聖,聖,聖,接頭辞 * * * * *,33,10
トップスタァ,トップスタァ,トップスタァ,名詞 普通名詞 一般 * * *,33,9
クレール,クレール,クレール,名詞 固有名詞 人名 一般 * *,33,6
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,31,11
クロディーヌ,クロディーヌ,クローディーヌ,名詞 固有名詞 人名 一般 * *,31,10
城,城,城,接尾辞 名詞的 一般 * * *,31,10
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,31,8
もっと,もっと,もっと,副詞 * * * * *,31,7
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,30,11
で,で,で,助詞 接続助詞 * * * *,30,11
ここ,ここ,此処,代名詞 * * * * *,29,12
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,29,12
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,29,11
なく,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-一般,29,11
期生,期生,期生,接尾辞 名詞的 助数詞 * * *,29,11
誰,誰,誰,代名詞 * * * * *,29,11
なんて,なんて,なんて,助詞 副助詞 * * * *,29,10
同じ,同じ,同じ,連体詞 * * * * *,29,10
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,29,9
はい,はい,はい,感動詞 一般 * * * *,29,9
待っ,待つ,待つ,動詞 一般 * * 五段-タ行 連用形-促音便,29,8
うち,うち,内,名詞 普通名詞 副詞可能 * * *,29,6
ばなな,ばなな,バナナ,名詞 普通名詞 一般 * * *,28,9
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,28,9
きらめき,きらめき,煌めき,名詞 普通名詞 一般 * * *,28,6
再演,再演,再演,名詞 普通名詞 サ変可能 * * *,28,6
そんな,そんな,そんな,連体詞 * * * * *,27,11
レヴュー,レヴュー,レビュー,名詞 普通名詞 サ変可能 * * *,26,10
永遠,永遠,永遠,名詞 普通名詞 一般 * * *,26,8
ハア,ハア,はあ,感動詞 一般 * * * *,26,4
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,25,11
ダメ,ダメ,駄目,名詞 普通名詞 形状詞可能 * * *,25,11
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,25,10
分かり,分かる,分かる,動詞 一般 * * 五段-ラ行 連用形-一般,25,10
手,手,手,名詞 普通名詞 助数詞可能 * * *,25,10
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,25,9
麗,麗,麗,名詞 固有名詞 人名 名 * *,25,8
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,24,11
年,年,年,名詞 普通名詞 助数詞可能 * * *,24,8
し,し,し,助詞 接続助詞 * * * *,24,7
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,23,11
ちょっと,ちょっと,一寸,副詞 * * * * *,23,10
ちゃ,ちゃ,て,助詞 接続助詞 * * * *,23,9
一度,一度,一度,名詞 普通名詞 副詞可能 * * *,23,8
小さな,小さな,小さな,連体詞 * * * * *,23,6
キラ,キラ,キラ,名詞 固有名詞 人名 一般 * *,23,3
よう,よう,様,形状詞 助動詞語幹 * * * *,22,9
天堂,天堂,天堂,名詞 普通名詞 一般 * * *,22,8
一,一,1,名詞 数詞 * * * *,22,7
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,21,10
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,21,9
うっ,うっ,うう,感動詞 一般 * * * *,21,8
や,や,や,助動詞 * * * 助動詞-ヤ 終止形-一般,21,8
次,次,次,名詞 普通名詞 一般 * * *,21,8
･,・,・,補助記号 一般 * * * *,21,7
一人,一人,一人,名詞 普通名詞 副詞可能 * * *,21,6
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,20,10
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,20,9
なり,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,20,9
