Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,2288,25
は,は,は,助詞 係助詞 * * * *,2028,25
に,に,に,助詞 格助詞 * * * *,1600,25
て,て,て,助詞 接続助詞 * * * *,1470,25
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1459,25
が,が,が,助詞 格助詞 * * * *,1171,25
を,を,を,助詞 格助詞 * * * *,1163,25
カイ,カイ,カイ,名詞 固有名詞 人名 一般 * *,1143,25
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,854,25
も,も,も,助詞 係助詞 * * * *,827,25
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,733,25
で,で,で,助詞 格助詞 * * * *,713,25
よ,よ,よ,助詞 終助詞 * * * *,711,25
ん,ん,の,助詞 準体助詞 * * * *,690,25
と,と,と,助詞 格助詞 * * * *,659,25
ピアノ,ピアノ,ピアノ,名詞 普通名詞 一般 * * *,624,25
修平,修平,修平,名詞 固有名詞 人名 名 * *,597,25
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,574,25
の,の,の,助詞 準体助詞 * * * *,475,25
阿字野,阿字野,阿字野,名詞 固有名詞 人名 姓 * *,474,24
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,469,25
か,か,か,助詞 終助詞 * * * *,455,25
こと,こと,こと,名詞 普通名詞 一般 * * *,390,25
僕,僕,僕,代名詞 * * * * *,353,25
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,341,25
俺,俺,俺,代名詞 * * * * *,336,24
ね,ね,ね,助詞 終助詞 * * * *,311,25
から,から,から,助詞 接続助詞 * * * *,296,25
･,・,・,補助記号 一般 * * * *,295,25
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,292,25
君,君,君,接尾辞 名詞的 一般 * * *,278,24
ああ,ああ,ああ,感動詞 一般 * * * *,267,25
〜,〜,〜,補助記号 一般 * * * *,262,25
な,な,な,助詞 終助詞 * * * *,258,25
って,って,って,助詞 副助詞 * * * *,245,25
あ,あ,あっ,感動詞 一般 * * * *,244,25
この,この,此の,連体詞 * * * * *,239,25
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,237,25
から,から,から,助詞 格助詞 * * * *,223,25
か,か,か,助詞 副助詞 * * * *,219,25
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,219,23
これ,これ,此れ,代名詞 * * * * *,216,25
そう,そう,そう,副詞 * * * * *,216,25
それ,それ,其れ,代名詞 * * * * *,216,25
何,何,何,代名詞 * * * * *,216,25
音,音,音,名詞 普通名詞 一般 * * *,203,25
先生,先生,先生,名詞 普通名詞 一般 * * *,195,24
雨宮,雨宮,雨宮,名詞 固有名詞 人名 姓 * *,192,22
私,私,私,代名詞 * * * * *,189,23
パン,パン,パン,名詞 普通名詞 一般 * * *,180,14
ん,ん,ん,助詞 格助詞 * * * *,177,24
どう,どう,どう,副詞 * * * * *,173,25
番,番,番,名詞 普通名詞 助数詞可能 * * *,168,20
洋一郎,洋一郎,洋一郎,名詞 固有名詞 人名 名 * *,163,19
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,162,25
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,161,25
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,160,25
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,160,24
お前,お前,御前,代名詞 * * * * *,155,21
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,152,25
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,151,25
だけ,だけ,だけ,助詞 副助詞 * * * *,144,25
誉子,誉子,誉子,名詞 固有名詞 人名 名 * *,143,8
森,森,森,名詞 普通名詞 一般 * * *,142,21
一ノ瀬,一ノ瀬,一ノ瀬,名詞 固有名詞 人名 姓 * *,138,22
君,君,君,代名詞 * * * * *,135,21
うん,うん,うん,感動詞 一般 * * * *,133,24
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,132,20
コンクール,コンクール,コンクール,名詞 普通名詞 一般 * * *,130,24
ショパン,ショパン,ショパン,名詞 固有名詞 人名 一般 * *,129,21
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,128,25
レフ,レフ,レフ,名詞 普通名詞 一般 * * *,126,11
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,125,25
まで,まで,まで,助詞 副助詞 * * * *,125,25
もう,もう,もう,副詞 * * * * *,125,25
の,の,の,助詞 終助詞 * * * *,123,25
あの,あの,彼の,連体詞 * * * * *,122,25
ば,ば,ば,助詞 接続助詞 * * * *,119,24
その,その,其の,連体詞 * * * * *,118,25
今,今,今,名詞 普通名詞 副詞可能 * * *,118,24
が,が,が,助詞 接続助詞 * * * *,115,25
第,第,第,接頭辞 * * * * *,115,21
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,113,25
けど,けど,けれど,助詞 接続助詞 * * * *,113,24
なんて,なんて,なんて,助詞 副助詞 * * * *,111,24
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,111,22
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,109,24
さん,さん,さん,接尾辞 名詞的 一般 * * *,106,24
よう,よう,様,形状詞 助動詞語幹 * * * *,105,25
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,102,18
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,101,24
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,99,22
拍手,拍手,拍手,名詞 普通名詞 サ変可能 * * *,96,22
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,95,24
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,93,25
そんな,そんな,そんな,連体詞 * * * * *,93,24
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,93,23
ここ,ここ,此処,代名詞 * * * * *,92,24
え,え,えっ,感動詞 一般 * * * *,92,22
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,91,23
弾い,弾く,弾く,動詞 一般 * * 五段-カ行 連用形-イ音便,90,23
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,89,25
怜子,怜子,怜子,名詞 固有名詞 人名 名 * *,89,12
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,87,24
ええ,ええ,ええ,感動詞 一般 * * * *,87,23
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,87,21
光生,光生,光生,名詞 固有名詞 人名 名 * *,87,6
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,86,23
わ,わ,わ,助詞 終助詞 * * * *,85,23
たち,たち,達,接尾辞 名詞的 一般 * * *,85,20
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,85,14
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,83,25
お,お,御,接頭辞 * * * * *,83,21
ん,ん,んっ,感動詞 一般 * * * *,82,23
自分,自分,自分,名詞 普通名詞 一般 * * *,82,23
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,80,24
ウェイ,ウェイ,ウエー,名詞 普通名詞 一般 * * *,80,13
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,79,24
ヤツ,ヤツ,奴,名詞 普通名詞 一般 * * *,79,23
佐賀,佐賀,佐賀,名詞 固有名詞 地名 一般 * *,79,16
あっ,あっ,あっ,感動詞 一般 * * * *,78,21
アダムスキ,アダムスキ,アダムスキ,名詞 普通名詞 一般 * * *,78,8
なかっ,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-促音便,76,25
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,76,25
ため,ため,為,名詞 普通名詞 副詞可能 * * *,76,22
で,で,で,助詞 接続助詞 * * * *,76,21
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,74,25
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,74,23
曲,曲,曲,名詞 普通名詞 一般 * * *,74,22
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,74,19
手,手,手,名詞 普通名詞 助数詞可能 * * *,73,23
こんな,こんな,こんな,連体詞 * * * * *,71,25
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,71,23
前,前,前,名詞 普通名詞 副詞可能 * * *,71,22
演奏,演奏,演奏,名詞 普通名詞 サ変可能 * * *,71,20
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,70,22
もの,もの,物,名詞 普通名詞 サ変可能 * * *,69,22
なく,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-一般,67,22
時,時,時,名詞 普通名詞 副詞可能 * * *,66,21
セロー,セロー,セロー,名詞 普通名詞 一般 * * *,66,13
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,63,22
どこ,どこ,どこ,代名詞 * * * * *,63,22
気,気,気,名詞 普通名詞 一般 * * *,63,22
壮介,壮介,壮介,名詞 固有名詞 人名 名 * *,63,17
審査員,審査員,審査員,名詞 普通名詞 一般 * * *,63,17
え,え,え,助詞 終助詞 * * * *,62,19
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,61,22
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,61,22
ポーランド,ポーランド,ポーランド,名詞 固有名詞 地名 国 * *,61,15
ん,む,む,助動詞 * * * 文語助動詞-ム 終止形-撥音便,61,12
エミリア,エミリア,エミリア,名詞 固有名詞 地名 一般 * *,61,6
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,60,18
誰,誰,誰,代名詞 * * * * *,59,22
と,と,と,助詞 接続助詞 * * * *,58,22
ん,ん,の,助詞 終助詞 * * * *,58,12
よかっ,よい,良い,形容詞 非自立可能 * * 形容詞 連用形-促音便,57,24
ホント,ホント,本当,名詞 普通名詞 一般 * * *,57,22
たい,たい,たい,助動詞 * * * 助動詞-タイ 終止形-一般,57,21
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,57,19
ワルツ,ワルツ,ワルツ,名詞 普通名詞 一般 * * *,56,7
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,55,22
し,し,し,助詞 接続助詞 * * * *,55,22
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,55,22
歓声,歓声,歓声,名詞 普通名詞 一般 * * *,55,19
女性,女性,女性,名詞 普通名詞 一般 * * *,55,12
はっ,はっ,はっ,感動詞 一般 * * * *,54,20
分かっ,分かる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,54,18
あなた,あなた,貴方,代名詞 * * * * *,54,16
より,より,より,助詞 格助詞 * * * *,53,24
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,53,23
はあ,はあ,はあ,感動詞 一般 * * * *,53,17
なん,なん,何,代名詞 * * * * *,53,16
きっと,きっと,きっと,副詞 * * * * *,52,22
小犬,小犬,子犬,名詞 普通名詞 一般 * * *,52,6
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,51,21
ウソ,ウソ,うそ,名詞 普通名詞 一般 * * *,51,20
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,51,19
海,海,海,名詞 普通名詞 一般 * * *,51,16
レイ,レイ,レイ,名詞 固有名詞 一般 * * *,51,9
楽章,楽章,楽章,名詞 普通名詞 一般 * * *,51,8
わけ,わけ,訳,名詞 普通名詞 一般 * * *,50,21
彼,彼,彼,代名詞 * * * * *,50,21
優勝,優勝,優勝,名詞 普通名詞 サ変可能 * * *,50,19
次,次,次,名詞 普通名詞 一般 * * *,50,19
たい,たい,たい,助動詞 * * * 助動詞-タイ 連体形-一般,49,20
聴い,聴く,聞く,動詞 一般 * * 五段-カ行 連用形-イ音便,49,20
弾く,弾く,弾く,動詞 一般 * * 五段-カ行 連体形-一般,49,19
なく,ない,無い,形容詞 非自立可能 * * 形容詞 連用形-一般,48,21
予選,予選,予選,名詞 普通名詞 一般 * * *,48,15
本当,本当,本当,名詞 普通名詞 一般 * * *,47,21
いや,いや,否,感動詞 一般 * * * *,47,20
ちょっと,ちょっと,一寸,副詞 * * * * *,47,19
中,中,中,名詞 普通名詞 副詞可能 * * *,47,18
ピアニスト,ピアニスト,ピアニスト,名詞 普通名詞 一般 * * *,46,21
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,46,18
じゃあ,じゃあ,で,接続詞 * * * * *,46,18
カイ,カイ,カイ,名詞 普通名詞 一般 * * *,46,14
ピオトル,ピオトル,ピオトル,名詞 普通名詞 一般 * * *,46,10
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,45,20
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,45,20
まだ,まだ,未だ,副詞 * * * * *,45,20
一番,一番,一番,副詞 * * * * *,45,18
ソナタ,ソナタ,ソナタ,名詞 普通名詞 一般 * * *,45,7
人,人,人,名詞 普通名詞 一般 * * *,44,19
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,44,17
世界,世界,世界,名詞 普通名詞 一般 * * *,44,17
ずっと,ずっと,ずっと,副詞 * * * * *,43,15
記者,記者,記者,名詞 普通名詞 一般 * * *,43,6
父さん,父さん,父さん,名詞 普通名詞 一般 * * *,42,13
心,心,心,名詞 普通名詞 サ変可能 * * *,41,18
しか,しか,しか,助詞 副助詞 * * * *,41,17
日本,日本,日本,名詞 固有名詞 地名 国 * *,41,17
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,41,16
すごい,すごい,凄い,形容詞 一般 * * 形容詞 終止形-一般,41,14
作品,作品,作品,名詞 普通名詞 一般 * * *,41,14
次,次,次,接尾辞 名詞的 助数詞 * * *,41,11
ヤシンスキ,ヤシンスキ,ヤシンスキ,名詞 普通名詞 一般 * * *,41,8
ほど,ほど,ほど,助詞 副助詞 * * * *,40,16
会場,会場,会場,名詞 普通名詞 一般 * * *,40,16
年,年,年,名詞 普通名詞 助数詞可能 * * *,40,16
出,出る,出る,動詞 一般 * * 下一段-ダ行 連用形-一般,40,15
イチノセ,イチノセ,イチノセ,名詞 普通名詞 一般 * * *,40,14
観客,観客,観客,名詞 普通名詞 一般 * * *,40,11
クリスティナ,クリスティナ,クリスティーナ,名詞 固有名詞 人名 一般 * *,40,10
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,39,21
全て,全て,全て,名詞 普通名詞 副詞可能 * * *,39,18
初めて,初めて,初めて,副詞 * * * * *,39,18
ごめん,ごめん,御免,名詞 普通名詞 一般 * * *,39,16
へ,へ,へ,助詞 格助詞 * * * *,39,16
えっ,えっ,えっ,感動詞 一般 * * * *,39,12
ねえ,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,39,8
司馬,司馬,司馬,名詞 普通名詞 一般 * * *,39,3
教え,教える,教える,動詞 一般 * * 下一段-ア行 連用形-一般,38,15
奈美恵,奈美恵,奈美恵,名詞 固有名詞 人名 名 * *,38,13
られ,られる,られる,助動詞 * * * 助動詞-レル 未然形-一般,37,20
もっと,もっと,もっと,副詞 * * * * *,37,15
パヴラス,パヴラス,パヴラス,名詞 普通名詞 一般 * * *,37,9
モーツァルト,モーツァルト,モーツァルト,名詞 固有名詞 人名 一般 * *,36,5
まさか,まさか,まさか,副詞 * * * * *,35,18
弾き,弾く,弾く,動詞 一般 * * 五段-カ行 連用形-一般,35,13
つ,つ,つ,接尾辞 名詞的 助数詞 * * *,34,20
ほう,ほう,方,名詞 普通名詞 一般 * * *,34,19
お,お,おっ,感動詞 一般 * * * *,34,18
はず,はず,筈,名詞 普通名詞 一般 * * *,34,18
もし,もし,若し,副詞 * * * * *,34,16
話,話,話,名詞 普通名詞 サ変可能 * * *,34,16
ら,ら,等,接尾辞 名詞的 一般 * * *,34,14
あれ,あれ,彼れ,代名詞 * * * * *,34,13
ファイナル,ファイナル,ファイナル,名詞 普通名詞 一般 * * *,34,7
しれ,しれる,知る,動詞 一般 * * 下一段-ラ行 未然形-一般,33,17
ほら,ほら,ほら,感動詞 一般 * * * *,33,16
なんか,なんか,なんか,助詞 副助詞 * * * *,33,14
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,33,13
アナウンス,アナウンス,アナウンス,名詞 普通名詞 サ変可能 * * *,33,6
でし,です,です,助動詞 * * * 助動詞-デス 連用形-一般,32,16
でき,できる,出来る,動詞 非自立可能 * * 上一段-カ行 未然形-一般,32,14
はい,はい,はい,感動詞 一般 * * * *,32,14
時間,時間,時間,名詞 普通名詞 助数詞可能 * * *,32,14
キンピラ,キンピラ,金平,名詞 普通名詞 一般 * * *,32,4
たく,たい,たい,助動詞 * * * 助動詞-タイ 連用形-一般,31,18
さ,さ,さ,助詞 終助詞 * * * *,31,14
ウェンディ,ウェンディ,ウェンディ,名詞 固有名詞 人名 一般 * *,31,3
ところ,ところ,所,名詞 普通名詞 副詞可能 * * *,30,18
少し,少し,少し,副詞 * * * * *,30,17
あ,あ,あー,感動詞 フィラー * * * *,30,10
ソフィ,ソフィ,ソフィー,名詞 固有名詞 人名 一般 * *,30,6
勝負,勝負,勝負,名詞 普通名詞 サ変可能 * * *,29,12
我々,我々,我々,代名詞 * * * * *,29,10
楽譜,楽譜,楽譜,名詞 普通名詞 一般 * * *,29,9
白石,白石,白石,名詞 固有名詞 人名 姓 * *,29,5
弾く,弾く,弾く,動詞 一般 * * 五段-カ行 終止形-一般,28,16
やる,やる,遣る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,28,15
そして,そして,そして,接続詞 * * * * *,28,13
考え,考える,考える,動詞 一般 * * 下一段-ア行 連用形-一般,28,13
審査,審査,審査,名詞 普通名詞 サ変可能 * * *,28,11
弾け,弾ける,弾く,動詞 一般 * * 下一段-カ行 連用形-一般,28,11
しよう,する,為る,動詞 非自立可能 * * サ行変格 意志推量形,27,17
言わ,言う,言う,動詞 一般 * * 五段-ワア行 未然形-一般,27,15
こいつ,こいつ,此奴,代名詞 * * * * *,27,12
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,27,11
人,人,人,接尾辞 名詞的 一般 * * *,27,11
鍵盤,鍵盤,鍵盤,名詞 普通名詞 一般 * * *,27,6
知っ,知る,知る,動詞 一般 * * 五段-ラ行 連用形-促音便,26,19
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,26,16
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 命令形,26,14
でしょう,です,です,助動詞 * * * 助動詞-デス 意志推量形,26,13
ダメ,ダメ,駄目,名詞 普通名詞 形状詞可能 * * *,26,13
ドア,ドア,ドア,名詞 普通名詞 一般 * * *,26,13
知ら,知る,知る,動詞 一般 * * 五段-ラ行 未然形-一般,26,13
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,26,9
名,名,名,名詞 普通名詞 助数詞可能 * * *,26,9
シマノフスキ,シマノフスキ,シマノフスキ,名詞 普通名詞 一般 * * *,26,8
しゅう,しゅう,周,名詞 普通名詞 助数詞可能 * * *,25,25
へい,へい,塀,名詞 普通名詞 一般 * * *,25,25
や,や,や,助動詞 * * * 助動詞-ヤ 終止形-一般,25,22
こう,こう,こう,副詞 * * * * *,25,18
もらっ,もらう,貰う,動詞 非自立可能 * * 五段-ワア行 連用形-促音便,25,18
最初,最初,最初,名詞 普通名詞 副詞可能 * * *,25,18
だ,だ,た,助動詞 * * * 助動詞-タ 連体形-一般,25,16
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,25,16
一度,一度,一度,名詞 普通名詞 副詞可能 * * *,25,14
一緒,一緒,一緒,名詞 普通名詞 サ変可能 * * *,25,14
あと,あと,後,名詞 普通名詞 副詞可能 * * *,25,13
うう,うう,うう,感動詞 一般 * * * *,25,13
なけれ,ない,ない,助動詞 * * * 助動詞-ナイ 仮定形-一般,25,13
思う,思う,思う,動詞 一般 * * 五段-ワア行 終止形-一般,25,13
待っ,待つ,待つ,動詞 一般 * * 五段-タ行 連用形-促音便,25,12
ちゃんと,ちゃんと,ちゃんと,副詞 * * * * *,25,11
ざわめき,ざわめき,騒めき,名詞 普通名詞 一般 * * *,25,10
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,25,10
端,端,端,名詞 普通名詞 一般 * * *,25,9
発表,発表,発表,名詞 普通名詞 サ変可能 * * *,25,8
あじ,あじ,あじ,名詞 普通名詞 一般 * * *,24,24
はは,はは,はは,感動詞 一般 * * * *,24,16
