Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1581,25
は,は,は,助詞 係助詞 * * * *,1534,25
て,て,て,助詞 接続助詞 * * * *,1444,25
に,に,に,助詞 格助詞 * * * *,1430,25
を,を,を,助詞 格助詞 * * * *,1182,25
が,が,が,助詞 格助詞 * * * *,877,25
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,837,25
も,も,も,助詞 係助詞 * * * *,826,25
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,670,25
よ,よ,よ,助詞 終助詞 * * * *,612,25
と,と,と,助詞 格助詞 * * * *,603,25
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,597,25
の,の,の,助詞 準体助詞 * * * *,572,25
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,559,25
で,で,で,助詞 格助詞 * * * *,516,25
か,か,か,助詞 終助詞 * * * *,400,25
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,396,25
様,様,様,接尾辞 名詞的 一般 * * *,364,25
アンジュ,アンジュ,アンジュ,名詞 普通名詞 一般 * * *,352,25
私,私,私,代名詞 * * * * *,338,25
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,337,25
ん,ん,の,助詞 準体助詞 * * * *,329,25
ね,ね,ね,助詞 終助詞 * * * *,322,25
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,319,25
あ,あ,あっ,感動詞 一般 * * * *,317,25
何,何,何,代名詞 * * * * *,297,25
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,272,25
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,254,25
わ,わ,わ,助詞 終助詞 * * * *,254,25
お,お,御,接頭辞 * * * * *,242,25
あっ,あっ,あっ,感動詞 一般 * * * *,241,25
この,この,此の,連体詞 * * * * *,234,25
うっ,うっ,うう,感動詞 一般 * * * *,228,25
から,から,から,助詞 接続助詞 * * * *,223,25
って,って,って,助詞 副助詞 * * * *,222,25
の,の,の,助詞 終助詞 * * * *,214,25
世界,世界,世界,名詞 普通名詞 一般 * * *,213,25
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,211,25
あなた,あなた,貴方,代名詞 * * * * *,207,25
