Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,3258,50
は,は,は,助詞 係助詞 * * * *,2683,50
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,2431,50
て,て,て,助詞 接続助詞 * * * *,2320,50
に,に,に,助詞 格助詞 * * * *,2272,50
が,が,が,助詞 格助詞 * * * *,1837,50
で,で,で,助詞 格助詞 * * * *,1557,50
を,を,を,助詞 格助詞 * * * *,1553,50
よ,よ,よ,助詞 終助詞 * * * *,1409,50
〜,〜,〜,補助記号 一般 * * * *,1361,50
も,も,も,助詞 係助詞 * * * *,1350,50
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1309,50
ん,ん,の,助詞 準体助詞 * * * *,1308,50
と,と,と,助詞 格助詞 * * * *,1225,50
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1082,50
ダンス,ダンス,ダンス,名詞 普通名詞 サ変可能 * * *,994,50
か,か,か,助詞 終助詞 * * * *,931,50
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,929,50
ね,ね,ね,助詞 終助詞 * * * *,887,50
・,・,・,補助記号 一般 * * * *,867,50
の,の,の,助詞 準体助詞 * * * *,810,50
って,って,って,助詞 副助詞 * * * *,809,50
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,794,50
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,700,50
たち,たち,達,接尾辞 名詞的 一般 * * *,693,50
ハネル,ハネル,ハネル,名詞 普通名詞 一般 * * *,687,50
オレ,オレ,俺,代名詞 * * * * *,684,50
クモ,クモ,蜘蛛,名詞 普通名詞 一般 * * *,614,49
な,な,な,助詞 終助詞 * * * *,582,50
あっ,あっ,あっ,感動詞 一般 * * * *,573,50
カノン,カノン,カノン,名詞 普通名詞 一般 * * *,565,50
さん,さん,さん,接尾辞 名詞的 一般 * * *,563,50
こと,こと,こと,名詞 普通名詞 一般 * * *,551,50
か,か,か,助詞 副助詞 * * * *,529,50
それ,それ,其れ,代名詞 * * * * *,473,49
ミズキ,ミズキ,ミズキ,名詞 固有名詞 人名 名 * *,462,49
うん,うん,うん,感動詞 一般 * * * *,438,50
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,432,50
ユヅル,ユヅル,ユヅル,名詞 普通名詞 一般 * * *,423,49
何,何,何,代名詞 * * * * *,414,48
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,409,50
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,395,50
から,から,から,助詞 接続助詞 * * * *,390,50
お,お,御,接頭辞 * * * * *,385,50
そう,そう,そう,副詞 * * * * *,385,50
どう,どう,どう,副詞 * * * * *,383,50
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,378,50
えっ,えっ,えっ,感動詞 一般 * * * *,374,49
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,373,50
から,から,から,助詞 格助詞 * * * *,366,50
の,の,の,助詞 終助詞 * * * *,349,50
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,344,50
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,327,49
これ,これ,此れ,代名詞 * * * * *,325,50
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,321,50
チーム,チーム,チーム,名詞 普通名詞 一般 * * *,316,48
この,この,此の,連体詞 * * * * *,303,50
ジェイ,ジェイ,ジェイ,名詞 普通名詞 一般 * * *,293,36
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,284,50
