Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,893,11
て,て,て,助詞 接続助詞 * * * *,742,11
の,の,の,助詞 格助詞 * * * *,739,11
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,726,11
に,に,に,助詞 格助詞 * * * *,686,11
を,を,を,助詞 格助詞 * * * *,548,11
が,が,が,助詞 格助詞 * * * *,525,11
々,々,々,補助記号 一般 * * * *,434,11
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,400,11
か,か,か,助詞 終助詞 * * * *,389,11
で,で,で,助詞 格助詞 * * * *,384,11
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,340,11
よ,よ,よ,助詞 終助詞 * * * *,336,11
と,と,と,助詞 格助詞 * * * *,331,11
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,310,11
も,も,も,助詞 係助詞 * * * *,301,11
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,275,11
ん,ん,の,助詞 準体助詞 * * * *,267,11
の,の,の,助詞 準体助詞 * * * *,265,11
何,何,何,代名詞 * * * * *,265,11
な,な,な,助詞 終助詞 * * * *,241,11
七,七,7,名詞 数詞 * * * *,229,11
こと,こと,こと,名詞 普通名詞 一般 * * *,186,11
重,重,重,名詞 普通名詞 助数詞可能 * * *,178,11
天災,天災,天災,名詞 普通名詞 一般 * * *,176,11
ね,ね,ね,助詞 終助詞 * * * *,175,11
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,171,11
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,171,11
それ,それ,其れ,代名詞 * * * * *,169,11
から,から,から,助詞 接続助詞 * * * *,168,11
俺,俺,俺,代名詞 * * * * *,159,11
って,って,って,助詞 副助詞 * * * *,157,11
私,私,私,代名詞 * * * * *,140,11
あっ,あっ,あっ,感動詞 一般 * * * *,126,11
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,126,11
この,この,此の,連体詞 * * * * *,124,11
そう,そう,そう,副詞 * * * * *,123,11
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,123,11
〜,〜,〜,補助記号 一般 * * * *,120,11
戦場,戦場,戦場,名詞 普通名詞 一般 * * *,115,5
その,その,其の,連体詞 * * * * *,114,11
護,護,護,名詞 固有名詞 人名 姓 * *,113,11
か,か,か,助詞 副助詞 * * * *,99,11
一心,一心,一心,名詞 普通名詞 一般 * * *,99,9
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,98,11
どう,どう,どう,副詞 * * * * *,96,11
お前,お前,御前,代名詞 * * * * *,96,10
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,91,11
