Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,731,11
は,は,は,助詞 係助詞 * * * *,588,11
に,に,に,助詞 格助詞 * * * *,545,11
を,を,を,助詞 格助詞 * * * *,452,11
て,て,て,助詞 接続助詞 * * * *,447,11
が,が,が,助詞 格助詞 * * * *,386,11
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,371,11
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,265,11
と,と,と,助詞 格助詞 * * * *,251,11
も,も,も,助詞 係助詞 * * * *,235,11
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,233,11
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,232,11
柴崎,柴崎,柴崎,名詞 固有名詞 人名 姓 * *,230,11
か,か,か,助詞 終助詞 * * * *,211,11
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,208,11
で,で,で,助詞 格助詞 * * * *,201,11
ん,ん,の,助詞 準体助詞 * * * *,167,11
〜,〜,〜,補助記号 一般 * * * *,160,11
よ,よ,よ,助詞 終助詞 * * * *,154,11
の,の,の,助詞 準体助詞 * * * *,141,11
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,136,11
って,って,って,助詞 副助詞 * * * *,129,11
こと,こと,こと,名詞 普通名詞 一般 * * *,128,11
な,な,な,助詞 終助詞 * * * *,127,11
か,か,か,助詞 副助詞 * * * *,119,11
何,何,何,代名詞 * * * * *,115,11
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,108,11
爆弾,爆弾,爆弾,名詞 普通名詞 一般 * * *,97,10
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,96,11
ね,ね,ね,助詞 終助詞 * * * *,91,11
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,87,11
から,から,から,助詞 格助詞 * * * *,81,11
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,80,11
俺,俺,俺,代名詞 * * * * *,78,11
それ,それ,其れ,代名詞 * * * * *,75,11
羽村,羽村,羽村,名詞 固有名詞 地名 一般 * *,74,10
たち,たち,達,接尾辞 名詞的 一般 * * *,73,11
ナイン,ナイン,ナイン,名詞 普通名詞 一般 * * *,73,11
倉橋,倉橋,倉橋,名詞 固有名詞 地名 一般 * *,72,8
リサ,リサ,リサ,名詞 固有名詞 人名 名 * *,70,11
そう,そう,そう,副詞 * * * * *,69,11
さん,さん,さん,接尾辞 名詞的 一般 * * *,68,11
ハイヴ,ハイヴ,ハイヴ,名詞 普通名詞 一般 * * *,67,6
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,66,11
ら,ら,等,接尾辞 名詞的 一般 * * *,65,11
