Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,232,2
ミミ子,ミミ子,ミミ子,名詞 固有名詞 人名 名 * *,128,2
パン,パン,パン,名詞 普通名詞 一般 * * *,126,2
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,120,2
の,の,の,助詞 格助詞 * * * *,117,2
は,は,は,助詞 係助詞 * * * *,105,2
に,に,に,助詞 格助詞 * * * *,98,2
て,て,て,助詞 接続助詞 * * * *,94,2
トラ,トラ,虎,名詞 普通名詞 一般 * * *,87,2
よ,よ,よ,助詞 終助詞 * * * *,74,2
が,が,が,助詞 格助詞 * * * *,69,2
パパ,パパ,パパ,名詞 普通名詞 一般 * * *,64,2
お,お,御,接頭辞 * * * * *,63,2
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,60,2
の,の,の,助詞 準体助詞 * * * *,55,2
も,も,も,助詞 係助詞 * * * *,53,2
パパンダ,パパンダ,パパンダ,名詞 普通名詞 一般 * * *,52,2
さん,さん,さん,接尾辞 名詞的 一般 * * *,47,2
と,と,と,助詞 格助詞 * * * *,45,2
男性,男性,男性,名詞 普通名詞 一般 * * *,44,2
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,41,2
で,で,で,助詞 格助詞 * * * *,39,2
ん,ん,の,助詞 準体助詞 * * * *,39,2
ああ,ああ,ああ,感動詞 一般 * * * *,36,2
すてき,すてき,素敵,形状詞 一般 * * * *,35,2
ね,ね,ね,助詞 終助詞 * * * *,34,2
あっ,あっ,あっ,感動詞 一般 * * * *,33,2
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,33,2
あ,あ,あっ,感動詞 一般 * * * *,31,2
わ,わ,わ,助詞 終助詞 * * * *,31,2
音,音,音,名詞 普通名詞 一般 * * *,31,2
パンダ,パンダ,パンダ,名詞 普通名詞 一般 * * *,29,2
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,28,2
私,私,私,代名詞 * * * * *,28,2
それ,それ,其れ,代名詞 * * * * *,27,2
って,って,って,助詞 副助詞 * * * *,26,2
を,を,を,助詞 格助詞 * * * *,26,2
うん,うん,うん,感動詞 一般 * * * *,25,2
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,24,2
･,・,・,補助記号 一般 * * * *,24,2
僕,僕,僕,代名詞 * * * * *,23,2
大変,大変,大変,形状詞 一般 * * * *,23,2
〜,〜,〜,補助記号 一般 * * * *,22,2
はい,はい,はい,感動詞 一般 * * * *,22,2
駄目,駄目,駄目,名詞 普通名詞 形状詞可能 * * *,22,2
ママ,ママ,ママ,名詞 普通名詞 一般 * * *,21,2
か,か,か,助詞 終助詞 * * * *,20,2
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,20,2
ミミ,ミミ,ミミ,名詞 固有名詞 人名 一般 * *,20,2
