Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
て,て,て,助詞 接続助詞 * * * *,160,1
に,に,に,助詞 格助詞 * * * *,149,1
の,の,の,助詞 格助詞 * * * *,147,1
〜,〜,〜,補助記号 一般 * * * *,132,1
は,は,は,助詞 係助詞 * * * *,125,1
が,が,が,助詞 格助詞 * * * *,113,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,80,1
を,を,を,助詞 格助詞 * * * *,77,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,72,1
も,も,も,助詞 係助詞 * * * *,70,1
よ,よ,よ,助詞 終助詞 * * * *,62,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,57,1
の,の,の,助詞 準体助詞 * * * *,52,1
の,の,の,助詞 終助詞 * * * *,51,1
で,で,で,助詞 格助詞 * * * *,49,1
ね,ね,ね,助詞 終助詞 * * * *,47,1
わ,わ,わ,助詞 終助詞 * * * *,46,1
ん,ん,の,助詞 準体助詞 * * * *,44,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,41,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,39,1
あっ,あっ,あっ,感動詞 一般 * * * *,35,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,33,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,31,1
あ,あ,あっ,感動詞 一般 * * * *,30,1
と,と,と,助詞 格助詞 * * * *,29,1
私,私,私,代名詞 * * * * *,29,1
ハァ,ハァ,はあ,感動詞 一般 * * * *,28,1
から,から,から,助詞 接続助詞 * * * *,25,1
あなた,あなた,貴方,代名詞 * * * * *,24,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,23,1
はい,はい,はい,感動詞 一般 * * * *,23,1
人間,人間,人間,名詞 普通名詞 一般 * * *,23,1
お,お,御,接頭辞 * * * * *,22,1
お母さん,お母さん,お母さん,名詞 普通名詞 一般 * * *,22,1
か,か,か,助詞 副助詞 * * * *,22,1
アリエッティ,アリエッティ,アリエッティ,名詞 普通名詞 一般 * * *,22,1
鳴き声,鳴き声,鳴き声,名詞 普通名詞 一般 * * *,22,1
お父さん,お父さん,お父さん,名詞 普通名詞 一般 * * *,21,1
この,この,此の,連体詞 * * * * *,21,1
そう,そう,そう,副詞 * * * * *,21,1
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,20,1
こと,こと,こと,名詞 普通名詞 一般 * * *,19,1
家,家,家,名詞 普通名詞 一般 * * *,19,1
小人,小人,小人,名詞 普通名詞 一般 * * *,19,1
それ,それ,其れ,代名詞 * * * * *,18,1
もう,もう,もう,副詞 * * * * *,18,1
ホミリー,ホミリー,ホミリー,名詞 普通名詞 一般 * * *,18,1
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,18,1
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,18,1
って,って,って,助詞 副助詞 * * * *,17,1
ハル,ハル,ハル,名詞 固有名詞 人名 名 * *,17,1
何,何,何,代名詞 * * * * *,17,1
うん,うん,うん,感動詞 一般 * * * *,16,1
か,か,か,助詞 終助詞 * * * *,16,1
から,から,から,助詞 格助詞 * * * *,16,1
本当,本当,本当,名詞 普通名詞 一般 * * *,16,1
私達,私達,私達,名詞 普通名詞 一般 * * *,16,1
あぁ,あぁ,ああ,感動詞 一般 * * * *,15,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,15,1
ここ,ここ,此処,代名詞 * * * * *,15,1
もの,もの,物,名詞 普通名詞 サ変可能 * * *,15,1
かしら,かしら,かしら,助詞 終助詞 * * * *,14,1
これ,これ,此れ,代名詞 * * * * *,14,1
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,13,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,13,1
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,13,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,13,1
られ,られる,られる,助動詞 * * * 助動詞-レル 連用形-一般,13,1
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,13,1
音,音,音,名詞 普通名詞 一般 * * *,13,1
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,12,1
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,12,1
ちょっと,ちょっと,一寸,副詞 * * * * *,12,1
どう,どう,どう,副詞 * * * * *,12,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,12,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,12,1
