Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,340,2
の,の,の,助詞 格助詞 * * * *,267,2
ムシキング,ムシキング,ムシキング,名詞 普通名詞 一般 * * *,250,2
ポポ,ポポ,ポポ,名詞 固有名詞 人名 一般 * *,230,1
て,て,て,助詞 接続助詞 * * * *,227,2
は,は,は,助詞 係助詞 * * * *,217,2
スジブト,スジブト,スジブト,名詞 普通名詞 一般 * * *,194,1
に,に,に,助詞 格助詞 * * * *,161,2
ん,ん,の,助詞 準体助詞 * * * *,156,2
リッキー,リッキー,リッキー,名詞 固有名詞 人名 一般 * *,149,2
を,を,を,助詞 格助詞 * * * *,146,2
よ,よ,よ,助詞 終助詞 * * * *,120,2
が,が,が,助詞 格助詞 * * * *,117,2
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,98,2
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,96,2
と,と,と,助詞 格助詞 * * * *,83,2
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,81,2
ケント,ケント,ケント,名詞 固有名詞 地名 一般 * *,80,1
あっ,あっ,あっ,感動詞 一般 * * * *,74,2
な,な,な,助詞 終助詞 * * * *,71,2
も,も,も,助詞 係助詞 * * * *,70,2
で,で,で,助詞 格助詞 * * * *,68,2
博士,博士,博士,名詞 普通名詞 一般 * * *,67,1
アダー,アダー,アダー,名詞 普通名詞 一般 * * *,61,1
か,か,か,助詞 終助詞 * * * *,60,2
何,何,何,代名詞 * * * * *,59,2
ユウト,ユウト,ユウト,名詞 普通名詞 一般 * * *,51,1
ああっ,ああっ,ああ,感動詞 一般 * * * *,50,2
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,50,2
って,って,って,助詞 副助詞 * * * *,49,2
の,の,の,助詞 準体助詞 * * * *,48,2
うっ,うっ,うう,感動詞 一般 * * * *,47,2
ああ,ああ,ああ,感動詞 一般 * * * *,46,2
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,46,2
ブラック,ブラック,ブラック,名詞 普通名詞 一般 * * *,41,1
健太郎,健太郎,健太郎,名詞 固有名詞 人名 名 * *,39,1
ね,ね,ね,助詞 終助詞 * * * *,38,2
この,この,此の,連体詞 * * * * *,37,2
甲虫,甲虫,甲虫,名詞 普通名詞 一般 * * *,37,2
コーカサス,コーカサス,コーカサス,名詞 固有名詞 地名 一般 * *,36,1
シロー,シロー,シロウ,名詞 固有名詞 人名 名 * *,36,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,35,2
から,から,から,助詞 接続助詞 * * * *,33,2
どう,どう,どう,副詞 * * * * *,33,2
あ,あ,あっ,感動詞 一般 * * * *,32,2
こと,こと,こと,名詞 普通名詞 一般 * * *,32,2
そう,そう,そう,副詞 * * * * *,32,2
ギラファ,ギラファ,ギラファ,名詞 普通名詞 一般 * * *,31,1
えっ,えっ,えっ,感動詞 一般 * * * *,30,2
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,30,2
私,私,私,代名詞 * * * * *,30,2
俺,俺,俺,代名詞 * * * * *,29,2
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,28,2
たち,たち,達,接尾辞 名詞的 一般 * * *,28,2
森,森,森,名詞 普通名詞 一般 * * *,28,2
･,・,・,補助記号 一般 * * * *,28,2
う,う,うう,感動詞 一般 * * * *,27,2
